site,in_sapwood,n_plants,n_area,sapw_share,method,mode_min,pct_mode,n,Biome,Functional Type
CZE_BIK,False,,,,,10,100.0,105120,Temperate forest,1
CZE_KRT_KRT,False,,,,,10,93.27,209575,Woodland/Shrubland,1
CZE_LAN,False,,,,,10,100.0,52561,Woodland/Shrubland,0
CZE_STI,False,,,,,10,100.0,52561,Temperate forest,0
CZE_UTE_BEE,False,,,,,10,100.0,199525,Woodland/Shrubland,0
CZE_UTE_BNA,False,,,,,10,100.0,199525,Woodland/Shrubland,0
CZE_UTE_BPO,False,,,,,10,100.0,199525,Woodland/Shrubland,0
CZE_UTE_SPR,False,,,,,10,100.0,199525,Woodland/Shrubland,1
ESP_ALT_ARM,False,,,,,10,57.4,323733,Woodland/Shrubland,2
ESP_ALT_HUE,False,,,,,10,58.6,244782,Woodland/Shrubland,2
ESP_ALT_TRI,False,,,,,10,46.67,357616,Woodland/Shrubland,1
ISR_YAT_YAT,False,,,,,30,100.0,94535,Subtropical desert,1
ITA_FEI_S17,False,,,,,10,100.0,84673,Temperate forest,0
ITA_KAE_S20,False,,,,,10,90.58,95935,Boreal forest,0
ITA_MAT_S21,False,,,,,10,90.12,94502,Boreal forest,2
ITA_MUN,False,,,,,10,95.9,117119,Woodland/Shrubland,0
ITA_RUN_N20,False,,,,,10,95.83,116993,Boreal forest,2
RUS_POG_VAR,False,,,,,20,100.0,52633,Woodland/Shrubland,2
USA_ORN_ST1_AMB,False,,,,,30,39.61,64125,Temperate forest,0
USA_ORN_ST2_AMB,False,,,,,30,40.1,58353,Temperate forest,0
USA_ORN_ST3_ELE,False,,,,,30,39.62,64120,Temperate forest,0
USA_ORN_ST4_ELE,False,,,,,30,40.07,58374,Temperate forest,0
ARG_MAZ,True,5.0,5.0,1.0,HR,60,99.3,288,Woodland/Shrubland,0
ARG_TRE,True,4.0,4.0,1.0,HR,60,100.0,312,Woodland/Shrubland,0
AUS_RIC_EUC_ELE,True,10.0,10.0,1.0,HPTM,10,44.55,152688,Woodland/Shrubland,1
AUS_WOM,True,11.0,11.0,1.0,CHP,30,100.0,49660,Temperate forest,1
BRA_CAM,True,5.0,5.0,1.0,HR,30,100.0,12458,,
CAN_TUR_P39_POS,True,12.0,12.0,1.0,HD,30,100.0,140254,Temperate forest,1
CAN_TUR_P39_PRE,True,21.0,20.0,0.952,HD,30,100.0,140254,Temperate forest,1
CAN_TUR_P74,True,16.0,14.0,0.875,HD,30,100.0,140254,Temperate forest,1
CHE_DAV_SEE,True,5.0,5.0,1.0,HD,10,100.0,52560,Temperate forest,1
CRI_TAM_TOW,True,26.0,26.0,1.0,HD,5,95.36,110232,Tropical rain forest,missing
CZE_LIZ_LES,True,6.0,6.0,1.0,HFD,5,47.06,173184,Temperate forest,1
DEU_STE_2P3,True,10.0,10.0,1.0,HD,60,64.61,27117,Woodland/Shrubland,0
DEU_STE_4P5,True,10.0,10.0,1.0,HD,60,100.0,17544,Woodland/Shrubland,0
ESP_CAN,True,21.0,21.0,1.0,HD,15,100.0,70176,Woodland/Shrubland,2
ESP_SAN_A2_45I,True,3.0,3.0,1.0,CHP,30,100.0,6288,Tropical forest savanna,1
ESP_SAN_A_45I,True,3.0,3.0,1.0,CHP,30,99.97,10080,Tropical forest savanna,1
ESP_SAN_B2_100,True,3.0,3.0,1.0,CHP,30,100.0,6288,Tropical forest savanna,1
ESP_SAN_B_100,True,3.0,3.0,1.0,CHP,30,99.97,10080,Tropical forest savanna,1
ESP_TIL_MIX,True,32.0,32.0,1.0,HD,15,100.0,128862,Woodland/Shrubland,1
ESP_TIL_OAK,True,10.0,10.0,1.0,HD,15,100.0,58272,Woodland/Shrubland,1
ESP_TIL_PIN,True,9.0,9.0,1.0,HD,15,100.0,58560,Woodland/Shrubland,1
ESP_VAL_SOR,True,13.0,13.0,1.0,HD,15,100.0,78816,Woodland/Shrubland,1
FIN_PET,True,7.0,7.0,1.0,HD,30,99.98,4220,Woodland/Shrubland,0
FRA_HES_HE1_NON,True,10.0,10.0,1.0,HD,30,100.0,47565,Temperate forest,0
FRA_HES_HE2_NON,True,10.0,10.0,1.0,HD,30,100.0,105216,Temperate forest,0
FRA_PUE,True,25.0,25.0,1.0,HD,30,100.0,280512,Woodland/Shrubland,1
GBR_ABE_PLO,True,15.0,15.0,1.0,HD,30,100.0,6144,Temperate forest,1
GBR_DEV_CON,True,4.0,4.0,1.0,CHP,60,100.0,6024,Woodland/Shrubland,1
GBR_DEV_DRO,True,4.0,4.0,1.0,CHP,60,100.0,6024,Woodland/Shrubland,1
GBR_GUI_ST1,True,15.0,15.0,1.0,HD,15,100.0,15840,Temperate forest,1
GBR_GUI_ST2,True,9.0,9.0,1.0,HD,15,100.0,15840,Temperate forest,1
GBR_GUI_ST3,True,8.0,8.0,1.0,HD,15,100.0,15840,Temperate forest,1
GUF_GUY_GUY,True,6.0,6.0,1.0,HPTM,30,100.0,42646,Tropical rain forest,2
GUF_GUY_ST2,True,11.0,11.0,1.0,HD,30,100.0,35088,Tropical rain forest,1
IDN_JAM_OIL,True,10.0,10.0,1.0,HD,60,100.0,2160,Tropical rain forest,1
IDN_JAM_RUB,True,10.0,10.0,1.0,HD,60,100.0,5376,Tropical rain forest,0
ITA_TOR,True,4.0,4.0,1.0,CHD,30,100.0,32158,Temperate forest,0
NLD_LOO,True,6.0,6.0,1.0,HD,30,100.0,70128,Woodland/Shrubland,1
NZL_HUA_HUA,True,6.0,6.0,1.0,HD,15,100.0,148395,Temperate forest,1
PRT_LEZ_ARN,True,4.0,4.0,1.0,HD,60,44.86,28944,Woodland/Shrubland,1
PRT_PIN,True,20.0,20.0,1.0,HD,15,100.0,29280,,
SEN_SOU_IRR,True,3.0,3.0,1.0,CHD,60,100.0,1464,Subtropical desert,0
SEN_SOU_POS,True,3.0,3.0,1.0,CHD,60,100.0,11712,Subtropical desert,0
SEN_SOU_PRE,True,3.0,3.0,1.0,CHD,60,100.0,21216,Subtropical desert,0
SWE_NOR_ST1_BEF,True,23.0,23.0,1.0,TSHB,30,100.0,35088,Woodland/Shrubland,missing
SWE_NOR_ST2,True,12.0,12.0,1.0,TSHB,30,100.0,17520,Woodland/Shrubland,1
SWE_NOR_ST3,True,37.0,37.0,1.0,TSHB,30,100.0,105168,Woodland/Shrubland,1
SWE_NOR_ST4_AFT,True,45.0,45.0,1.0,TSHB,30,100.0,35089,Woodland/Shrubland,2
SWE_NOR_ST4_BEF,True,40.0,40.0,1.0,TSHB,30,100.0,17520,Woodland/Shrubland,1
SWE_NOR_ST5_REF,True,35.0,35.0,1.0,TSHB,30,100.0,52609,Woodland/Shrubland,2
THA_KHU,True,6.0,6.0,1.0,CHD,30,100.0,23808,Tropical forest savanna,0
USA_DUK_HAR,True,40.0,40.0,1.0,HD,30,100.0,70128,Temperate forest,0
USA_HIL_HF1_POS,True,25.0,25.0,1.0,HD,10,94.06,263126,Temperate forest,2
USA_HIL_HF1_PRE,True,25.0,25.0,1.0,HD,10,97.77,29696,Temperate forest,2
USA_HIL_HF2,True,30.0,30.0,1.0,HD,10,95.94,284433,Temperate forest,2
USA_HUY_LIN_NON,True,2.0,2.0,1.0,HR,30,100.0,17520,Temperate forest,1
USA_INM,True,9.0,9.0,1.0,HD,60,99.98,14957,Temperate forest,0
USA_PAR_FER,True,8.0,8.0,1.0,HD,30,100.0,70161,Temperate forest,1
USA_PJS_P04_AMB,True,10.0,10.0,1.0,HD,15,100.0,350592,Temperate grassland desert,1
USA_PJS_P08_AMB,True,10.0,10.0,1.0,HD,15,100.0,350592,Temperate grassland desert,1
USA_PJS_P12_AMB,True,10.0,10.0,1.0,HD,15,100.0,350592,Temperate grassland desert,1
USA_SIL_OAK_1PR,True,18.0,18.0,1.0,HD,30,100.0,105167,Temperate forest,2
USA_SIL_OAK_2PR,True,22.0,22.0,1.0,TSHB,30,100.0,105167,Temperate forest,2
USA_SYL_HL2,True,20.0,20.0,1.0,HD,30,100.0,35088,Temperate forest,2
USA_TNB,True,8.0,8.0,1.0,HD,60,99.98,13137,Temperate forest,0
USA_TNO,True,9.0,9.0,1.0,HD,60,99.96,15173,Temperate forest,0
USA_TNP,True,9.0,9.0,1.0,HD,60,99.91,15712,Temperate forest,2
USA_TNY,True,8.0,8.0,1.0,HD,60,99.91,12595,Temperate forest,0
USA_UMB_CON,True,57.0,57.0,1.0,HD,30,100.0,122736,Temperate forest,2
USA_UMB_GIR,True,57.0,57.0,1.0,HD,30,100.0,122736,Temperate forest,2
USA_WIL_WC1,True,16.0,16.0,1.0,HPTM,30,53.25,45792,Temperate forest,0
USA_WVF,True,8.0,8.0,1.0,HD,60,99.92,14518,Temperate forest,0
ZAF_FRA_FRA,True,3.0,3.0,1.0,HR,60,37.85,17464,Woodland/Shrubland,0
ZAF_NOO_E3_IRR,True,6.0,6.0,1.0,HR,60,99.99,19225,Woodland/Shrubland,0
ZAF_SOU_SOU,True,2.0,2.0,1.0,HR,60,100.0,6576,Woodland/Shrubland,0
