Param_Grid,,,,,,,,,,,,,,
"param_grid = {'n_hidden': [4, 6, 8],",,,,,,,,,,,,,,
"              'n_neuron': [16, 24],",,,,,,,,,,,,,,
"              'epochs': [80, 120, 150],",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data set, n locations, n data points, R2 test, R2 train, MAE, ta,rh,vpd,ppfd_in,swc_shallow,precip, Best parameters ,,
k_means_0_ann,40,899801,0.554092457,0.568385141,285.0056649,0.257777384,0.128134916,0.21771651,0.125850742,0.267582956,0.002937491, {'epochs': 150, 'n_hidden': 6, 'n_neuron': 24} 
k_means_1_ann,23,426504,0.553747269,0.553618728,1067.885666,0.245842759,0.268201111,0.140127263,0.151981784,0.189629448,0.004217635, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
k_means_2_ann,1,287,-0.503804006,-0.105456023,328.8141309,0.294450173,0.23793555,0.237563285,0,0.17482123,0.055229762, {'epochs': 120, 'n_hidden': 6, 'n_neuron': 24} 
k_means_3_ann,27,792814,0.473008864,0.473028961,849.318881,0.197054924,0.180425172,0.187350679,0.148234962,0.271993479,0.014940784, {'epochs': 150, 'n_hidden': 6, 'n_neuron': 24} 
k_means_4_ann,4,52335,0.820962248,0.82618805,1403.635594,0.287710525,0.070916224,0.20753096,0.251416417,0.176063057,0.006362817, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
func_0_ann,45,430852,0.695477309,0.707908924,902.8335555,0.243525163,0.142332556,0.141219457,0.246081655,0.224016039,0.00282513, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
func_1_ann,48,1737484,0.358696647,0.365227651,777.9499005,0.201447342,0.154866349,0.18520499,0.133736339,0.317913608,0.006831371, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
biome_WoodlandShrubland_ann,36,688878,0.635810884,0.643932058,327.5087357,0.233718378,0.115662831,0.101552221,0.165554765,0.380188457,0.003323348, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
biome_Temperate forest_ann,39,862316,0.526612022,0.530117449,1175.960385,0.262451711,0.237647433,0.216500682,0.132677504,0.145163221,0.005559449, {'epochs': 120, 'n_hidden': 8, 'n_neuron': 24} 
biome_Tropical rain forest_ann,5,52622,0.821898051,0.825824793,1352.084145,0.237480953,0.131164602,0.248579155,0.234884033,0.142777332,0.005113923, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
biome_Tropical forest savanna_ann,5,38983,0.901889834,0.881802194,83.96319751,0.2986736,0.474700192,0.043911028,0.101834115,0.077401573,0.003479493, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
biome_Subtropical desert_ann,4,36606,0.45618841,0.440547189,511.3012725,0.082993782,0.103272338,0.795945701,0.004140146,0.01354347,0.000104563, {'epochs': 120, 'n_hidden': 8, 'n_neuron': 24} 
biome_Boreal forest_ann,3,32509,0.798941315,0.816526516,293.6228864,0.366165313,0.066210874,0.071264252,0.392256948,0.094536876,0.009565738, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
biome_Temperate grassland desert_ann,3,459827,0.767561666,0.76737606,85.70082231,0.150607663,0.083059354,0.087642429,0.294397268,0.383121381,0.001171905, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 24} 
