Data set, n locations, n data points, R2 test, R2 train, MAE, ta,vpd,ppfd_in,swc_shallow, Best parameters ,,
k_means_0_ann,73,1831729,0.372049119,0.372756705,375.3003828,0.294969439,0.260142405,0.283048327,0.161839829, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
k_means_1_ann,5,59346,0.822051143,0.827298022,1347.61613,0.248363478,0.273260807,0.297426939,0.180948777, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
k_means_2_ann,15,301659,0.672307297,0.671555711,1282.674096,0.293199268,0.289806075,0.290451175,0.126543482, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
k_means_3_ann,2,49875,0.962407193,0.961225613,997.777833,0.065536621,0.364569539,0.558034889,0.011858951, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_WoodlandShrubland_ann,36,723429,0.644691916,0.635168262,318.4395076,0.285218292,0.194613878,0.154205027,0.365962803, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
biome_Temperate forest_ann,39,883163,0.524677558,0.519008825,1128.856114,0.288751107,0.244789267,0.229662789,0.236796836, {'epochs': 120, 'n_hidden': 8, 'n_neuron': 32} 
biome_Tropical rain forest_ann,5,59346,0.825266879,0.829974336,1353.151403,0.336026117,0.198312897,0.274847289,0.190813698, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Tropical forest savanna_ann,5,44353,0.876214955,0.87572136,103.4657937,0.322514241,0.47582776,0.1125859,0.089072098, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Subtropical desert_ann,4,39982,0.372289648,0.410807963,535.3447437,0.236063507,0.166705984,0.171309118,0.425921392, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Boreal forest_ann,3,32509,0.830802051,0.823888339,293.9357023,0.292078633,0.217426458,0.379004811,0.111490098, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Temperate grassland desert_ann,3,459827,0.774081266,0.768919098,85.08592348,0.397267228,0.314719154,0.121477945,0.166535674, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
func_0_ann,45,456896,0.707646967,0.70478612,846.3037028,0.332992886,0.164671419,0.25624129,0.246094405, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
func_1_ann,48,1775616,0.361978705,0.365041084,731.5583997,0.22097532,0.235467191,0.187634916,0.355922572, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
