Data set, n locations, n data points, R2 test, R2 train, MAE, ta,rh,vpd,ppfd_in,swc_shallow, Best parameters 
k_means_0_rf, 73, 1815744, 0.4622520667485759, 0.45381832737220157, 329.6586029320887, 0.1734,0.1433,0.0997,0.362,0.2216, {'max_depth': 20, 'n_estimators': 1200} 
k_means_1_rf, 5, 59346, 0.8354450319526956, 0.8340391023204694, 1218.2741787137597, 0.112,0.0447,0.0574,0.6094,0.1766, {'max_depth': 20, 'n_estimators': 1200} 
k_means_2_rf, 15, 300951, 0.753774721953489, 0.749110218118603, 1005.1798012397486, 0.1075,0.0725,0.4512,0.2194,0.1494, {'max_depth': 25, 'n_estimators': 1200} 
k_means_3_rf, 2, 49365, 0.9627437355680695, 0.9645955933756678, 896.2060239057948, 0.0097,0.0445,0.1753,0.7563,0.0143, {'max_depth': 25, 'n_estimators': 1200} 
func_0_rf, 45, 443648, 0.7530813901051455, 0.7501555525270288, 758.3744109232117, 0.3676,0.0854,0.0743,0.2211,0.2516, {'max_depth': 25, 'n_estimators': 1200} 
func_1_rf, 48, 1771661, 0.4816769506027855, 0.46596337197058607, 612.467630799463, 0.1762,0.1211,0.109,0.2654,0.3283, {'max_depth': 20, 'n_estimators': 1200} 
biome_WoodlandShrubland_rf, 36, 723390, 0.7956723798745033, 0.7703837547919743, 225.94587406400242, 0.2443,0.0648,0.0869,0.2175,0.3865, {'max_depth': 25, 'n_estimators': 1200} 
biome_Temperate forest_rf, 39, 867632, 0.6172379722113552, 0.6107505445059471, 953.1852947572529, 0.1715,0.1058,0.149,0.3157,0.2581, {'max_depth': 25, 'n_estimators': 800} 
biome_Tropical rain forest_rf, 5, 59346, 0.8354450319526956, 0.8340391023204694, 1218.2741787137597, 0.112,0.0447,0.0574,0.6094,0.1766, {'max_depth': 20, 'n_estimators': 1200} 
biome_Tropical forest savanna_rf, 5, 44353, 0.8967287631374999, 0.8871079989925749, 94.14510416443218, 0.3161,0.2153,0.0275,0.2391,0.202, {'max_depth': 25, 'n_estimators': 1200} 
biome_Subtropical desert_rf, 4, 38349, 0.6466722315111362, 0.6198062011011414, 371.0345918795755, 0.2001,0.1671,0.1478,0.1122,0.3728, {'max_depth': 25, 'n_estimators': 1200} 
biome_Boreal forest_rf, 3, 32509, 0.8557765686786503, 0.8458869401687463, 264.6665111035929, 0.496,0.0368,0.061,0.2956,0.1107, {'max_depth': 25, 'n_estimators': 1200} 
biome_Temperate grassland desert_rf, 3, 459827, 0.8485531198559826, 0.8357035907900722, 66.47535791272037, 0.0632,0.0554,0.1511,0.3451,0.3853, {'max_depth': 25, 'n_estimators': 1200} 
