Data set, n locations, n data points, R2 test, R2 train, MAE, ta,vpd,ppfd_in,swc_shallow, Best parameters ,
k_means_0_rf,73,1831729,0.480670758,0.468724559,320.247685,0.2102,0.185,0.3328,0.272, {'max_depth': 25, 'n_estimators': 1200} 
k_means_1_rf,5,59346,0.834986426,0.832722933,1218.131291,0.1155,0.0904,0.6141,0.18, {'max_depth': 20, 'n_estimators': 1200} 
k_means_2_rf,15,301659,0.753511969,0.74790596,996.8362472,0.1299,0.4859,0.2256,0.1586, {'max_depth': 25, 'n_estimators': 1200} 
k_means_3_rf,2,49875,0.965389199,0.963749808,899.4617218,0.012,0.2131,0.7593,0.0156, {'max_depth': 25, 'n_estimators': 800} 
func_0_rf,35,254402,0.771645307,0.762018253,764.0934524,0.1781,0.3426,0.2109,0.2683, {'max_depth': 25, 'n_estimators': 1200} 
func_1_rf,40,1602286,0.512306975,0.49925332,564.4071226,0.2152,0.1861,0.2514,0.3473, {'max_depth': 25, 'n_estimators': 1200} 
func_2_rf,18,375824,0.741234037,0.744177951,582.9371226,0.395,0.1268,0.1966,0.2816, {'max_depth': 20, 'n_estimators': 1200} 
biome_WoodlandShrubland_rf,36,723429,0.778578537,0.767097115,229.012259,0.253,0.1262,0.2215,0.3992, {'max_depth': 25, 'n_estimators': 1200} 
biome_Temperate forest_rf,39,883163,0.601941707,0.591668064,972.0338244,0.1998,0.1989,0.329,0.2723, {'max_depth': 25, 'n_estimators': 1200} 
biome_Tropical rain forest_rf,5,59346,0.834986426,0.832722933,1218.131291,0.1155,0.0904,0.6141,0.18, {'max_depth': 20, 'n_estimators': 1200} 
biome_Tropical forest savanna_rf,5,44353,0.898926209,0.882290435,94.44960826,0.2847,0.2723,0.2366,0.2064, {'max_depth': 25, 'n_estimators': 1200} 
biome_Subtropical desert_rf,4,39982,0.569233351,0.579975912,431.7754862,0.2348,0.2218,0.1209,0.4225, {'max_depth': 25, 'n_estimators': 1200} 
biome_Boreal forest_rf,3,32509,0.856596125,0.843845746,263.8211298,0.5019,0.0837,0.2991,0.1153, {'max_depth': 25, 'n_estimators': 1200} 
biome_Temperate grassland desert_rf,3,459827,0.831201576,0.818672031,70.65422666,0.0807,0.1739,0.3523,0.393, {'max_depth': 25, 'n_estimators': 1200} 
