DateTime (Hour),Water Table Depth (m)
'01-Dec-2016 00:00:00',3.2900359075
'01-Dec-2016 01:00:00',3.2860541138
'01-Dec-2016 02:00:00',3.2802442384
'01-Dec-2016 03:00:00',3.2744363608
'01-Dec-2016 04:00:00',3.2714683246
'01-Dec-2016 05:00:00',3.2689363608
'01-Dec-2016 06:00:00',3.2699002883
'01-Dec-2016 07:00:00',3.271540243
'01-Dec-2016 08:00:00',3.2730861908
'01-Dec-2016 09:00:00',3.27197232
'01-Dec-2016 10:00:00',3.2702283699
'01-Dec-2016 11:00:00',3.2686864175
'01-Dec-2016 12:00:00',3.2575445784
'01-Dec-2016 13:00:00',3.259412728
'01-Dec-2016 14:00:00',3.2551209456
'01-Dec-2016 15:00:00',3.24912317
'01-Dec-2016 16:00:00',3.2449812176
'01-Dec-2016 17:00:00',3.2420532493
'01-Dec-2016 18:00:00',3.2457850997
'01-Dec-2016 19:00:00',3.2523968595
'01-Dec-2016 20:00:00',3.2595167235
'01-Dec-2016 21:00:00',3.2674965195
'01-Dec-2016 22:00:00',3.2735644424
'01-Dec-2016 23:00:00',3.2766184946
'02-Dec-2016 00:00:00',3.2786085059
'02-Dec-2016 01:00:00',3.279330481
'02-Dec-2016 02:00:00',3.2789565648
'02-Dec-2016 03:00:00',3.2785845331
'02-Dec-2016 04:00:00',3.2804844198
'02-Dec-2016 05:00:00',3.2851582226
'02-Dec-2016 06:00:00',3.2919579959
'02-Dec-2016 07:00:00',3.300399835
'02-Dec-2016 08:00:00',3.306411708
'02-Dec-2016 09:00:00',3.3119255789
'02-Dec-2016 10:00:00',3.3171074859
'02-Dec-2016 11:00:00',3.3212314587
'02-Dec-2016 12:00:00',3.3237614247
'02-Dec-2016 13:00:00',3.3254734111
'02-Dec-2016 14:00:00',3.3279073726
'02-Dec-2016 15:00:00',3.3294413341
'02-Dec-2016 16:00:00',3.3326812887
'02-Dec-2016 17:00:00',3.3350432185
'02-Dec-2016 18:00:00',3.3408730711
'02-Dec-2016 19:00:00',3.3479668513
'02-Dec-2016 20:00:00',3.3567566359
'02-Dec-2016 21:00:00',3.3644425385
'02-Dec-2016 22:00:00',3.3686485317
'02-Dec-2016 23:00:00',3.3703525271
'03-Dec-2016 00:00:00',3.3699005861
'03-Dec-2016 01:00:00',3.3679827198
'03-Dec-2016 02:00:00',3.3640008127
'03-Dec-2016 03:00:00',3.3604528671
'03-Dec-2016 04:00:00',3.3583408807
'03-Dec-2016 05:00:00',3.3592387697
'03-Dec-2016 06:00:00',3.3619226745
'03-Dec-2016 07:00:00',3.3646025838
'03-Dec-2016 08:00:00',3.3677445362
'03-Dec-2016 09:00:00',3.3674766133
'03-Dec-2016 10:00:00',3.3672646269
'03-Dec-2016 11:00:00',3.3665146835
'03-Dec-2016 12:00:00',3.3637768399
'03-Dec-2016 13:00:00',3.3599229011
'03-Dec-2016 14:00:00',3.3569369986
'03-Dec-2016 15:00:00',3.3548391097
'03-Dec-2016 16:00:00',3.3508032638
'03-Dec-2016 17:00:00',3.3480932751
'03-Dec-2016 18:00:00',3.3488432185
'03-Dec-2016 19:00:00',3.351099155
'03-Dec-2016 20:00:00',3.3532171346
'03-Dec-2016 21:00:00',3.3549331165
'03-Dec-2016 22:00:00',3.3555931618
'03-Dec-2016 23:00:00',3.3534693023
'04-Dec-2016 00:00:00',3.3497454429
'04-Dec-2016 01:00:00',3.3453375653
'04-Dec-2016 02:00:00',3.3404396763
'04-Dec-2016 03:00:00',3.3357097103
'04-Dec-2016 04:00:00',3.3348797443
'04-Dec-2016 05:00:00',3.3337637624
'04-Dec-2016 06:00:00',3.3322238078
'04-Dec-2016 07:00:00',3.329869869
'04-Dec-2016 08:00:00',3.327709937
'04-Dec-2016 09:00:00',3.3229321387
'04-Dec-2016 10:00:00',3.3174082792
'04-Dec-2016 11:00:00',3.3106244878
'04-Dec-2016 12:00:00',3.3057046238
'04-Dec-2016 13:00:00',3.3002547937
'04-Dec-2016 14:00:00',3.2962708889
'04-Dec-2016 15:00:00',3.2905970861
'04-Dec-2016 16:00:00',3.2857011949
'04-Dec-2016 17:00:00',3.2876507983
'04-Dec-2016 18:00:00',3.2992126147
'04-Dec-2016 19:00:00',3.3034605603
'04-Dec-2016 20:00:00',3.3047509116
