DateTime (Day),Volumetric Soil Moisture [m3/m3],
,0-120 cm,
,mean,SD
'01-Dec-2016',0.0390749038,0.004855894
'02-Dec-2016',0.0376478451,0.0045194719
'03-Dec-2016',0.0363514608,0.0043226763
'04-Dec-2016',0.0351340301,0.0040713514
'05-Dec-2016',0.0341234701,0.0038278834
'06-Dec-2016',0.0332261435,0.003784838
'07-Dec-2016',0.0321947588,0.003691193
'08-Dec-2016',0.0333228967,0.0054943796
'09-Dec-2016',0.0339743824,0.0066452656
'10-Dec-2016',0.0328230652,0.0059627179
'11-Dec-2016',0.0319219308,0.0055204936
'12-Dec-2016',0.0310478218,0.0051906229
'13-Dec-2016',0.0301490819,0.0050526819
'14-Dec-2016',0.0293851013,0.0049111772
'15-Dec-2016',0.0286713891,0.0048283631
'16-Dec-2016',0.0280108911,0.0046954231
'17-Dec-2016',0.0274044213,0.004515271
'18-Dec-2016',0.0268214798,0.004454773
'19-Dec-2016',0.0262193063,0.0043224371
'20-Dec-2016',0.0258965363,0.004334543
'21-Dec-2016',0.0254469337,0.0042568516
'22-Dec-2016',0.0250001147,0.004143163
'23-Dec-2016',0.0246166747,0.0040653848
'24-Dec-2016',0.0242130843,0.0039292262
'25-Dec-2016',0.0237969211,0.0037868648
'26-Dec-2016',0.0233937327,0.0036889964
'27-Dec-2016',0.0232279928,0.0036775181
'28-Dec-2016',0.0229601791,0.0036239579
'29-Dec-2016',0.0384324319,0.0143999863
'30-Dec-2016',0.0555436168,0.0182450601
'31-Dec-2016',0.0499638874,0.0145871208
'01-Jan-2017',0.0469794063,0.0130574747
'02-Jan-2017',0.0449285576,0.0121691908
'03-Jan-2017',0.0430463466,0.0115545767
'04-Jan-2017',0.041198993,0.0110187429
'05-Jan-2017',0.0395030012,0.0105869877
'06-Jan-2017',0.0379190743,0.010145926
'07-Jan-2017',0.0364296804,0.0097286182
'08-Jan-2017',0.0349616725,0.0093312252
'09-Jan-2017',0.0337281735,0.0089872665
'10-Jan-2017',0.0327161443,0.0086584008
'11-Jan-2017',0.0317766293,0.0083549422
'12-Jan-2017',0.0308814193,0.0080461291
'13-Jan-2017',0.032871649,0.0081548606
'14-Jan-2017',0.0369446523,0.0068304631
'15-Jan-2017',0.035302461,0.0068116294
'16-Jan-2017',0.033791461,0.0068040094
'17-Jan-2017',0.0324172406,0.0068276966
'18-Jan-2017',0.0313098607,0.0068104313
'19-Jan-2017',0.0303436085,0.0067076493
'20-Jan-2017',0.0610148332,0.0193351184
'21-Jan-2017',0.0583313977,0.012100414
'22-Jan-2017',0.0532291572,0.0103751549
'23-Jan-2017',0.049615578,0.0095883146
'24-Jan-2017',0.0467104662,0.0092601697
'25-Jan-2017',0.0442632787,0.0091446961
'26-Jan-2017',0.0422533222,0.009028399
'27-Jan-2017',0.0403873204,0.0088641913
'28-Jan-2017',0.0387175808,0.0086735502
'29-Jan-2017',0.037210073,0.0084229638
'30-Jan-2017',0.0359475266,0.0082565084
'31-Jan-2017',0.034783664,0.0080819827
'01-Feb-2017',0.0336361838,0.0079234616
'02-Feb-2017',0.0326479856,0.0077553975
'03-Feb-2017',0.0317338971,0.0075580698
'04-Feb-2017',0.0309240357,0.0073734904
'05-Feb-2017',0.0357513751,0.0125359973
'06-Feb-2017',0.0610089444,0.028895099
'07-Feb-2017',0.055370347,0.0186169548
'08-Feb-2017',0.0520860414,0.0152781054
'09-Feb-2017',0.0492475322,0.0133237775
'10-Feb-2017',0.0469930768,0.0121276833
'11-Feb-2017',0.0449810433,0.0112967736
'12-Feb-2017',0.0431893482,0.0106528361
'13-Feb-2017',0.041589856,0.0102068823
'14-Feb-2017',0.0401955568,0.0098968905
'15-Feb-2017',0.0387961072,0.0096368402
'16-Feb-2017',0.0374296041,0.009275303
'17-Feb-2017',0.0361810283,0.0090035486
'18-Feb-2017',0.0350154686,0.0087561627
'19-Feb-2017',0.0348329501,0.0090713463
'20-Feb-2017',0.0483758626,0.0029715426
'21-Feb-2017',0.0527461828,0
'22-Feb-2017',0.0475703746,0
'23-Feb-2017',0.0434701727,0
'24-Feb-2017',0.0400822585,0
'25-Feb-2017',0.0370947593,0
'26-Feb-2017',0.0345129428,0
'27-Feb-2017',0.032305926,0
'28-Feb-2017',0.0304289687,0
'01-Mar-2017',0.0287548429,0
'02-Mar-2017',0.0335727061,0.0061905913
'03-Mar-2017',0.0325844565,0.0062953179
'04-Mar-2017',0.0314239867,0.0061649771
'05-Mar-2017',0.0304654858,0.0060324621
'06-Mar-2017',0.029531349,0.0058770491
'07-Mar-2017',0.0286025763,0.0056970419
'08-Mar-2017',0.0278048532,0.0055251812
'09-Mar-2017',0.0271143659,0.0053382836
'10-Mar-2017',0.0264741303,0.0051628048
'11-Mar-2017',0.0259824233,0.0050482208
'12-Mar-2017',0.0254770732,0.0049241576
'13-Mar-2017',0.0249511727,0.0047826252
'14-Mar-2017',0.0245122711,0.0046413141
'15-Mar-2017',0.0240722389,0.0044861945
'16-Mar-2017',0.0237531563,0.0044277344
'17-Mar-2017',0.0233971293,0.0044018703
'18-Mar-2017',0.023005318,0.0042903109
'19-Mar-2017',0.0226635848,0.0041580169
'20-Mar-2017',0.0224024943,0.0040712657
'21-Mar-2017',0.026422999,0.0073128108
'22-Mar-2017',0.0325584173,0.010619808
'23-Mar-2017',0.0315028826,0.0088773688
'24-Mar-2017',0.0302837374,0.0075839277
'25-Mar-2017',0.0291945213,0.006610586
'26-Mar-2017',0.028303895,0.0058905284
'27-Mar-2017',0.0279287714,0.0055705099
'28-Mar-2017',0.0280123587,0.0054544065
'29-Mar-2017',0.0272403993,0.0048927303
'30-Mar-2017',0.0313311933,0.0029533416
'31-Mar-2017',0.0301085917,0.0035848019
'01-Apr-2017',0.0287695095,0.0036715682
'02-Apr-2017',0.0277349693,0.0036118311
'03-Apr-2017',0.026896329,0.0034885294
'04-Apr-2017',0.0262918818,0.0034332604
'05-Apr-2017',0.0257158575,0.0033326737
'06-Apr-2017',0.0252094886,0.0032177135
'07-Apr-2017',0.0246654339,0.0030348806
'08-Apr-2017',0.0252215902,0.0036762137
'09-Apr-2017',0.035037135,0.0042288375
'10-Apr-2017',0.0448163371,0.0009393006
'11-Apr-2017',0.0423913545,0.0009143626
'12-Apr-2017',0.0400772439,0.0007140708
'13-Apr-2017',0.037977936,0.0004199687
'14-Apr-2017',0.0364350006,0.0003412844
'15-Apr-2017',0.0350402373,0.0003311926
'16-Apr-2017',0.0337216189,0.0003318473
'17-Apr-2017',0.0325817971,0.000262851
'18-Apr-2017',0.0317605108,0.0003090456
'19-Apr-2017',0.0308719784,0.0002368687
'20-Apr-2017',0.029920557,0.0001867165
'21-Apr-2017',0.0339852555,0.0046620217
'22-Apr-2017',0.0345881051,0.0049134398
