Date (Day),Daily Transpiration (mm/day)
'01-Dec-2016',0.6488678386
'02-Dec-2016',0.6818636799
'03-Dec-2016',0.7044868692
'04-Dec-2016',0.6598647096
'05-Dec-2016',0.6959120945
'06-Dec-2016',0.6588670096
'07-Dec-2016',0.7271051828
'08-Dec-2016',0.6029974496
'09-Dec-2016',0.6714574682
'10-Dec-2016',0.645393017
'11-Dec-2016',0.6732756846
'12-Dec-2016',0.7548016176
'13-Dec-2016',0.8891270441
'14-Dec-2016',0.7608293807
'15-Dec-2016',0.743202053
'16-Dec-2016',0.7068498537
'17-Dec-2016',0.7331874285
'18-Dec-2016',0.7526573585
'19-Dec-2016',0.7674930201
'20-Dec-2016',0.6547667107
'21-Dec-2016',0.743068454
'22-Dec-2016',0.6986242403
'23-Dec-2016',0.7304481266
'24-Dec-2016',0.7512224679
'25-Dec-2016',0.8413112898
'26-Dec-2016',0.6146124374
'27-Dec-2016',0.6188221567
'28-Dec-2016',0.8415527999
'29-Dec-2016',0.6056212844
'30-Dec-2016',0.6904587806
'31-Dec-2016',0.7229046114
'01-Jan-2017',0.5558922043
'02-Jan-2017',0.4928494087
'03-Jan-2017',0.677354376
'04-Jan-2017',0.7222627432
'05-Jan-2017',0.7688638521
'06-Jan-2017',0.7797837249
'07-Jan-2017',0.836961604
'08-Jan-2017',0.8328478237
'09-Jan-2017',0.7205454485
'10-Jan-2017',0.7069386792
'11-Jan-2017',0.7233789729
'12-Jan-2017',0.732591687
'13-Jan-2017',0.4927743034
'14-Jan-2017',0.7095893263
'15-Jan-2017',0.6978583203
'16-Jan-2017',0.7246055816
'17-Jan-2017',0.7968119776
'18-Jan-2017',0.7162354203
'19-Jan-2017',0.6931553015
'20-Jan-2017',0.4869268452
'21-Jan-2017',0.7092352217
'22-Jan-2017',0.7150600303
'23-Jan-2017',0.7419008663
'24-Jan-2017',0.7360844978
'25-Jan-2017',0.7014426061
'26-Jan-2017',0.6457789689
'27-Jan-2017',0.7204861089
'28-Jan-2017',0.7153964869
'29-Jan-2017',0.7099647962
'30-Jan-2017',0.6490456166
'31-Jan-2017',0.7405750571
'01-Feb-2017',0.6924284745
'02-Feb-2017',0.7163841236
