TIMESTAMP,avg_E_mm/d,avg_E_mm/d
2017-05-30 15:30:00,4.4951351426749365e-05,
2017-05-30 16:00:00,4.1710100654811816e-05,
2017-05-30 16:30:00,3.973201623744054e-05,
2017-05-30 17:00:00,3.243836827192492e-05,
2017-05-30 17:30:00,2.299374892631925e-05,
2017-05-30 18:00:00,1.4601359110598303e-05,
2017-05-30 18:30:00,1.451479322929866e-05,
2017-05-30 19:00:00,1.288602988245712e-05,
2017-05-30 19:30:00,1.266540218022318e-05,
2017-05-30 20:00:00,1.2529426311969194e-05,
2017-05-30 20:30:00,1.1750863894647095e-05,
2017-05-30 21:00:00,1.2156658448569149e-05,
2017-05-30 21:30:00,1.713372126229029e-05,
2017-05-30 22:00:00,1.0316489917815388e-05,
2017-05-30 22:30:00,1.070375666165699e-05,
2017-05-30 23:00:00,9.066518508815047e-06,
2017-05-30 23:30:00,9.84311813975498e-06,
2017-05-31 00:00:00,1.2537949640249282e-05,
2017-05-31 00:30:00,1.1617619401267551e-05,
2017-05-31 01:00:00,1.1539248729066592e-05,
2017-05-31 01:30:00,1.2206519854297686e-05,
2017-05-31 02:00:00,1.2107089637989047e-05,
2017-05-31 02:30:00,1.2444360468872318e-05,
2017-05-31 03:00:00,1.2061640756283973e-05,
2017-05-31 03:30:00,1.239922734256702e-05,
2017-05-31 04:00:00,1.034668171698204e-05,
2017-05-31 04:30:00,1.138838374233109e-05,
2017-05-31 05:00:00,1.2364799811574037e-05,
2017-05-31 05:30:00,1.24105734155514e-05,
2017-05-31 06:00:00,1.1422224852033036e-05,
2017-05-31 06:30:00,1.1721104864070549e-05,
2017-05-31 07:00:00,1.1786634982112716e-05,
2017-05-31 07:30:00,1.190939125321874e-05,
2017-05-31 08:00:00,1.2105566331244064e-05,
2017-05-31 08:30:00,1.2723467949127212e-05,
2017-05-31 09:00:00,1.6811684699600124e-05,
2017-05-31 09:30:00,2.2019782900629034e-05,
2017-05-31 10:00:00,2.600970415963847e-05,
2017-05-31 10:30:00,3.941903429954374e-05,
2017-05-31 11:00:00,4.855469400935702e-05,
2017-05-31 11:30:00,6.507296982979362e-05,
2017-05-31 12:00:00,7.517084421885617e-05,
2017-05-31 12:30:00,7.121597121166411e-05,
2017-05-31 13:00:00,7.013615433100106e-05,
2017-05-31 13:30:00,6.596059319497582e-05,
2017-05-31 14:00:00,7.488400899962035e-05,
2017-05-31 14:30:00,6.965753893463546e-05,
2017-05-31 15:00:00,6.433876198486601e-05,
2017-05-31 15:30:00,6.067180995836576e-05,
2017-05-31 16:00:00,4.892084116629894e-05,
2017-05-31 16:30:00,3.9508371427288166e-05,
2017-05-31 17:00:00,3.507885764198866e-05,
2017-05-31 17:30:00,2.4207633459894813e-05,
2017-05-31 18:00:00,1.6765036974810152e-05,
2017-05-31 18:30:00,1.4271142260262069e-05,
