TIMESTAMP,solar_TIMESTAMP,ARG_MAZ_Npu_Jt_1,ARG_MAZ_Npu_Jt_2,ARG_MAZ_Npu_Jt_3,ARG_MAZ_Npu_Jt_4,ARG_MAZ_Npu_Jt_5
2009-11-19T03:00:00Z,2009-11-18T22:24:18Z,,,,,
2009-11-19T04:00:00Z,2009-11-18T23:24:18Z,,,,,
2009-11-19T05:00:00Z,2009-11-19T00:24:02Z,,,,,
2009-11-19T06:00:00Z,2009-11-19T01:24:02Z,,,,,
2009-11-19T07:00:00Z,2009-11-19T02:24:02Z,,,,,
2009-11-19T08:00:00Z,2009-11-19T03:24:02Z,,,,,
2009-11-19T09:00:00Z,2009-11-19T04:24:02Z,,,,,
2009-11-19T10:00:00Z,2009-11-19T05:24:02Z,,,,,
2009-11-19T11:00:00Z,2009-11-19T06:24:02Z,,,,,
2009-11-19T12:00:00Z,2009-11-19T07:24:02Z,,,,,
2009-11-19T13:00:00Z,2009-11-19T08:24:02Z,,,,,
2009-11-19T14:00:00Z,2009-11-19T09:24:02Z,,,,,
2009-11-19T15:00:00Z,2009-11-19T10:24:02Z,,,,,
2009-11-19T16:00:00Z,2009-11-19T11:24:02Z,,,,,
2009-11-19T17:00:00Z,2009-11-19T12:24:02Z,,,,,
2009-11-19T18:00:00Z,2009-11-19T13:24:02Z,,,,,
2009-11-19T19:00:00Z,2009-11-19T14:24:02Z,,,,,
2009-11-19T20:00:00Z,2009-11-19T15:24:02Z,,,,,
2009-11-19T21:00:00Z,2009-11-19T16:24:02Z,,,,,
2009-11-19T22:00:00Z,2009-11-19T17:24:02Z,,,,,
2009-11-19T23:00:00Z,2009-11-19T18:24:02Z,,,,,
2009-11-20T00:00:00Z,2009-11-19T19:24:02Z,,,,,
2009-11-20T01:00:00Z,2009-11-19T20:24:02Z,,,,,
2009-11-20T02:00:00Z,2009-11-19T21:24:02Z,,,,,
2009-11-20T03:00:00Z,2009-11-19T22:24:02Z,,,,,
2009-11-20T04:00:00Z,2009-11-19T23:24:02Z,,,,,
2009-11-20T05:00:00Z,2009-11-20T00:23:45Z,,,,,
2009-11-20T06:00:00Z,2009-11-20T01:23:45Z,,,,,
2009-11-20T07:00:00Z,2009-11-20T02:23:45Z,,,,,
2009-11-20T08:00:00Z,2009-11-20T03:23:45Z,,,,,
2009-11-20T09:00:00Z,2009-11-20T04:23:45Z,,,,,
