TIMESTAMP,solar_TIMESTAMP,AUT_PAT_FOR_Pce_Js_1,AUT_PAT_FOR_Pce_Js_2,AUT_PAT_FOR_Pce_Js_3
2007-04-20T23:00:00Z,2007-04-20T23:47:02Z,6.263574396571051e-5,4.0119861830293884e-5,5.42267145942007e-5
2007-04-20T23:30:00Z,2007-04-21T00:17:14Z,5.302087188539106e-5,2.6411110586818472e-5,3.7893421627848945e-5
2007-04-21T00:00:00Z,2007-04-21T00:47:14Z,4.375723774332923e-5,2.6411110586818472e-5,3.0211282375876516e-5
2007-04-21T00:30:00Z,2007-04-21T01:17:14Z,3.4881417822650495e-5,2.0028473874465745e-5,2.290614340001402e-5
2007-04-21T01:00:00Z,2007-04-21T01:47:14Z,2.6443324504842387e-5,1.4028363799650519e-5,2.290614340001402e-5
2007-04-21T01:30:00Z,2007-04-21T02:17:14Z,1.8515541633067473e-5,8.499605096184011e-6,2.290614340001402e-5
2007-04-21T02:00:00Z,2007-04-21T02:47:14Z,1.8515541633067473e-5,8.499605096184011e-6,1.6041058229407842e-5
2007-04-21T02:30:00Z,2007-04-21T03:17:14Z,1.8515541633067473e-5,8.499605096184011e-6,9.717328367131255e-6
2007-04-21T03:00:00Z,2007-04-21T03:47:14Z,1.1214755908054819e-5,8.499605096184011e-6,9.717328367131255e-6
2007-04-21T03:30:00Z,2007-04-21T04:17:14Z,1.1214755908054819e-5,8.499605096184011e-6,9.717328367131255e-6
2007-04-21T04:00:00Z,2007-04-21T04:47:14Z,4.767003074799158e-6,3.6140337943722545e-6,4.131071674276868e-6
2007-04-21T04:30:00Z,2007-04-21T05:17:14Z,4.767003074799158e-6,3.6140337943722545e-6,0
2007-04-21T05:00:00Z,2007-04-21T05:47:14Z,0,3.6140337943722545e-6,0
2007-04-21T05:30:00Z,2007-04-21T06:17:14Z,0,0,0
2007-04-21T06:00:00Z,2007-04-21T06:47:14Z,0,3.6140337943722545e-6,0
2007-04-21T06:30:00Z,2007-04-21T07:17:14Z,4.767003074799158e-6,0,4.131071674276868e-6
2007-04-21T07:00:00Z,2007-04-21T07:47:14Z,1.1214755908054819e-5,3.6140337943722545e-6,4.131071674276868e-6
2007-04-21T07:30:00Z,2007-04-21T08:17:14Z,2.6443324504842387e-5,1.4028363799650519e-5,4.131071674276868e-6
2007-04-21T08:00:00Z,2007-04-21T08:47:14Z,8.281300225761713e-5,4.0119861830293884e-5,1.6041058229407842e-5
2007-04-21T08:30:00Z,2007-04-21T09:17:14Z,2.2472829265960623e-4,7.866150220409298e-5,6.282165839104068e-5
2007-04-21T09:00:00Z,2007-04-21T09:47:14Z,5.059446376875979e-4,1.4042291292841528e-4,1.610443900465244e-4
2007-04-21T09:30:00Z,2007-04-21T10:17:14Z,8.669230007144106e-4,2.1990963504216833e-4,2.7703957470730543e-4
2007-04-21T10:00:00Z,2007-04-21T10:47:14Z,0.0011368383433849197,2.96234847615286e-4,3.9424677878157683e-4
2007-04-21T10:30:00Z,2007-04-21T11:17:14Z,0.0013640726951819285,3.4248818751318185e-4,4.786756726849345e-4
2007-04-21T11:00:00Z,2007-04-21T11:47:14Z,0.0015089172129435953,3.783939943502446e-4,5.376833179779157e-4
2007-04-21T11:30:00Z,2007-04-21T12:17:14Z,0.001634655736171918,4.02900668390944e-4,5.988469839014656e-4
2007-04-21T12:00:00Z,2007-04-21T12:47:14Z,0.0017917634591888435,4.405051884246584e-4,6.783229852503416e-4
2007-04-21T12:30:00Z,2007-04-21T13:17:14Z,0.002040632835613494,4.922056699475677e-4,7.781310976623171e-4
2007-04-21T13:00:00Z,2007-04-21T13:47:14Z,0.0021860167432374497,5.456753202227207e-4,8.473739187237727e-4
2007-04-21T13:30:00Z,2007-04-21T14:17:14Z,0.0023366920810384993,6.009045685655011e-4,9.369982321977099e-4
2007-04-21T14:00:00Z,2007-04-21T14:47:14Z,0.002429709071923612,6.870413813560242e-4,0.0010300748832895563
2007-04-21T14:30:00Z,2007-04-21T15:17:14Z,0.0023984824054196783,6.870413813560242e-4,0.001068283714973124
2007-04-21T15:00:00Z,2007-04-21T15:47:14Z,0.0023674772301603623,7.017820686127949e-4,0.001068283714973124
2007-04-21T15:30:00Z,2007-04-21T16:17:14Z,0.0022757760936424135,7.166328462372934e-4,0.0010491089761042187
2007-04-21T16:00:00Z,2007-04-21T16:47:14Z,0.002098162093374297,7.166328462372934e-4,9.92426776362526e-4
2007-04-21T16:30:00Z,2007-04-21T17:17:14Z,0.001983924035171881,7.017820686127949e-4,9.18798701294306e-4
2007-04-21T17:00:00Z,2007-04-21T17:47:14Z,0.0017650989385176858,6.724106819801464e-4,8.473739187237727e-4
2007-04-21T17:30:00Z,2007-04-21T18:17:14Z,0.0015336944644174322,6.291777297994105e-4,7.443225172788638e-4
2007-04-21T18:00:00Z,2007-04-21T18:47:14Z,0.001271084152657815,5.593179030414023e-4,6.302346949268969e-4
2007-04-21T18:30:00Z,2007-04-21T19:17:14Z,9.879875629359026e-4,4.405051884246584e-4,5.227287978511332e-4
2007-04-21T19:00:00Z,2007-04-21T19:47:14Z,7.331654957645008e-4,3.3074973612093697e-4,4.2184091456389867e-4
2007-04-21T19:30:00Z,2007-04-21T20:17:14Z,5.224435575410907e-4,2.4110009044573543e-4,3.1481972233419927e-4
2007-04-21T20:00:00Z,2007-04-21T20:47:14Z,3.64936299815931e-4,1.6920287885572558e-4,2.405942260977989e-4
2007-04-21T20:30:00Z,2007-04-21T21:17:14Z,2.648815053829148e-4,1.219700279800062e-4,1.8295501550565942e-4
2007-04-21T21:00:00Z,2007-04-21T21:47:14Z,1.989199273452693e-4,9.54732651112637e-5,1.39828843541579e-4
2007-04-21T21:30:00Z,2007-04-21T22:17:14Z,1.4974585294180368e-4,7.053302964996765e-5,1.0939097860832713e-4
2007-04-21T22:00:00Z,2007-04-21T22:47:14Z,1.0412573205699868e-4,5.4879579813117624e-5,8.077013350987529e-5
2007-04-21T22:30:00Z,2007-04-21T23:17:14Z,8.281300225761713e-5,4.0119861830293884e-5,5.42267145942007e-5
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,6.263574396571051e-5,2.6411110586818472e-5,3.0211282375876516e-5
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,4.375723774332923e-5,2.0028473874465745e-5,1.6041058229407842e-5
2007-04-22T00:00:00Z,2007-04-22T00:47:25Z,2.6443324504842387e-5,1.4028363799650519e-5,9.717328367131255e-6
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,1.8515541633067473e-5,8.499605096184011e-6,4.131071674276868e-6
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,1.1214755908054819e-5,3.6140337943722545e-6,4.131071674276868e-6
2007-04-22T01:30:00Z,2007-04-22T02:17:25Z,1.1214755908054819e-5,3.6140337943722545e-6,0
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,4.767003074799158e-6,3.6140337943722545e-6,4.131071674276868e-6
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,4.767003074799158e-6,0,4.131071674276868e-6
2007-04-22T03:00:00Z,2007-04-22T03:47:25Z,0,0,4.131071674276868e-6
2007-04-22T03:30:00Z,2007-04-22T04:17:25Z,4.767003074799158e-6,0,4.131071674276868e-6
2007-04-22T04:00:00Z,2007-04-22T04:47:25Z,0,0,4.131071674276868e-6
2007-04-22T04:30:00Z,2007-04-22T05:17:25Z,0,3.6140337943722545e-6,4.131071674276868e-6
2007-04-22T05:00:00Z,2007-04-22T05:47:25Z,0,0,9.717328367131255e-6
2007-04-22T05:30:00Z,2007-04-22T06:17:25Z,1.1214755908054819e-5,0,1.6041058229407842e-5
2007-04-22T06:00:00Z,2007-04-22T06:47:25Z,1.8515541633067473e-5,3.6140337943722545e-6,2.290614340001402e-5
2007-04-22T06:30:00Z,2007-04-22T07:17:25Z,3.4881417822650495e-5,1.4028363799650519e-5,3.7893421627848945e-5
2007-04-22T07:00:00Z,2007-04-22T07:47:25Z,7.257384123811717e-5,2.0028473874465745e-5,6.282165839104068e-5
2007-04-22T07:30:00Z,2007-04-22T08:17:25Z,1.3799055203098847e-4,5.4879579813117624e-5,8.077013350987529e-5
2007-04-22T08:00:00Z,2007-04-22T08:47:25Z,2.648815053829148e-4,1.1297526741632642e-4,1.2949274690801668e-4
2007-04-22T08:30:00Z,2007-04-22T09:17:25Z,5.059446376875979e-4,1.6920287885572558e-4,2.0553155430139171e-4
2007-04-22T09:00:00Z,2007-04-22T09:47:25Z,8.08616954040574e-4,2.4110009044573543e-4,2.894866544335516e-4
2007-04-22T09:30:00Z,2007-04-22T10:17:25Z,0.001072031597433273,2.96234847615286e-4,3.6720768978683294e-4
2007-04-22T10:00:00Z,2007-04-22T10:47:25Z,0.001271084152657815,3.4248818751318185e-4,4.079747950732763e-4
2007-04-22T10:30:00Z,2007-04-22T11:17:25Z,0.00145991183686018,3.663109455130007e-4,4.642623784093149e-4
2007-04-22T11:00:00Z,2007-04-22T11:47:25Z,0.0016862613706165306,4.2785829429165467e-4,5.527725435003902e-4
2007-04-22T11:30:00Z,2007-04-22T12:17:25Z,0.0018186224586937028,4.6613341754131346e-4,6.621592859080772e-4
2007-04-22T12:00:00Z,2007-04-22T12:47:25Z,0.0019558741926850405,4.922056699475677e-4,7.443225172788638e-4
2007-04-22T12:30:00Z,2007-04-22T13:17:25Z,0.0021272375726750967,5.456753202227207e-4,8.473739187237727e-4
2007-04-22T13:00:00Z,2007-04-22T13:47:25Z,0.002245642417613015,6.149862856945376e-4,9.553358242546846e-4
