pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,BRA_SAN_Hal_Jt_1,11.61,12,3.95,Hie1,Measured,Individual on a hill top,cm3 cm-2 h-1,29.75,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Hieronyma alchorneoides,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Atr_Jt_10,22.56,11,47.07,Alc1,Measured,NA,cm3 cm-2 h-1,79.99,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Alchornea triplinervia,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Atr_Jt_11,26.29,16,29.89,Alc2,Measured,After a storm a gap was open few meters away from this individual,cm3 cm-2 h-1,104.02,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Alchornea triplinervia,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Atr_Jt_12,14.26,12,10.18,Alc3,Measured,NA,cm3 cm-2 h-1,41.85,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Alchornea triplinervia,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Atr_Jt_13,38.35,13,33.68,Alc4,Measured,Individual in a flat area down hill,cm3 cm-2 h-1,68.06,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Alchornea triplinervia,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Atr_Jt_14,26.29,16,29.89,Alc2bis,Measured,After a storm a gap was open few meters away from this individual,cm3 cm-2 h-1,104.02,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,dominant,Alchornea triplinervia,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Hal_Jt_2,10.53,11,2.14,Hie2,Measured,Individual on a hill top,cm3 cm-2 h-1,42.61,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Hieronyma alchorneoides,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Hal_Jt_3,12.25,12,2.04,Hie3,Measured,Individual on a hill top,cm3 cm-2 h-1,45.58,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,codominant,Hieronyma alchorneoides,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Msc_Jt_4,6.2,6,10.21,Mol1,Measured,Individual in a flat area down hill,cm3 cm-2 h-1,13.38,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,suppressed,Mollinedia schottiana,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Msc_Jt_5,5.54,5,1.75,Mol2,Measured,Individual in a flat area down hill,cm3 cm-2 h-1,6.06,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,suppressed,Mollinedia schottiana,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Msc_Jt_6,8.18,5,9.79,Mol3,Measured,Individual in a flat area down hill and on a terrain not well drained after heavy rainfalls,cm3 cm-2 h-1,33.49,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,suppressed,Mollinedia schottiana,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Rfo_Jt_7,7.7,6,1.6,Rus1,Measured,NA,cm3 cm-2 h-1,8.58,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,suppressed,Rustia formosa,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Rfo_Jt_8,7.13,5,5.22,Rus2,Measured,NA,cm3 cm-2 h-1,15.07,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,suppressed,Rustia formosa,NA,BRA_SAN,kg h-1
NA,No azimuthal correction,NA,BRA_SAN_Rfo_Jt_9,7.03,6.5,5.31,Rus3,Measured,NA,cm3 cm-2 h-1,16.7,NA,FALSE,NTG measured in cyclic heating deisgn,Moist nights zero flow,1.3,35,ICT International,HR,30,suppressed,Rustia formosa,NA,BRA_SAN,kg h-1
