pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,6,ESP_TIL_OAK_Qil_Js_1,13.2,7.3,14.3496205758,737,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,106.3114953975,4.5,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5.2,ESP_TIL_OAK_Qil_Js_10,7.6,6.2,6.6566619293,746,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,30.6062852351,2.3,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5,ESP_TIL_OAK_Qil_Js_2,16.2,5.2,20.2426464814,738,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,128.6482191645,3.5,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,6,ESP_TIL_OAK_Qil_Js_3,11.8,8.1,11.6011904368,739,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,79.1681348705,3.6,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,4,ESP_TIL_OAK_Qil_Js_4,14,7.4,14.6112594465,740,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,110.4269817737,3.7,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5.2,ESP_TIL_OAK_Qil_Js_5,16.3,7.4,19.0566419193,741,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,154.0511373614,4.6,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5.2,ESP_TIL_OAK_Qil_Js_6,16.8,10.2,23.653819332,742,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,123.2949452828,3.1,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5.2,ESP_TIL_OAK_Qil_Js_7,9.5,5.6,9.9787067796,743,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,54.9653050672,3.6,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5,ESP_TIL_OAK_Qil_Js_8,9,5.5,8.6687539242,744,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,40.6443549558,2.25,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
NA,No azimuthal correction,5.2,ESP_TIL_OAK_Qil_Js_9,11.7,5.6,13.3225452772,745,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,79.8467188836,3.6,FALSE,NTG modelled,Moist nights zero flow,1.3,10,Lab made,HD,15,dominant,Quercus ilex,NA,ESP_TIL_OAK,mm3 mm-2 s-1
