TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST1_Psy_Js_1,GBR_GUI_ST1_Psy_Js_2,GBR_GUI_ST1_Psy_Js_3,GBR_GUI_ST1_Psy_Js_4,GBR_GUI_ST1_Psy_Js_5,GBR_GUI_ST1_Psy_Js_6,GBR_GUI_ST1_Psy_Js_7,GBR_GUI_ST1_Psy_Js_8,GBR_GUI_ST1_Psy_Js_9,GBR_GUI_ST1_Psy_Js_10,GBR_GUI_ST1_Psy_Js_11,GBR_GUI_ST1_Psy_Js_12,GBR_GUI_ST1_Psy_Js_13,GBR_GUI_ST1_Psy_Js_14,GBR_GUI_ST1_Psy_Js_15
2003-05-05T00:00:00Z,2003-05-04T23:43:50Z,1.620443953899314e-4,7.770358282417598e-5,NA,1.2908274584638995e-4,9.184768971052135e-5,NA,NA,4.381683029609262e-4,2.1300275790135667e-4,NA,NA,NA,NA,NA,3.2269993641553536e-4
2003-05-05T00:15:00Z,2003-05-04T23:58:50Z,1.4654360288317923e-4,4.0113761094314403e-5,NA,1.0565285745000394e-4,6.330282887125597e-5,NA,NA,4.3137584790993466e-4,2.0293938183391013e-4,NA,NA,NA,NA,NA,3.459838100903065e-4
2003-05-05T00:30:00Z,2003-05-05T00:13:54Z,1.3391737108792997e-4,4.825647621830467e-5,NA,1.0924436310994763e-4,6.268189782169049e-5,NA,NA,4.2893115481011245e-4,1.7090769794572932e-4,NA,NA,NA,NA,NA,3.1009538412901433e-4
2003-05-05T00:45:00Z,2003-05-05T00:28:54Z,6.610997085721256e-5,3.184608856999877e-5,NA,6.012242926932834e-5,7.450312388511453e-5,NA,NA,4.1086640306811563e-4,1.492979554768254e-4,NA,NA,NA,NA,NA,3.045672787449384e-4
2003-05-05T01:00:00Z,2003-05-05T00:43:54Z,6.922201187261974e-5,2.4660240791574127e-5,NA,4.385348458911133e-5,5.756423290174144e-5,NA,NA,4.245495172820592e-4,1.3181211608145551e-4,NA,NA,NA,NA,NA,2.6084535404354703e-4
2003-05-05T01:15:00Z,2003-05-05T00:58:54Z,7.20026760543174e-5,2.611730560465219e-6,NA,1.2944507166360812e-5,5.744031442788361e-5,NA,NA,4.1298500682915816e-4,1.31177397399246e-4,NA,NA,NA,NA,NA,2.160700720066196e-4
2003-05-05T01:30:00Z,2003-05-05T01:13:54Z,9.656474685981524e-5,4.4058254694022875e-6,NA,3.848618207396629e-5,5.5947812952826555e-5,NA,NA,4.0483440489550576e-4,9.96504458615307e-5,NA,NA,NA,NA,NA,2.0446948954811636e-4
2003-05-05T01:45:00Z,2003-05-05T01:28:54Z,1.6707351380698687e-4,4.260971865562568e-6,NA,2.1736629349918456e-5,5.497279211058569e-5,NA,NA,3.337557985714626e-4,9.806764274177977e-5,NA,NA,NA,NA,NA,1.1568410799957864e-4
2003-05-05T02:00:00Z,2003-05-05T01:43:54Z,1.7588753075952564e-4,3.741536256041976e-6,NA,5.344617644963929e-5,5.718576808857673e-5,NA,NA,3.949805223755115e-4,1.0515205926482693e-4,NA,NA,NA,NA,NA,1.721248478128468e-4
2003-05-05T02:15:00Z,2003-05-05T01:58:54Z,2.4461486278565703e-4,7.358376241292185e-6,NA,2.9431318561581414e-5,5.578445982698274e-5,NA,NA,3.564990347043693e-4,9.434283371882294e-5,NA,NA,NA,NA,NA,4.06272801962784e-5
2003-05-05T02:30:00Z,2003-05-05T02:13:54Z,9.442986635621969e-5,2.1057531908833123e-5,NA,3.512164930740192e-5,3.594670480722923e-5,NA,NA,4.104732475686104e-4,9.126818280042442e-5,NA,NA,NA,NA,NA,4.061557658733464e-5
2003-05-05T02:45:00Z,2003-05-05T02:28:54Z,5.814489987086651e-5,3.0194189292024014e-5,NA,4.7876126597674544e-5,4.141125292900169e-5,NA,NA,4.1800738158323904e-4,6.525520506266197e-5,NA,NA,NA,NA,NA,1.7275747917128505e-5
2003-05-05T03:00:00Z,2003-05-05T02:43:54Z,4.5862500735066356e-5,3.988793819851984e-5,NA,2.6562587772507404e-5,6.422956845034812e-5,NA,NA,4.2384172330347787e-4,7.053021380639203e-5,NA,NA,NA,NA,NA,0
2003-05-05T03:15:00Z,2003-05-05T02:58:54Z,6.246119168366227e-5,5.6256051426027985e-5,NA,3.187713476762473e-5,6.725104778551908e-5,NA,NA,4.7003749312280314e-4,6.723623773288492e-5,NA,NA,NA,NA,NA,0
