Site,Latitude,Longitude,Biome,MAP,MAT,Location,Functional Type,Average Wind Speed,K-Means Label
ARG_MAZ,-51.57944,-72.28639,Woodland/Shrubland,471.5845260994644,4.034818139939112,ARG_MAZ,0,7.261666666666666,3
ARG_TRE,-51.31667,-72.185,Woodland/Shrubland,442.3418037401507,4.7516285248065415,ARG_TRE,0,6.575833333333333,3
AUS_RIC_EUC_ELE,-33.6177777777778,150.74027777777778,Woodland/Shrubland,898.6187982976855,17.6,AUS_RIC_EUC_ELE,1,2.56,5
AUS_WOM,-37.4222,144.0944,Temperate forest,1023.8291743244558,10.917803669211503,AUS_WOM,1,4.675,4
CAN_TUR_P39,42.7097777778,-80.3574,Temperate forest,1000.3439889558788,9.0,CAN_TUR_P39_POS_P39_PRE_P74,1,3.734166666666667,0
CAN_TUR_P74,42.7068111111,-80.3483138889,Temperate forest,1002.6151231402756,9.000000000000002,CAN_TUR_P39_POS_P39_PRE_P74,1,3.73,0
CHE_DAV_SEE,46.81668,9.856198,Temperate forest,840.0492344086587,3.835492337507554,CHE_DAV_SEE,1,2.5925,6
CRI_TAM_TOW,10.386944444444444,-84.62583333333333,Tropical rain forest,3625.909579575401,22.97295965992198,CRI_TAM_TOW,missing,2.895833333333333,2
CZE_LIZ_LES,49.06668,13.67975,Temperate forest,837.0527287696275,6.030012700734641,CZE_LIZ_LES,1,3.5525,0
DEU_STE_2P3,53.1,13.0,Woodland/Shrubland,594.6022627127221,8.9,DEU_STE_2P3_4P5,0,3.785,0
DEU_STE_4P5,53.1,13.0,Woodland/Shrubland,594.6022627127221,8.9,DEU_STE_2P3_4P5,0,3.785,0
ESP_CAN,41.4309888889,2.07361111111111,Woodland/Shrubland,763.3799028388485,15.37706180524204,ESP_CAN,2,2.993333333333334,1
ESP_SAN_A2_45I,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100,1,2.885,1
ESP_SAN_A_45I,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100,1,2.885,1
ESP_SAN_B2_100,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100,1,2.885,1
ESP_SAN_B_100,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100,1,2.885,1
ESP_TIL_MIX,41.33262995,1.0144288,Woodland/Shrubland,651.2747274910893,10.483546437312134,ESP_TIL_MIX_OAK_PIN,1,3.600833333333334,0
ESP_TIL_OAK,41.33262416,1.01409989,Woodland/Shrubland,651.3032142911829,10.4951943694421,ESP_TIL_MIX_OAK_PIN,1,3.600833333333334,0
ESP_TIL_PIN,41.328113,1.006642,Woodland/Shrubland,674.2422356897288,10.08712006211712,ESP_TIL_MIX_OAK_PIN,1,3.600833333333334,0
ESP_VAL_SOR,42.19605278,1.8135611,Woodland/Shrubland,622.8961375657409,8.503677064013853,ESP_VAL_SOR,1,4.6525,4
FIN_PET,69.491822025,27.2310822944,Woodland/Shrubland,415.4990215765709,-0.2114593025875115,FIN_PET,0,2.4616666666666664,6
FRA_HES_HE1_NON,48.6742,7.0647,Temperate forest,1003.480624535542,9.970148971480416,FRA_HES_HE1_NON_HE2_NON,0,3.270000000000001,0
FRA_HES_HE2_NON,48.6742,7.0647,Temperate forest,1003.480624535542,9.970148971480416,FRA_HES_HE1_NON_HE2_NON,0,3.270000000000001,0
FRA_PUE,43.74138888888889,3.5958333333333337,Woodland/Shrubland,1022.9742806569658,13.796654344063086,FRA_PUE,1,4.370833333333334,4
GBR_ABE_PLO,56.616,-3.8,Temperate forest,971.2289645770106,7.317755012148953,GBR_ABE_PLO,1,4.355833333333333,4
GBR_DEV_CON,56.03333,-3.716667,Woodland/Shrubland,814.9665774078702,9.4,GBR_DEV_CON_DRO,1,4.59,4
GBR_DEV_DRO,56.03333,-3.716667,Woodland/Shrubland,814.9665774078702,9.4,GBR_DEV_CON_DRO,1,4.59,4
GBR_GUI_ST1,57.266667,-4.816667,Temperate forest,1472.9548624827808,6.951691056807002,GBR_GUI_ST1_ST2_ST3,1,4.23,4
GBR_GUI_ST2,57.266667,-4.816667,Temperate forest,1472.9548624827808,6.951691056807002,GBR_GUI_ST1_ST2_ST3,1,4.23,4
GBR_GUI_ST3,57.266667,-4.816667,Temperate forest,1472.9548624827808,6.951691056807002,GBR_GUI_ST1_ST2_ST3,1,4.23,4
GUF_GUY_GUY,5.278772,-52.924863,Tropical rain forest,2706.4339257839342,26.145252504001824,GUF_GUY_GUY,2,2.1358333333333333,2
GUF_GUY_ST2,5.28166666666667,-52.9122222222222,Tropical rain forest,2815.735173730124,26.1,GUF_GUY_ST2,1,2.2075,2
IDN_JAM_OIL,-2.0708889,102.7918333,Tropical rain forest,2825.8190047904336,26.2,IDN_JAM_OIL,1,1.2983333333333331,2
IDN_JAM_RUB,-2.095278,102.783222,Tropical rain forest,2930.8308946415705,26.195803864133342,IDN_JAM_RUB,0,1.2900000000000005,2
ITA_TOR,45.82376,7.56089,Temperate forest,754.6507373082957,2.126712686785243,ITA_TOR,0,2.7891666666666666,6
NLD_LOO,52.16648333333333,5.7435527777777775,Woodland/Shrubland,869.5996049842744,9.91298080709254,NLD_LOO,1,4.015000000000001,0
NZL_HUA_HUA,-36.7958,174.4903,Temperate forest,1371.2343226680414,14.97470581069803,NZL_HUA_HUA,1,4.870833333333333,4
PRT_LEZ_ARN,38.8333333333333,-8.81666666666667,Woodland/Shrubland,713.1668713551392,17.0,PRT_LEZ_ARN,1,3.3841666666666668,1
SWE_NOR_ST1_ST3,60.086,17.48,Woodland/Shrubland,564.1492436799361,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF,1,2.8825,6
SWE_NOR_ST2,60.086,17.48,Woodland/Shrubland,564.1492436799361,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF,1,2.8825,6
SWE_NOR_ST4_AFT,60.083,17.476,Woodland/Shrubland,564.1435460987616,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF,2,2.8816666666666664,6
SWE_NOR_ST4_BEF,60.083,17.476,Woodland/Shrubland,564.1435460987616,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF,1,2.8816666666666664,6
SWE_NOR_ST5_REF,60.083,17.476,Woodland/Shrubland,564.1435460987616,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF,2,2.8816666666666664,6
THA_KHU,15.273,103.081,Tropical forest savanna,1178.0090687851614,27.20655273436945,THA_KHU,0,1.471666666666667,5
USA_DUK_HAR,36.978175,-79.09419083333333,Temperate forest,1189.0459452487833,14.591959500821698,USA_DUK_HAR,0,2.4133333333333336,5
USA_HIL,36.21737300266667,-78.86411700966667,Temperate forest,1218.9543502227104,15.139851241559365,USA_HIL_HF1_POS_HF1_PRE_HF2,2,2.441666666666667,5
USA_HUY_LIN_NON,42.5275305555556,-74.1572027777778,Temperate forest,859.5962309235513,7.858995128807362,USA_HUY_LIN_NON,1,3.599166666666667,0
USA_INM,39.323228,-86.413239,Temperate forest,1157.875702542217,12.026031919391516,USA_INM,0,3.673333333333333,0
USA_PAR_FER,35.8031111111111,-76.6679166666667,Temperate forest,1284.4380721104974,16.6,USA_PAR_FER,1,2.8766666666666665,5
USA_PJS_P04_AMB,34.38638888888889,-106.529444444444,Temperate grassland desert,311.4291562685986,12.667087645095911,USA_PJS_P04_AMB_P08_AMB_P12_AMB,1,3.925833333333333,1
USA_PJS_P08_AMB,34.38638888888889,-106.529444444444,Temperate grassland desert,311.4291562685986,12.667087645095911,USA_PJS_P04_AMB_P08_AMB_P12_AMB,1,3.925833333333333,1
USA_PJS_P12_AMB,34.38638888888889,-106.529444444444,Temperate grassland desert,311.4291562685986,12.667087645095911,USA_PJS_P04_AMB_P08_AMB_P12_AMB,1,3.925833333333333,1
USA_SIL_OAK,39.91563055555555,-74.59555555555555,Temperate forest,1180.339859654929,12.9,USA_SIL_OAK_1PR_2PR,2,3.49,0
USA_SYL_HL2,46.2420166666667,-89.34765,Temperate forest,878.5838815678686,4.3,USA_SYL_HL2,2,3.581666666666667,0
USA_TNB,36.471197,-84.704072,Temperate forest,1409.433273374076,13.508674514960466,USA_TNB,0,2.3616666666666664,5
USA_TNO,35.966,-84.281866,Temperate forest,1497.0824463127597,14.613416579952167,USA_TNO_TNP,0,1.9825,5
USA_TNP,35.96041,-84.287933,Temperate forest,1488.6585462446037,14.627981625150284,USA_TNO_TNP,2,1.9825,5
USA_TNY,35.687635,-83.501202,Temperate forest,1285.1274179840843,12.755143317785736,USA_TNY,0,2.388333333333333,5
USA_UMB_CON,45.5597222222222,-84.7133333333333,Temperate forest,821.466231227942,6.097363101945679,USA_UMB_CON,2,3.638333333333333,0
USA_UMB_GIR,45.5625,-84.6975,Temperate forest,793.8302522420379,6.101673175006757,USA_UMB_GIR,2,3.6225,0
USA_WIL_WC1,45.8130555555556,-90.0866666666667,Temperate forest,872.0103481648218,5.000000000000001,USA_WIL_WC1,0,3.208333333333333,6
USA_WVF,39.058867,-79.690668,Temperate forest,1408.3560420211718,9.39554841834926,USA_WVF,0,3.2891666666666666,0
ZAF_FRA_FRA,-33.884334,19.060978,Woodland/Shrubland,973.8168782602936,16.699999999999996,ZAF_FRA_FRA,0,3.7941666666666674,1
ZAF_NOO_E3_IRR,-33.20099166666667,19.337516666666662,Woodland/Shrubland,637.8946772174824,12.6720338438864,ZAF_NOO_E3_IRR,0,3.19,1
ZAF_SOU_SOU,-34.087,19.0933,Woodland/Shrubland,929.33201916927,15.28335143112229,ZAF_SOU_SOU,0,4.055833333333333,1
