TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad
1998-03-31T14:00:00Z,1998-03-31T08:18:58Z,22,57.78,1.1203105888360143,543,1076,6.91,0,NA,1142.8763425831223
1998-03-31T15:00:00Z,1998-03-31T09:18:58Z,23.41,57.12,1.239428865154864,550.5,1080,7.17,0,0.1993,1162.0891840461065
1998-03-31T16:00:00Z,1998-03-31T10:18:58Z,24.32,54.89,1.3772223382439144,731,1433,7.29,0,0.1973,1106.0776920277322
1998-03-31T17:00:00Z,1998-03-31T11:18:58Z,26.03,47.35,1.779703238122561,654.8,1289,8.14,0,0.1967,978.6605452210301
1998-03-31T18:00:00Z,1998-03-31T12:18:58Z,26.11,44.5,1.8849377461546846,677.5,1344,7.15,0,0.19649999999999998,788.5246105790588
1998-03-31T19:00:00Z,1998-03-31T13:18:58Z,26.63,45.26,1.9170575899501032,761,1481,6.458,0,0.1961,548.6327014919988
1998-03-31T20:00:00Z,1998-03-31T14:18:58Z,26.79,45.49,1.927065813559107,649.6,1251,5.283,0,0.1956,275.33981708135536
1998-03-31T21:00:00Z,1998-03-31T15:18:58Z,27.23,42.71,2.078363567097803,296.5,573,5.992,0,0.1963,0
1998-03-31T22:00:00Z,1998-03-31T16:18:58Z,26.52,41.94,2.0201921809567294,74.1,140.3,5.295,0,0.1972,0
1998-03-31T23:00:00Z,1998-03-31T17:18:58Z,24.83,48.73,1.613771001019253,20.79,45.64,4.333,0,0.198,0
1998-04-01T00:00:00Z,1998-03-31T18:18:58Z,23.59,52.17,1.397593370177956,NA,NA,3.241,0,0.19879999999999998,0
1998-04-01T01:00:00Z,1998-03-31T19:18:58Z,22.66,57.21,1.181951737088421,NA,NA,3.512,0,0.1991,0
1998-04-01T02:00:00Z,1998-03-31T20:18:58Z,22.42,59.96,1.0899857501679242,0.22,0.745,5.439,0.1,0.19879999999999998,0
1998-04-01T03:00:00Z,1998-03-31T21:18:58Z,22.45,64.11,0.978795984099377,0.176,12.49,4.802,8.9,0.1996,0
1998-04-01T04:00:00Z,1998-03-31T22:18:58Z,19.23,89.7,0.2304141412602605,NA,NA,5.464,1.4,0.2007,0
1998-04-01T05:00:00Z,1998-03-31T23:18:58Z,17.72,94.5,0.11192977999974407,NA,1.864,3.711,1.2,0.20129999999999998,0
1998-04-01T06:00:00Z,1998-04-01T00:19:16Z,17.01,97.2,0.05448221683751475,NA,NA,4.679,5.6,0.20190000000000002,0
1998-04-01T07:00:00Z,1998-04-01T01:19:16Z,16.41,97.3,0.05057192201170935,NA,16.97,4.641,3.4,0.2036,0
1998-04-01T08:00:00Z,1998-04-01T02:19:16Z,12.85,97.5,0.037211171483484184,NA,11.56,4.297,0.1,0.2045,0
1998-04-01T09:00:00Z,1998-04-01T03:19:16Z,11.54,96.3,0.05052403052868493,NA,NA,2.899,0,0.205,137.60310619082188
1998-04-01T10:00:00Z,1998-04-01T04:19:16Z,11.04,96.7,0.04359318695706671,NA,12.87,1.998,0,0.20559999999999998,420.3704553377429
1998-04-01T11:00:00Z,1998-04-01T05:19:16Z,10.41,97.3,0.03420216002747423,7.35,18.28,2.055,0,0.2061,678.8475905035448
1998-04-01T12:00:00Z,1998-04-01T06:19:16Z,10.16,97.6,0.029898372258412742,164.6,318.4,1.926,0,0.2064,895.4124742438258
1998-04-01T13:00:00Z,1998-04-01T07:19:16Z,10.97,96.6,0.0447058356222203,148.7,314.8,2.293,0,0.20620000000000002,1055.3004998668862
1998-04-01T14:00:00Z,1998-04-01T08:19:16Z,11.88,92.9,0.09915357555864102,652.3,1248,3.332,0,0.205,1147.6110880121103
1998-04-01T15:00:00Z,1998-04-01T09:19:16Z,14.54,78.6,0.355530384396896,792,1530,4.138,0,0.2025,1166.0508473409552
1998-04-01T16:00:00Z,1998-04-01T10:19:16Z,16.51,64.18,0.6752042090375783,874,1684,5.441,0,0.18095,1109.3626334821531
1998-04-01T17:00:00Z,1998-04-01T11:19:16Z,18.13,51.64,1.0098880158987626,912,1751,6.132,0,0.18095,981.4112547268372
1998-04-01T18:00:00Z,1998-04-01T12:19:16Z,19.75,42.07,1.3384898927139082,907,1737,5.721,0,0.1819,790.9199815683116
1998-04-01T19:00:00Z,1998-04-01T13:19:16Z,21.14,36.65,1.5948278456959497,845,1605,5.709,0,0.18195,550.8758241098975
1998-04-01T20:00:00Z,1998-04-01T14:19:16Z,21.95,31.24,1.818995016206541,711,1339,5.993,0,0.18175,277.64412355232304
1998-04-01T21:00:00Z,1998-04-01T15:19:16Z,22.74,26.41,2.0426028528166698,510.5,954,5.899,0,0.18230000000000002,0
1998-04-01T22:00:00Z,1998-04-01T16:19:16Z,22.17,25,2.0108572921058996,276.4,501.6,6.248,0,0.18305,0
1998-04-01T23:00:00Z,1998-04-01T17:19:16Z,20.73,28.16,1.7635411461182204,60.67,105.3,5.791,0,0.18414999999999998,0
1998-04-02T00:00:00Z,1998-04-01T18:19:16Z,19.18,32.29,1.5099820802282258,0,NA,5.155,0,0.18505,0
1998-04-02T01:00:00Z,1998-04-01T19:19:16Z,17.96,34.87,1.3456334169807453,NA,2.05,4.576,0,0.18575000000000003,0
1998-04-02T02:00:00Z,1998-04-01T20:19:16Z,16.91,37.73,1.2039887970604957,NA,0.373,4.225,0,0.18630000000000002,0
1998-04-02T03:00:00Z,1998-04-01T21:19:16Z,16.24,39.46,1.1217203813500458,NA,2.983,3.999,0,0.18689999999999998,0
1998-04-02T04:00:00Z,1998-04-01T22:19:16Z,15.26,41.5,1.0180334947683094,NA,1.678,3.581,0,0.1875,0
1998-04-02T05:00:00Z,1998-04-01T23:19:16Z,14.31,44.69,0.9053322925908336,NA,1.492,3.966,0,0.18785,0
1998-04-02T06:00:00Z,1998-04-02T00:19:33Z,13.4,50.49,0.763887110582212,NA,2.237,4.226,0,0.18814999999999998,0
1998-04-02T07:00:00Z,1998-04-02T01:19:33Z,13.01,54.18,0.6891827847600919,NA,1.492,4.176,0,0.18855,0
1998-04-02T08:00:00Z,1998-04-02T02:19:33Z,12.7,55.55,0.6551458804030392,NA,1.678,3.804,0,0.1889,0
1998-04-02T09:00:00Z,1998-04-02T03:19:33Z,11.92,58.54,0.5805305866440792,NA,1.492,3.173,0,0.18935000000000002,145.65129875049695
1998-04-02T10:00:00Z,1998-04-02T04:19:33Z,10.89,62.43,0.49137975257367916,NA,1.678,3.131,0,0.1899,427.9486944805582
1998-04-02T11:00:00Z,1998-04-02T05:19:33Z,10.08,66.94,0.40965191729559636,22.97,42.15,3.256,0,0.19015,685.8036182858365
1998-04-02T12:00:00Z,1998-04-02T06:19:33Z,9.87,70.5,0.360434358610878,196.6,374.7,3.192,0,0.18985,901.6365006254229
1998-04-02T13:00:00Z,1998-04-02T07:19:33Z,11.38,66.41,0.4538445937685881,828,1585,3.636,0,0.18395,1060.732680865949
1998-04-02T14:00:00Z,1998-04-02T08:19:33Z,15.32,53.44,0.8133784621708497,925,1760,3.864,0,0.18200000000000002,1152.2455958082962
1998-04-02T15:00:00Z,1998-04-02T09:19:33Z,18.35,38.24,1.30764992216158,NA,NA,NA,NA,NA,1169.9362554820782
1998-04-02T16:00:00Z,1998-04-02T10:19:33Z,19.93,34.06,1.5406619414085365,NA,NA,NA,NA,NA,1112.5985917378032
1998-04-02T17:00:00Z,1998-04-02T11:19:33Z,21.64,31.06,1.7895478857439269,NA,NA,NA,NA,NA,984.1416812027994
