TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad,interpolated
2014-01-01 03:00:00+00:00,24.4,86.0,0.43,0.0,1.2,-50.0,2.7,0.0,0.225,0.369,0.0,False
2014-01-01 03:30:00+00:00,24.3,87.0,0.4,0.0,1.3,-54.2,2.4,0.0,0.224,0.369,0.0,False
2014-01-01 04:00:00+00:00,24.4,87.7,0.38,0.0,1.4,-50.8,1.7,0.0,0.224,0.369,0.0,False
2014-01-01 04:30:00+00:00,24.5,87.7,0.38,0.0,1.3,-39.8,1.6,0.0,0.223,0.369,0.0,False
2014-01-01 05:00:00+00:00,24.4,87.7,0.38,0.0,0.9,-28.5,0.7,0.0,0.223,0.369,0.0,False
2014-01-01 05:30:00+00:00,24.4,88.0,0.37,0.0,1.7,-21.9,0.2,0.0,0.222,0.369,0.0,False
2014-01-01 06:00:00+00:00,24.3,88.3,0.36,0.0,1.0,-18.1,0.3,0.2,0.222,0.369,0.0,False
2014-01-01 06:30:00+00:00,24.2,88.9,0.34,0.0,0.8,-7.6,0.5,0.2,0.221,0.369,0.0,False
2014-01-01 07:00:00+00:00,23.7,89.6,0.31,0.0,1.4,-10.5,1.7,0.0,0.221,0.369,0.0,False
2014-01-01 07:30:00+00:00,23.5,90.7,0.27,0.0,0.9,-3.7,2.0,3.4,0.227,0.369,0.0,False
2014-01-01 08:00:00+00:00,23.6,91.2,0.26,0.0,1.6,-1.4,1.4,3.2,0.244,0.369,0.0,False
2014-01-01 08:30:00+00:00,23.7,91.5,0.25,0.0,1.5,-0.5,0.8,8.2,0.269,0.369,0.0,False
2014-01-01 09:00:00+00:00,23.5,91.7,0.24,0.0,1.8,-1.1,1.3,32.8,0.301,0.369,0.0,False
2014-01-01 09:30:00+00:00,23.4,91.9,0.23,0.0,0.0,-1.5,1.5,1.2,0.278,0.369,0.0,False
2014-01-01 10:00:00+00:00,23.4,92.1,0.23,3.1,4.6,0.7,1.7,0.8,0.263,0.369,63.76316485153442,False
2014-01-01 10:30:00+00:00,23.3,92.2,0.22,25.7,47.3,19.3,1.3,0.4,0.258,0.371,231.3695317464916,False
2014-01-01 11:00:00+00:00,23.4,92.2,0.23,36.4,72.5,30.3,2.7,4.2,0.261,0.374,394.1506243947323,False
2014-01-01 11:30:00+00:00,23.5,92.1,0.23,27.2,62.1,24.5,1.9,12.2,0.294,0.377,549.3230346296742,False
2014-01-01 12:00:00+00:00,23.5,92.2,0.23,49.5,111.4,44.4,2.4,1.4,0.281,0.382,694.233454714301,False
2014-01-01 12:30:00+00:00,23.5,92.1,0.23,70.9,164.1,63.9,4.1,5.4,0.279,0.384,826.4040465448365,False
2014-01-01 13:00:00+00:00,23.3,92.2,0.22,85.0,197.2,76.5,4.2,4.4,0.287,0.385,943.5748105154036,False
2014-01-01 13:30:00+00:00,23.4,92.2,0.23,167.5,377.8,149.3,4.4,3.6,0.286,0.385,1043.742229571904,False
2014-01-01 14:00:00+00:00,23.2,91.9,0.23,120.0,274.3,106.7,5.5,2.8,0.276,0.385,1125.1935276739332,False
2014-01-01 14:30:00+00:00,23.0,92.0,0.23,88.9,214.9,81.0,4.4,10.2,0.294,0.385,1186.5359568727022,False
2014-01-01 15:00:00+00:00,23.2,92.0,0.23,149.1,353.6,134.9,4.3,5.0,0.295,0.386,1226.7206122175437,False
2014-01-01 15:30:00+00:00,23.5,92.0,0.23,302.8,640.1,265.6,4.0,0.2,0.279,0.386,1245.0603672736388,False
2014-01-01 16:00:00+00:00,23.8,91.6,0.25,278.6,588.4,244.7,3.6,0.0,0.265,0.386,1241.2416235642277,False
2014-01-01 16:30:00+00:00,24.1,91.0,0.27,380.3,755.6,328.6,3.1,0.0,0.257,0.386,1215.3296730273685,False
2014-01-01 17:00:00+00:00,24.7,88.2,0.37,444.6,888.6,376.9,3.3,0.0,0.252,0.386,1167.7675817884324,False
2014-01-01 17:30:00+00:00,25.1,84.6,0.49,375.3,732.6,317.2,4.5,0.0,0.248,0.386,1099.3686143293512,False
2014-01-01 18:00:00+00:00,25.2,83.1,0.54,323.6,655.0,265.5,3.8,0.0,0.246,0.386,1011.3023275889944,False
2014-01-01 18:30:00+00:00,24.7,84.6,0.48,137.6,280.0,112.0,3.7,0.8,0.244,0.386,905.074572767936,False
2014-01-01 19:00:00+00:00,23.7,88.3,0.34,74.4,152.8,61.5,4.5,0.2,0.243,0.386,782.5017467835567,False
2014-01-01 19:30:00+00:00,23.7,88.0,0.35,168.4,347.1,142.4,4.6,0.0,0.243,0.386,645.6797336482068,False
2014-01-01 20:00:00+00:00,24.0,85.8,0.43,73.0,152.2,61.1,5.2,0.8,0.242,0.386,496.9480668411878,False
2014-01-01 20:30:00+00:00,22.9,89.6,0.29,28.8,66.1,25.3,6.8,2.2,0.246,0.386,338.8499254617966,False
2014-01-01 21:00:00+00:00,22.8,90.7,0.26,12.9,30.2,11.1,6.9,4.8,0.272,0.386,174.08864819152475,False
2014-01-01 21:30:00+00:00,22.5,91.0,0.25,5.1,10.7,4.2,6.6,7.2,0.292,0.386,5.481508635382052,False
2014-01-01 22:00:00+00:00,22.6,91.1,0.25,0.2,1.1,-0.3,6.8,9.2,0.3,0.386,0.0,False
2014-01-01 22:30:00+00:00,22.2,91.1,0.24,0.2,1.2,-1.1,6.3,5.6,0.296,0.386,0.0,False
2014-01-01 23:00:00+00:00,21.8,91.2,0.23,0.0,1.5,-3.5,5.6,1.6,0.288,0.386,0.0,False
2014-01-01 23:30:00+00:00,21.7,91.1,0.23,0.0,1.8,-14.9,4.9,0.2,0.274,0.386,0.0,False
2014-01-02 00:00:00+00:00,21.8,91.1,0.23,0.0,1.0,-30.1,4.1,0.0,0.264,0.386,0.0,False
2014-01-02 00:30:00+00:00,21.8,91.2,0.23,0.0,0.5,-30.6,4.1,0.0,0.257,0.386,0.0,False
2014-01-02 01:00:00+00:00,21.7,91.2,0.23,0.0,1.1,-29.8,3.2,0.0,0.253,0.386,0.0,False
2014-01-02 01:30:00+00:00,21.5,91.2,0.23,0.0,1.3,-22.4,2.9,0.0,0.25,0.386,0.0,False
2014-01-02 02:00:00+00:00,21.3,91.0,0.23,0.0,0.4,-21.4,3.2,0.0,0.247,0.386,0.0,False
2014-01-02 02:30:00+00:00,21.1,90.6,0.24,0.0,1.3,-22.4,2.3,0.0,0.245,0.386,0.0,False
2014-01-02 03:00:00+00:00,21.1,90.5,0.24,0.0,0.8,-27.9,1.7,0.0,0.243,0.386,0.0,False
2014-01-02 03:30:00+00:00,21.2,89.7,0.26,0.0,1.3,-29.3,1.8,0.0,0.241,0.386,0.0,False
2014-01-02 04:00:00+00:00,21.1,89.8,0.26,0.0,0.3,-32.9,1.2,0.0,0.24,0.386,0.0,False
2014-01-02 04:30:00+00:00,21.0,89.9,0.25,0.0,1.1,-25.2,1.3,0.0,0.239,0.386,0.0,False
2014-01-02 05:00:00+00:00,21.0,89.6,0.26,0.0,0.8,-26.8,2.6,0.0,0.238,0.386,0.0,False
2014-01-02 05:30:00+00:00,20.9,89.9,0.25,0.0,2.7,-30.9,2.1,0.0,0.237,0.386,0.0,False
2014-01-02 06:00:00+00:00,20.8,90.3,0.24,0.0,3.9,-40.3,1.6,0.0,0.236,0.386,0.0,False
2014-01-02 06:30:00+00:00,20.8,90.1,0.24,0.0,0.0,-31.4,1.4,0.0,0.235,0.386,0.0,False
2014-01-02 07:00:00+00:00,20.9,89.3,0.27,0.0,0.2,-21.0,1.6,0.0,0.234,0.386,0.0,False
2014-01-02 07:30:00+00:00,20.9,89.3,0.27,0.0,1.5,-22.4,1.5,0.0,0.234,0.386,0.0,False
2014-01-02 08:00:00+00:00,20.8,89.6,0.26,0.0,1.2,-24.0,1.9,0.0,0.233,0.386,0.0,False
2014-01-02 08:30:00+00:00,21.5,85.5,0.37,0.0,0.9,-20.8,1.2,0.0,0.232,0.386,0.0,False
2014-01-02 09:00:00+00:00,21.4,86.0,0.36,0.0,1.3,-15.9,0.8,0.0,0.232,0.386,0.0,False
2014-01-02 09:30:00+00:00,21.2,88.0,0.3,0.0,1.5,-16.3,0.9,0.0,0.231,0.386,0.0,False
2014-01-02 10:00:00+00:00,21.0,90.0,0.25,1.5,2.9,-9.0,1.6,0.0,0.231,0.386,59.0235888960306,False
2014-01-02 10:30:00+00:00,20.8,90.9,0.23,19.3,39.6,4.7,1.3,0.0,0.23,0.386,226.8416869652689,False
2014-01-02 11:00:00+00:00,20.9,91.3,0.22,84.2,163.7,40.4,1.6,0.0,0.229,0.386,389.91502096796887,False
2014-01-02 11:30:00+00:00,21.3,91.4,0.22,141.2,273.7,92.6,0.6,0.0,0.229,0.386,545.4551641391166,False
2014-01-02 12:00:00+00:00,21.9,91.0,0.24,184.0,366.2,147.3,0.9,0.0,0.229,0.386,690.8025001942707,False
2014-01-02 12:30:00+00:00,22.6,90.6,0.26,203.5,411.9,165.7,0.3,0.0,0.228,0.386,823.47170076119,False
2014-01-02 13:00:00+00:00,23.6,89.2,0.32,307.0,626.9,248.4,0.1,0.0,0.228,0.386,941.19422265829,False
2014-01-02 13:30:00+00:00,24.5,86.9,0.4,411.0,815.6,330.7,0.8,0.0,0.227,0.385,1041.9570983473584,False
2014-01-02 14:00:00+00:00,24.4,86.2,0.42,145.8,311.8,124.1,2.7,5.2,0.229,0.385,1124.0373562705229,False
2014-01-02 14:30:00+00:00,23.9,86.8,0.39,290.1,599.9,244.4,2.3,0.4,0.249,0.385,1186.0314825059377,False
2014-01-02 15:00:00+00:00,24.7,88.2,0.37,312.2,640.0,252.0,1.5,0.0,0.256,0.385,1226.8794199662557,False
2014-01-02 15:30:00+00:00,25.4,87.7,0.4,336.5,683.6,273.2,1.9,0.0,0.254,0.385,1245.8826947670009,False
2014-01-02 16:00:00+00:00,26.0,84.1,0.54,451.3,904.6,382.3,3.0,0.0,0.252,0.385,1242.7163598120044,False
2014-01-02 16:30:00+00:00,26.4,80.5,0.67,370.5,745.6,303.3,3.8,0.0,0.249,0.385,1217.4345513642968,False
2014-01-02 17:00:00+00:00,26.8,79.6,0.72,622.7,1205.6,509.2,3.1,0.0,0.247,0.385,1170.4695635830756,False
2014-01-02 17:30:00+00:00,26.8,76.9,0.81,463.0,906.6,380.8,5.2,0.0,0.244,0.385,1102.6244568455436,False
2014-01-02 18:00:00+00:00,26.5,79.7,0.7,351.7,675.6,281.8,3.8,0.0,0.242,0.385,1015.059326239539,False
2014-01-02 18:30:00+00:00,26.4,79.5,0.71,312.0,605.2,235.9,4.0,0.0,0.24,0.385,909.2714650195908,False
2014-01-02 19:00:00+00:00,26.5,79.6,0.71,244.8,472.4,181.4,3.1,0.0,0.238,0.385,787.0697622106086,False
2014-01-02 19:30:00+00:00,26.4,80.4,0.68,265.7,516.0,172.9,3.2,0.0,0.237,0.385,650.5437721357981,False
2014-01-02 20:00:00+00:00,26.6,79.3,0.72,257.5,494.6,177.1,3.3,0.2,0.236,0.385,502.0279847517412,False
2014-01-02 20:30:00+00:00,26.3,80.9,0.65,146.9,284.3,91.1,3.7,0.0,0.234,0.385,344.06190773691407,False
2014-01-02 21:00:00+00:00,26.0,82.2,0.6,66.8,126.8,25.4,3.3,0.0,0.233,0.385,179.34664289716326,False
2014-01-02 21:30:00+00:00,25.7,82.9,0.57,16.4,35.9,-26.2,2.7,0.0,0.232,0.385,10.698699395355394,False
2014-01-02 22:00:00+00:00,25.5,84.6,0.5,0.0,2.4,-49.6,2.6,0.0,0.231,0.385,0.0,False
2014-01-02 22:30:00+00:00,25.3,85.8,0.46,0.0,1.1,-39.8,2.9,0.0,0.231,0.385,0.0,False
2014-01-02 23:00:00+00:00,25.2,85.8,0.46,0.0,1.0,-36.1,2.6,0.0,0.23,0.385,0.0,False
2014-01-02 23:30:00+00:00,25.1,85.0,0.48,0.0,1.4,-28.2,2.5,0.0,0.229,0.385,0.0,False
2014-01-03 00:00:00+00:00,25.0,85.1,0.47,0.0,0.2,-24.1,2.0,0.0,0.229,0.385,0.0,False
2014-01-03 00:30:00+00:00,25.0,85.5,0.46,0.0,0.7,-29.0,1.9,0.0,0.228,0.385,0.0,False
2014-01-03 01:00:00+00:00,25.0,86.2,0.44,0.0,1.0,-22.6,2.1,0.0,0.228,0.385,0.0,False
2014-01-03 01:30:00+00:00,25.0,86.8,0.42,0.0,1.9,-24.9,2.0,0.0,0.227,0.384,0.0,False
2014-01-03 02:00:00+00:00,25.2,87.0,0.42,0.0,2.5,-25.0,2.5,0.0,0.227,0.385,0.0,False
2014-01-03 02:30:00+00:00,25.2,87.3,0.41,0.0,0.0,-35.8,2.6,0.0,0.227,0.385,0.0,False
2014-01-03 03:00:00+00:00,25.1,87.2,0.41,0.0,1.3,-32.6,2.9,0.0,0.226,0.384,0.0,False
2014-01-03 03:30:00+00:00,25.1,87.0,0.41,0.0,2.1,-20.0,2.2,0.0,0.226,0.384,0.0,False
