TIMESTAMP,solar_TIMESTAMP,AUS_RIC_EUC_ELE_Ete_Js_1,AUS_RIC_EUC_ELE_Ete_Js_2,AUS_RIC_EUC_ELE_Ete_Js_3,AUS_RIC_EUC_ELE_Ete_Js_4,AUS_RIC_EUC_ELE_Ete_Js_5,AUS_RIC_EUC_ELE_Ete_Js_6,AUS_RIC_EUC_ELE_Ete_Js_7,AUS_RIC_EUC_ELE_Ete_Js_8,AUS_RIC_EUC_ELE_Ete_Js_9,AUS_RIC_EUC_ELE_Ete_Js_10
2012-03-30T14:00:00Z,2012-03-30T23:59:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T14:15:00Z,2012-03-31T00:14:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T14:30:00Z,2012-03-31T00:29:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T14:45:00Z,2012-03-31T00:44:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T15:00:00Z,2012-03-31T00:59:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T15:15:00Z,2012-03-31T01:14:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T15:30:00Z,2012-03-31T01:29:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T15:45:00Z,2012-03-31T01:44:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T16:00:00Z,2012-03-31T01:59:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T16:15:00Z,2012-03-31T02:14:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T16:30:00Z,2012-03-31T02:29:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T16:45:00Z,2012-03-31T02:44:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-30T17:00:00Z,2012-03-31T02:59:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
