TIMESTAMP,solar_TIMESTAMP,CAN_TUR_P39_POS_Pst_Js_1,CAN_TUR_P39_POS_Pst_Js_3,CAN_TUR_P39_POS_Pst_Js_5,CAN_TUR_P39_POS_Pst_Js_9,CAN_TUR_P39_POS_Pst_Js_10,CAN_TUR_P39_POS_Pst_Js_12,CAN_TUR_P39_POS_Pst_Js_13,CAN_TUR_P39_POS_Pst_Js_15,CAN_TUR_P39_POS_Pst_Js_17,CAN_TUR_P39_POS_Pst_Js_18,CAN_TUR_P39_POS_Pst_Js_19,CAN_TUR_P39_POS_Pst_Js_20
2009-01-01T00:30:00Z,2008-12-31T19:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T01:00:00Z,2008-12-31T19:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T01:30:00Z,2008-12-31T20:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T02:00:00Z,2008-12-31T20:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T02:30:00Z,2008-12-31T21:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T03:00:00Z,2008-12-31T21:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T03:30:00Z,2008-12-31T22:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T04:00:00Z,2008-12-31T22:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T04:30:00Z,2008-12-31T23:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T05:00:00Z,2008-12-31T23:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T05:30:00Z,2009-01-01T00:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T06:00:00Z,2009-01-01T00:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T06:30:00Z,2009-01-01T01:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T07:00:00Z,2009-01-01T01:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T07:30:00Z,2009-01-01T02:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T08:00:00Z,2009-01-01T02:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T08:30:00Z,2009-01-01T03:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T09:00:00Z,2009-01-01T03:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T09:30:00Z,2009-01-01T04:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T10:00:00Z,2009-01-01T04:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T10:30:00Z,2009-01-01T05:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T11:00:00Z,2009-01-01T05:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T11:30:00Z,2009-01-01T06:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T12:00:00Z,2009-01-01T06:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T12:30:00Z,2009-01-01T07:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T13:00:00Z,2009-01-01T07:34:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01T13:30:00Z,2009-01-01T08:04:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
