TIMESTAMP,solar_TIMESTAMP,ESP_TIL_PIN_Psy_Js_1,ESP_TIL_PIN_Psy_Js_2,ESP_TIL_PIN_Psy_Js_3,ESP_TIL_PIN_Psy_Js_4,ESP_TIL_PIN_Psy_Js_5,ESP_TIL_PIN_Psy_Js_6,ESP_TIL_PIN_Psy_Js_7,ESP_TIL_PIN_Psy_Js_8,ESP_TIL_PIN_Psy_Js_9
2010-05-01T00:00:00Z,2010-05-01T00:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T00:15:00Z,2010-05-01T00:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T00:29:59Z,2010-05-01T00:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T00:45:00Z,2010-05-01T00:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T01:00:00Z,2010-05-01T01:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T01:14:59Z,2010-05-01T01:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T01:30:00Z,2010-05-01T01:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T01:45:00Z,2010-05-01T01:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T01:59:59Z,2010-05-01T02:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T02:15:00Z,2010-05-01T02:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T02:30:00Z,2010-05-01T02:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T02:44:59Z,2010-05-01T02:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T03:00:00Z,2010-05-01T03:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T03:15:00Z,2010-05-01T03:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T03:29:59Z,2010-05-01T03:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T03:45:00Z,2010-05-01T03:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T04:00:00Z,2010-05-01T04:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T04:14:59Z,2010-05-01T04:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T04:30:00Z,2010-05-01T04:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T04:45:00Z,2010-05-01T04:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T04:59:59Z,2010-05-01T05:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T05:15:00Z,2010-05-01T05:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T05:30:00Z,2010-05-01T05:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T05:44:59Z,2010-05-01T05:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T06:00:00Z,2010-05-01T06:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T06:15:00Z,2010-05-01T06:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T06:29:59Z,2010-05-01T06:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T06:45:00Z,2010-05-01T06:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T07:00:00Z,2010-05-01T07:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T07:14:59Z,2010-05-01T07:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T07:30:00Z,2010-05-01T07:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T07:45:00Z,2010-05-01T07:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T07:59:59Z,2010-05-01T08:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T08:15:00Z,2010-05-01T08:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T08:30:00Z,2010-05-01T08:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T08:44:59Z,2010-05-01T08:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T09:00:00Z,2010-05-01T09:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T09:15:00Z,2010-05-01T09:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T09:29:59Z,2010-05-01T09:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T09:45:00Z,2010-05-01T09:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T10:00:00Z,2010-05-01T10:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T10:14:59Z,2010-05-01T10:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T10:30:00Z,2010-05-01T10:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T10:45:00Z,2010-05-01T10:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T10:59:59Z,2010-05-01T11:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T11:15:00Z,2010-05-01T11:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T11:30:00Z,2010-05-01T11:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T11:44:59Z,2010-05-01T11:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
