TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST2_Psy_Js_1,GBR_GUI_ST2_Psy_Js_2,GBR_GUI_ST2_Psy_Js_3,GBR_GUI_ST2_Psy_Js_4,GBR_GUI_ST2_Psy_Js_5,GBR_GUI_ST2_Psy_Js_6,GBR_GUI_ST2_Psy_Js_7,GBR_GUI_ST2_Psy_Js_8,GBR_GUI_ST2_Psy_Js_9
2003-05-05T00:00:00Z,2003-05-04T23:43:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T00:15:00Z,2003-05-04T23:58:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T00:30:00Z,2003-05-05T00:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T00:45:00Z,2003-05-05T00:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T01:00:00Z,2003-05-05T00:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T01:15:00Z,2003-05-05T00:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T01:30:00Z,2003-05-05T01:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T01:45:00Z,2003-05-05T01:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T02:00:00Z,2003-05-05T01:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T02:15:00Z,2003-05-05T01:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T02:30:00Z,2003-05-05T02:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T02:45:00Z,2003-05-05T02:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T03:00:00Z,2003-05-05T02:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T03:15:00Z,2003-05-05T02:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T03:30:00Z,2003-05-05T03:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T03:45:00Z,2003-05-05T03:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T04:00:00Z,2003-05-05T03:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T04:15:00Z,2003-05-05T03:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T04:30:00Z,2003-05-05T04:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T04:45:00Z,2003-05-05T04:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T05:00:00Z,2003-05-05T04:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T05:15:00Z,2003-05-05T04:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T05:30:00Z,2003-05-05T05:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T05:45:00Z,2003-05-05T05:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T06:00:00Z,2003-05-05T05:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T06:15:00Z,2003-05-05T05:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T06:30:00Z,2003-05-05T06:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T06:45:00Z,2003-05-05T06:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T07:00:00Z,2003-05-05T06:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T07:15:00Z,2003-05-05T06:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T07:30:00Z,2003-05-05T07:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T07:45:00Z,2003-05-05T07:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T08:00:00Z,2003-05-05T07:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T08:15:00Z,2003-05-05T07:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T08:30:00Z,2003-05-05T08:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T08:45:00Z,2003-05-05T08:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T09:00:00Z,2003-05-05T08:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T09:15:00Z,2003-05-05T08:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
