TIMESTAMP,solar_TIMESTAMP,SWE_NOR_ST2_Psy_Jt_1,SWE_NOR_ST2_Pab_Jt_2,SWE_NOR_ST2_Psy_Jt_3,SWE_NOR_ST2_Psy_Jt_4,SWE_NOR_ST2_Pab_Jt_5,SWE_NOR_ST2_Pab_Jt_6,SWE_NOR_ST2_Psy_Jt_7,SWE_NOR_ST2_Pab_Jt_8,SWE_NOR_ST2_Psy_Jt_9,SWE_NOR_ST2_Pab_Jt_10,SWE_NOR_ST2_Pab_Jt_11,SWE_NOR_ST2_Psy_Jt_12
2000-12-31T23:30:00Z,2001-01-01T00:35:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T00:00:00Z,2001-01-01T01:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T00:30:00Z,2001-01-01T01:35:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T01:00:00Z,2001-01-01T02:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T01:30:00Z,2001-01-01T02:35:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T02:00:00Z,2001-01-01T03:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T02:30:00Z,2001-01-01T03:35:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T03:00:00Z,2001-01-01T04:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T03:30:00Z,2001-01-01T04:35:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T04:00:00Z,2001-01-01T05:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01T04:30:00Z,2001-01-01T05:35:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
