TIMESTAMP,solar_TIMESTAMP,USA_HIL_HF1_PRE_Pta_Js_1,USA_HIL_HF1_PRE_Pta_Js_2,USA_HIL_HF1_PRE_Pta_Js_3,USA_HIL_HF1_PRE_Pta_Js_4,USA_HIL_HF1_PRE_Pta_Js_5,USA_HIL_HF1_PRE_Lst_Js_6,USA_HIL_HF1_PRE_Lst_Js_7,USA_HIL_HF1_PRE_Lst_Js_8,USA_HIL_HF1_PRE_Lst_Js_9,USA_HIL_HF1_PRE_Lst_Js_10,USA_HIL_HF1_PRE_Aru_Js_11,USA_HIL_HF1_PRE_Aru_Js_12,USA_HIL_HF1_PRE_Aru_Js_13,USA_HIL_HF1_PRE_Aru_Js_14,USA_HIL_HF1_PRE_Aru_Js_15,USA_HIL_HF1_PRE_Qal_Js_16,USA_HIL_HF1_PRE_Qal_Js_17,USA_HIL_HF1_PRE_Qal_Js_18,USA_HIL_HF1_PRE_Qal_Js_19,USA_HIL_HF1_PRE_Qal_Js_20,USA_HIL_HF1_PRE_Ltu_Js_21,USA_HIL_HF1_PRE_Ltu_Js_22,USA_HIL_HF1_PRE_Ltu_Js_23,USA_HIL_HF1_PRE_Ltu_Js_24,USA_HIL_HF1_PRE_Ltu_Js_25
2010-06-17T04:00:00Z,2010-06-16T22:43:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T05:00:00Z,2010-06-16T23:43:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T06:00:00Z,2010-06-17T00:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T07:00:00Z,2010-06-17T01:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T08:00:00Z,2010-06-17T02:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T09:00:00Z,2010-06-17T03:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T10:00:00Z,2010-06-17T04:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T11:00:00Z,2010-06-17T05:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T12:00:00Z,2010-06-17T06:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T13:00:00Z,2010-06-17T07:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T14:00:00Z,2010-06-17T08:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T16:00:00Z,2010-06-17T10:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T17:00:00Z,2010-06-17T11:43:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-17T18:00:00Z,2010-06-17T12:43:10Z,14.55858446383573,14.85747816854832,11.111584692388355,14.30180217620784,13.649676571846944,5.789186360068644,12.110984777840327,13.447998493969319,14.579141743027042,NA,19.499079709560384,19.665672531696504,15.299381228685299,23.02513006096411,33.21451480822459,4.66291214318034,NA,3.1550907052477832,NA,NA,17.21452776477541,13.92698625940303,10.426344698247336,12.11892767591267,13.253403967783559
2010-06-17T18:10:00Z,2010-06-17T12:53:10Z,14.493102941569248,14.790326750096614,11.064490130730455,14.237745792073055,13.589199864777852,5.272242377668524,11.328057107690976,12.498310514627926,14.387825628215495,NA,19.223408467289122,19.932933678675155,15.09628337536158,22.683573740092104,32.65847173976638,4.478331964754304,NA,2.677690352910661,NA,NA,16.372515338854235,13.492931478200028,9.518082396473773,11.032867654653815,12.04400692830877
2010-06-17T18:20:00Z,2010-06-17T13:03:10Z,14.55858446383573,14.85747816854832,11.111584692388355,14.30180217620784,13.649676571846944,4.892972941129392,10.802757689570951,11.972113747877305,14.15464911795906,NA,18.888114851321866,19.484999840548113,14.848824169122121,22.268735225120302,31.98574994045173,4.29040388471976,NA,2.449304389655287,NA,NA,15.818167333985759,13.229521383750011,9.188156723762196,10.639699912783188,11.60716457612322
2010-06-17T18:30:00Z,2010-06-17T13:13:10Z,14.233128455274587,14.523748907738904,10.877295525618852,13.983407618366412,13.349022410557692,4.596120845215884,10.555822787458787,10.990345115664034,13.23275183522845,NA,17.569958015296944,17.70033476861215,13.871289784086107,20.644148195333962,29.37879117143935,4.086833444753148,NA,2.2903766337662064,NA,NA,14.845885834105728,12.730197114596807,8.744905444648607,10.112617687874184,11.022352088467896
2010-06-17T18:40:00Z,2010-06-17T13:23:10Z,14.040178705229364,14.325925617817955,10.73813395885254,13.794618532989096,13.170690091220976,4.4078675495496835,10.5762733998831,9.595672021670076,12.705362224882668,NA,16.821244581642645,17.411221148497667,13.312672699056119,19.725860204324064,27.924521336835873,3.918146308054992,NA,2.1042974727700847,NA,NA,14.145773019428626,12.4763645185173,8.596501632093313,9.936438337439748,10.827086691235644
2010-06-17T18:50:00Z,2010-06-17T13:33:10Z,14.040178705229364,14.325925617817955,10.73813395885254,13.794618532989096,13.170690091220976,4.270115597526216,10.885814157811536,9.360134533866637,12.664834979001013,NA,16.763871238241798,17.191138419560374,13.269763979695188,19.655626684460255,27.813865082374765,3.850224137837712,NA,1.9830625797781691,NA,NA,13.660444137039155,12.554797663920311,8.89467699470022,10.290569308400592,11.219689001727216
