TIMESTAMP,solar_TIMESTAMP,USA_WIL_WC1_Fpe_Js_1,USA_WIL_WC1_Asa_Js_2,USA_WIL_WC1_Asa_Js_3,USA_WIL_WC1_Asa_Js_4,USA_WIL_WC1_Asa_Js_5,USA_WIL_WC1_Fpe_Js_6,USA_WIL_WC1_Asa_Js_7,USA_WIL_WC1_Asa_Js_8,USA_WIL_WC1_Tam_Js_9,USA_WIL_WC1_Asa_Js_10,USA_WIL_WC1_Asa_Js_11,USA_WIL_WC1_Ovi_Js_12,USA_WIL_WC1_Asa_Js_13,USA_WIL_WC1_Asa_Js_14,USA_WIL_WC1_Qru_Js_15,USA_WIL_WC1_Qru_Js_16
2000-01-01T06:00:00Z,1999-12-31T23:55:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T06:30:00Z,2000-01-01T00:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T07:00:00Z,2000-01-01T00:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T07:30:00Z,2000-01-01T01:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T08:00:00Z,2000-01-01T01:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T08:30:00Z,2000-01-01T02:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T09:00:00Z,2000-01-01T02:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T09:30:00Z,2000-01-01T03:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T10:00:00Z,2000-01-01T03:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T10:30:00Z,2000-01-01T04:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T11:00:00Z,2000-01-01T04:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T11:30:00Z,2000-01-01T05:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T12:00:00Z,2000-01-01T05:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T12:30:00Z,2000-01-01T06:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T13:00:00Z,2000-01-01T06:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T13:30:00Z,2000-01-01T07:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T14:00:00Z,2000-01-01T07:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T14:30:00Z,2000-01-01T08:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T15:00:00Z,2000-01-01T08:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T15:30:00Z,2000-01-01T09:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T16:00:00Z,2000-01-01T09:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T16:30:00Z,2000-01-01T10:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T17:00:00Z,2000-01-01T10:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T17:30:00Z,2000-01-01T11:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T18:00:00Z,2000-01-01T11:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T18:30:00Z,2000-01-01T12:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T19:00:00Z,2000-01-01T12:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T19:30:00Z,2000-01-01T13:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T20:00:00Z,2000-01-01T13:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T20:30:00Z,2000-01-01T14:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T21:00:00Z,2000-01-01T14:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T21:30:00Z,2000-01-01T15:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T22:00:00Z,2000-01-01T15:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T22:30:00Z,2000-01-01T16:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T23:00:00Z,2000-01-01T16:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01T23:30:00Z,2000-01-01T17:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T00:00:00Z,2000-01-01T17:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T00:30:00Z,2000-01-01T18:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T01:00:00Z,2000-01-01T18:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T01:30:00Z,2000-01-01T19:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T02:00:00Z,2000-01-01T19:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T02:30:00Z,2000-01-01T20:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T03:00:00Z,2000-01-01T20:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T03:30:00Z,2000-01-01T21:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T04:00:00Z,2000-01-01T21:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T04:30:00Z,2000-01-01T22:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T05:00:00Z,2000-01-01T22:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T05:30:00Z,2000-01-01T23:25:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T06:00:00Z,2000-01-01T23:55:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T06:30:00Z,2000-01-02T00:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T07:00:00Z,2000-01-02T00:54:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T07:30:00Z,2000-01-02T01:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T08:00:00Z,2000-01-02T01:54:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T08:30:00Z,2000-01-02T02:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T09:00:00Z,2000-01-02T02:54:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T09:30:00Z,2000-01-02T03:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T10:00:00Z,2000-01-02T03:54:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T10:30:00Z,2000-01-02T04:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T11:00:00Z,2000-01-02T04:54:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T11:30:00Z,2000-01-02T05:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T12:00:00Z,2000-01-02T05:54:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02T12:30:00Z,2000-01-02T06:24:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
