Datetime,T (mm/h)
'01-Feb-2017 00:00:00',0.0336133475
'01-Feb-2017 01:00:00',0.0322217559
'01-Feb-2017 02:00:00',0.0307386121
'01-Feb-2017 03:00:00',0.0297864704
'01-Feb-2017 04:00:00',0.0293081108
'01-Feb-2017 05:00:00',0.029919221
'01-Feb-2017 06:00:00',0.0294820598
'01-Feb-2017 07:00:00',0.0355473853
'01-Feb-2017 08:00:00',0.0678538269
'01-Feb-2017 09:00:00',0.0938706403
'01-Feb-2017 10:00:00',0.1101737776
'01-Feb-2017 11:00:00',0.1073493958
'01-Feb-2017 12:00:00',0.1191870802
'01-Feb-2017 13:00:00',0.1205672279
'01-Feb-2017 14:00:00',0.112158169
'01-Feb-2017 15:00:00',0.0935776736
'01-Feb-2017 16:00:00',0.0948845796
'01-Feb-2017 17:00:00',0.0898743918
'01-Feb-2017 18:00:00',0.06952923
'01-Feb-2017 19:00:00',0.0672999368
'01-Feb-2017 20:00:00',0.0445423775
'01-Feb-2017 21:00:00',0.0357968647
'01-Feb-2017 22:00:00',0.0337277876
'01-Feb-2017 23:00:00',0.0324391921
'02-Feb-2017 00:00:00',0.0303632486
'02-Feb-2017 01:00:00',0.0294866374
'02-Feb-2017 02:00:00',0.0293767749
'02-Feb-2017 03:00:00',0.0300977475
'02-Feb-2017 04:00:00',0.0314504296
'02-Feb-2017 05:00:00',0.032567365
'02-Feb-2017 06:00:00',0.0342038585
'02-Feb-2017 07:00:00',0.0445583992
'02-Feb-2017 08:00:00',0.0615779315
'02-Feb-2017 09:00:00',0.0790392027
'02-Feb-2017 10:00:00',0.1001808676
'02-Feb-2017 11:00:00',0.1114097307
'02-Feb-2017 12:00:00',0.1191687698
'02-Feb-2017 13:00:00',0.1245382995
'02-Feb-2017 14:00:00',0.1198966089
'02-Feb-2017 15:00:00',0.1132110179
'02-Feb-2017 16:00:00',0.1008629307
'02-Feb-2017 17:00:00',0.0872651574
'02-Feb-2017 18:00:00',0.0766359605
'02-Feb-2017 19:00:00',0.0612346112
'02-Feb-2017 20:00:00',0.0434094205
'02-Feb-2017 21:00:00',0.0363965309
'02-Feb-2017 22:00:00',0.0330823455
'02-Feb-2017 23:00:00',0.0303746926
'03-Feb-2017 00:00:00',0.0291501835
'03-Feb-2017 01:00:00',0.0285550949
'03-Feb-2017 02:00:00',0.0276143973
'03-Feb-2017 03:00:00',0.0287175999
'03-Feb-2017 04:00:00',0.0300931699
'03-Feb-2017 05:00:00',0.0317731507
'03-Feb-2017 06:00:00',0.0329747718
'03-Feb-2017 07:00:00',0.0403012273
'03-Feb-2017 08:00:00',0.0659884532
'03-Feb-2017 09:00:00',0.0883019848
'03-Feb-2017 10:00:00',0.1036644244
'03-Feb-2017 11:00:00',0.1075187671
'03-Feb-2017 12:00:00',0.1142272461
'03-Feb-2017 13:00:00',0.1156920794
'03-Feb-2017 14:00:00',0.1158957828
'03-Feb-2017 15:00:00',0.109972363
'03-Feb-2017 16:00:00',0.1011238541
'03-Feb-2017 17:00:00',0.0914651093
'03-Feb-2017 18:00:00',0.0819917574
'03-Feb-2017 19:00:00',0.0646197495
'03-Feb-2017 20:00:00',0.0453297255
'03-Feb-2017 21:00:00',0.0369549986
'03-Feb-2017 22:00:00',0.0332791824
'03-Feb-2017 23:00:00',0.0306813921
