DateTime (Hour),"Air temperature, Ta [°C]","Rainfall, P [mm]",Relative Humidity [%],"Wind Speed, Ws [m/s]",Solar radiation [W/m2],VPD [Kpa]
'01-Dec-2016 00:00:00',13.17,0.0,89.38,0.007,0.00,1.42
'01-Dec-2016 01:00:00',13.45,0.0,86.23,0.007,0.00,1.41
'01-Dec-2016 02:00:00',12.65,0.0,88.53,0.000,0.00,1.36
'01-Dec-2016 03:00:00',12.55,0.0,88.98,0.000,0.00,1.35
'01-Dec-2016 04:00:00',11.96,0.0,90.58,0.000,0.00,1.31
'01-Dec-2016 05:00:00',12.01,0.0,91.23,0.000,0.23,1.32
'01-Dec-2016 06:00:00',12.60,0.0,89.08,0.002,10.99,1.36
'01-Dec-2016 07:00:00',13.91,0.0,82.77,0.177,46.62,1.44
'01-Dec-2016 08:00:00',15.17,0.0,74.09,0.119,122.64,1.49
'01-Dec-2016 09:00:00',16.41,0.0,64.62,0.726,281.46,1.54
'01-Dec-2016 10:00:00',17.69,0.0,59.18,1.206,547.50,1.64
'01-Dec-2016 11:00:00',19.53,0.0,54.73,0.977,614.63,1.85
'01-Dec-2016 12:00:00',20.51,0.0,54.62,1.446,711.75,1.99
'01-Dec-2016 13:00:00',21.23,0.0,52.40,1.348,812.50,2.07
'01-Dec-2016 14:00:00',22.39,0.0,48.89,1.452,833.13,2.23
'01-Dec-2016 15:00:00',23.47,0.0,46.34,1.564,741.25,2.38
'01-Dec-2016 16:00:00',23.65,0.0,47.15,1.902,500.33,2.42
'01-Dec-2016 17:00:00',22.51,0.0,51.60,2.527,422.45,2.26
'01-Dec-2016 18:00:00',21.05,0.0,56.74,2.343,210.13,2.08
'01-Dec-2016 19:00:00',19.27,0.0,59.38,2.748,86.11,1.84
'01-Dec-2016 20:00:00',17.91,0.0,64.15,2.526,9.16,1.70
'01-Dec-2016 21:00:00',16.12,0.0,69.41,1.913,0.05,1.53
'01-Dec-2016 22:00:00',14.96,0.0,75.18,1.043,0.00,1.47
'01-Dec-2016 23:00:00',13.28,0.0,83.60,0.000,0.00,1.37
'02-Dec-2016 00:00:00',12.58,0.0,88.50,0.000,0.00,1.35
'02-Dec-2016 01:00:00',12.17,0.0,91.75,0.000,0.00,1.34
'02-Dec-2016 02:00:00',11.91,0.0,91.78,0.000,0.00,1.32
'02-Dec-2016 03:00:00',11.76,0.0,92.43,0.000,0.00,1.31
'02-Dec-2016 04:00:00',11.88,0.0,93.20,0.000,0.00,1.33
'02-Dec-2016 05:00:00',12.63,0.0,89.50,0.000,0.20,1.37
'02-Dec-2016 06:00:00',13.47,0.0,85.50,0.000,5.65,1.41
'02-Dec-2016 07:00:00',14.65,0.0,78.82,0.107,20.96,1.47
'02-Dec-2016 08:00:00',15.62,0.0,70.43,0.535,89.26,1.50
'02-Dec-2016 09:00:00',16.76,0.0,64.70,0.912,218.76,1.59
'02-Dec-2016 10:00:00',18.17,0.0,55.51,1.057,585.38,1.68
'02-Dec-2016 11:00:00',19.11,0.0,49.94,1.273,730.75,1.75
'02-Dec-2016 12:00:00',19.70,0.0,49.15,1.715,829.50,1.81
'02-Dec-2016 13:00:00',20.62,0.0,48.38,1.359,893.88,1.95
'02-Dec-2016 14:00:00',20.77,0.0,49.59,1.811,762.75,1.98
'02-Dec-2016 15:00:00',21.40,0.0,48.29,1.397,804.25,2.06
'02-Dec-2016 16:00:00',20.43,0.0,53.28,2.971,696.63,1.96
'02-Dec-2016 17:00:00',19.09,0.0,52.06,2.744,446.44,1.75
'02-Dec-2016 18:00:00',17.46,0.0,55.24,3.765,127.51,1.56
'02-Dec-2016 19:00:00',16.26,0.0,56.27,3.090,40.47,1.42
'02-Dec-2016 20:00:00',14.70,0.0,57.00,2.782,9.56,1.26
'02-Dec-2016 21:00:00',13.22,0.0,62.73,0.858,0.08,1.16
'02-Dec-2016 22:00:00',12.08,0.0,66.68,0.016,0.00,1.09
'02-Dec-2016 23:00:00',10.86,0.0,72.88,0.000,0.00,1.04
'03-Dec-2016 00:00:00',10.03,0.0,76.21,0.000,0.00,1.00
'03-Dec-2016 01:00:00',9.28,0.0,80.41,0.000,0.00,0.98
'03-Dec-2016 02:00:00',8.59,0.0,83.90,0.000,0.00,0.96
'03-Dec-2016 03:00:00',8.19,0.0,85.98,0.000,0.00,0.95
'03-Dec-2016 04:00:00',7.78,0.0,88.53,0.000,0.00,0.95
'03-Dec-2016 05:00:00',7.40,0.0,90.70,0.000,0.40,0.94
'03-Dec-2016 06:00:00',7.36,0.0,90.95,0.000,11.99,0.94
'03-Dec-2016 07:00:00',9.94,0.0,82.77,0.048,34.91,1.08
'03-Dec-2016 08:00:00',14.04,0.0,63.78,0.896,54.41,1.26
'03-Dec-2016 09:00:00',15.60,0.0,56.40,1.548,185.30,1.36
'03-Dec-2016 10:00:00',17.02,0.0,48.70,1.692,611.88,1.45
'03-Dec-2016 11:00:00',18.24,0.0,45.26,1.404,747.25,1.57
