pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Ame_Js_1,13.1,14.276504663650917,NA,CRR4AE5,Measured,"The treatment (mixture) is a mixture of the two species such that each contributes half of the trees. The manufacturer of our CHP equipment was not listed, even though this manufacturer (Ross Edwards of Edwards Industries) invented this method in 1984 (see citation in our paper). If our data is used, this manufacturer would need to be acknowledged.",cm3 h-1,59.4,1.8,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Acacia mearnsii,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Ame_Js_10,10.4,12.935736561220953,NA,CRR2AE22,Measured,NA,cm3 h-1,42.2,1.7,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Acacia mearnsii,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Ame_Js_11,12.8,14.141261506377981,NA,CRR3AE29,Measured,NA,cm3 h-1,48.5,1.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Acacia mearnsii,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Egl_Js_12,17.1,19.380130970600828,NA,CRR3EA30,Measured,NA,cm3 h-1,73.5,2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus globulus,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Ame_Js_13,11.6,13.581263031315542,NA,CRR3AE31,Measured,NA,cm3 h-1,42.9,1.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Acacia mearnsii,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Egl_Js_14,19.2,20.488275713537963,NA,CRR3EA32,Measured,NA,cm3 h-1,105.6,2.4,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus globulus,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Egl_Js_15,12.8,16.648218483395734,NA,CRR3EA33,Measured,NA,cm3 h-1,57.8,2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus globulus,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Ame_Js_16,12.5,14.05008612016597,NA,CRR3AE34,Measured,NA,cm3 h-1,48.1,1.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Acacia mearnsii,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Egl_Js_17,13.6,17.184111555018433,NA,CRR4EA41,Measured,NA,cm3 h-1,77.3,3,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus globulus,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
14.5,No azimuthal correction,NA,AUS_CAN_ST2_MIX_Ame_Js_18,13.8,14.671877226978626,NA,CRR4AE42,Measured,NA,cm3 h-1,64.1,2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Acacia mearnsii,Mixture,AUS_CAN_ST2_MIX,cm3 cm-2 h-1
