TIMESTAMP,solar_TIMESTAMP,AUS_CAN_ST3_ACA_Ame_Js_1,AUS_CAN_ST3_ACA_Ame_Js_2,AUS_CAN_ST3_ACA_Ame_Js_3,AUS_CAN_ST3_ACA_Ame_Js_4,AUS_CAN_ST3_ACA_Ame_Js_5,AUS_CAN_ST3_ACA_Ame_Js_6,AUS_CAN_ST3_ACA_Ame_Js_7,AUS_CAN_ST3_ACA_Ame_Js_8,AUS_CAN_ST3_ACA_Ame_Js_9,AUS_CAN_ST3_ACA_Ame_Js_10,AUS_CAN_ST3_ACA_Ame_Js_11,AUS_CAN_ST3_ACA_Ame_Js_12,AUS_CAN_ST3_ACA_Ame_Js_13,AUS_CAN_ST3_ACA_Ame_Js_14,AUS_CAN_ST3_ACA_Ame_Js_15,AUS_CAN_ST3_ACA_Ame_Js_16
2006-06-20T01:00:00Z,2006-06-20T10:54:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T01:30:00Z,2006-06-20T11:24:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T02:00:00Z,2006-06-20T11:54:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T02:30:00Z,2006-06-20T12:24:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T03:00:00Z,2006-06-20T12:54:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T03:30:00Z,2006-06-20T13:24:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T04:00:00Z,2006-06-20T13:54:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T04:30:00Z,2006-06-20T14:24:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T05:00:00Z,2006-06-20T14:54:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20T05:30:00Z,2006-06-20T15:24:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
