pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_1,14.9,16.5,NA,5,Measured,"The manufacturer of our CHP equipment was not listed, even though this manufacturer (Ross Edwards of Edwards Industries) invented this method in 1984 (see citation in our paper). If our data is used, this manufacturer would need to be acknowledged.",cm3 h-1,98.4,2.9,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_10,20.1,17.6,NA,68,Measured,NA,cm3 h-1,155.8,3.1,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_11,18.9,18.2,NA,87,Measured,NA,cm3 h-1,143.8,3.2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_12,19.4,17.8,NA,88,Measured,NA,cm3 h-1,152.4,3.3,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_2,18.3,19.1,NA,6,Measured,NA,cm3 h-1,170.2,4.3,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_3,15.3,17.3,NA,19,Measured,NA,cm3 h-1,105.2,3.1,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_4,20.2,19.2,NA,20,Measured,NA,cm3 h-1,182.6,3.9,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_5,21.9,20,NA,37,Measured,NA,cm3 h-1,195.7,3.6,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_6,19.8,NA,NA,38,Measured,NA,cm3 h-1,169.5,3.8,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_7,19,21,NA,53,Measured,NA,cm3 h-1,141.2,3.1,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_8,22.5,19.1,NA,54,Measured,NA,cm3 h-1,178.3,3.3,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_0PF_Eni_Js_9,23.6,18.6,NA,67,Measured,NA,cm3 h-1,210.4,3.6,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_0PF,cm3 cm-2 h-1
