pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_1,17.7,19.9,NA,3,Measured,"The manufacturer of our CHP equipment was not listed, even though this manufacturer (Ross Edwards of Edwards Industries) invented this method in 1984 (see citation in our paper). If our data is used, this manufacturer would need to be acknowledged.",cm3 h-1,172,4.6,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_10,20.4,17.6,NA,80,Measured,NA,cm3 h-1,144.9,2.9,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_11,19.6,18.7,NA,81,Measured,NA,cm3 h-1,145.1,3.1,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_12,18.6,17,NA,82,Measured,NA,cm3 h-1,135.4,3.1,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_2,16.1,19.4,NA,4,Measured,NA,cm3 h-1,127.5,3.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_3,18.7,17.3,NA,31,Measured,NA,cm3 h-1,160.4,3.7,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_4,15.4,15.6,NA,32,Measured,NA,cm3 h-1,119.9,3.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_5,21.4,18.5,NA,39,Measured,NA,cm3 h-1,170.4,3.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_6,20.2,18.9,NA,40,Measured,NA,cm3 h-1,152.8,3.2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_7,18.1,19,NA,51,Measured,NA,cm3 h-1,125.8,2.8,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_8,17.9,19,NA,52,Measured,NA,cm3 h-1,124,2.8,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_CON_Eni_Js_9,16.4,16.6,NA,79,Measured,NA,cm3 h-1,107.7,2.7,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_CON,cm3 cm-2 h-1
