TIMESTAMP,solar_TIMESTAMP,AUS_ELL_MB_MOD_Era_Js_1,AUS_ELL_MB_MOD_Era_Js_2
2009-06-02T14:00:00Z,2009-06-02T23:47:47Z,0,0
2009-06-02T14:30:00Z,2009-06-03T00:17:37Z,0,0
2009-06-02T14:59:59Z,2009-06-03T00:47:36Z,0,0
2009-06-02T15:30:00Z,2009-06-03T01:17:37Z,0,0
2009-06-02T16:00:00Z,2009-06-03T01:47:37Z,0,0
2009-06-02T16:29:59Z,2009-06-03T02:17:36Z,0,0
2009-06-02T17:00:00Z,2009-06-03T02:47:37Z,0,0
2009-06-02T17:30:00Z,2009-06-03T03:17:37Z,0,0
2009-06-02T17:59:59Z,2009-06-03T03:47:36Z,249.04347135056088,0
2009-06-02T18:30:00Z,2009-06-03T04:17:37Z,260.0946987565715,0
2009-06-02T19:00:00Z,2009-06-03T04:47:37Z,830.2996689023911,0
2009-06-02T19:29:59Z,2009-06-03T05:17:36Z,864.3999735531208,0
2009-06-02T20:00:00Z,2009-06-03T05:47:37Z,566.7695412282733,0
2009-06-02T20:30:00Z,2009-06-03T06:17:37Z,836.2478734123818,0
2009-06-02T20:59:59Z,2009-06-03T06:47:36Z,575.1563168823037,0
2009-06-02T21:30:00Z,2009-06-03T07:17:37Z,892.8781841847219,0
2009-06-02T22:00:00Z,2009-06-03T07:47:37Z,1199.4351435467906,0
2009-06-02T22:29:59Z,2009-06-03T08:17:36Z,1723.1242423195024,0
2009-06-02T23:00:00Z,2009-06-03T08:47:37Z,2041.168003970476,0
2009-06-02T23:30:00Z,2009-06-03T09:17:37Z,2370.34381561254,0
2009-06-02T23:59:59Z,2009-06-03T09:47:36Z,2948.316259563242,0
2009-06-03T00:30:00Z,2009-06-03T10:17:37Z,2204.6702898108824,69.99848966773204
2009-06-03T01:00:00Z,2009-06-03T10:47:37Z,3131.5347769023474,367.72067813172026
2009-06-03T01:29:59Z,2009-06-03T11:17:36Z,3804.695690046458,1186.5157862959543
2009-06-03T02:00:00Z,2009-06-03T11:47:37Z,3222.2919588263276,1348.027095907007
2009-06-03T02:30:00Z,2009-06-03T12:17:37Z,2637.5786451792915,1049.4700373142878
2009-06-03T02:59:59Z,2009-06-03T12:47:36Z,2630.5792878350344,1040.8614958726466
2009-06-03T03:30:00Z,2009-06-03T13:17:37Z,1108.6782837708995,414.8952036544311
2009-06-03T04:00:00Z,2009-06-03T13:47:37Z,1244.0418659855259,357.30202018174214
2009-06-03T04:29:59Z,2009-06-03T14:17:36Z,966.60539046922,239.6704145629798
2009-06-03T05:00:00Z,2009-06-03T14:47:37Z,NA,136.40095056853423
2009-06-03T05:30:00Z,2009-06-03T15:17:37Z,NA,107.51341736866833
2009-06-03T05:59:59Z,2009-06-03T15:47:36Z,NA,100.10861865891579
2009-06-03T06:30:00Z,2009-06-03T16:17:37Z,NA,NA
2009-06-03T07:00:00Z,2009-06-03T16:47:37Z,NA,NA
2009-06-03T07:29:59Z,2009-06-03T17:17:36Z,NA,NA
2009-06-03T08:00:00Z,2009-06-03T17:47:37Z,NA,NA
2009-06-03T08:30:00Z,2009-06-03T18:17:37Z,NA,NA
2009-06-03T08:59:59Z,2009-06-03T18:47:36Z,NA,NA
2009-06-03T09:30:00Z,2009-06-03T19:17:37Z,NA,NA
