pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,measured,23.5,AUS_WOM_Eru_Js_1,46.7,NA,NA,VN4T03,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,903.5101845,1.788,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus rubida,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,29.25,AUS_WOM_Eru_Js_10,37.9,NA,NA,VN3T38,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,877.7571672,2.352,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus rubida,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,14,AUS_WOM_Eob_Js_11,43.3,NA,NA,VN3T37,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,1038.857636,2.156,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus obliqua,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,18,AUS_WOM_Eru_Js_2,26.1,NA,NA,VN2T03,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,521.0252876,2.025,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,codominant,Eucalyptus rubida,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,15.25,AUS_WOM_Eob_Js_3,36.8,NA,NA,VN2T04,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,682.0083617,1.693,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus obliqua,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,20.75,AUS_WOM_Eru_Js_4,32.9,NA,NA,VN4T07,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,746.2212464,2.24,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus rubida,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,9,AUS_WOM_Eob_Js_5,30.8,NA,NA,VN4T05,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,760.0311348,2.262,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus obliqua,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,16,AUS_WOM_Eob_Js_6,50.9,NA,NA,VN2T09,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,1347.332014,2.365,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,dominant,Eucalyptus obliqua,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,8.5,AUS_WOM_Eob_Js_7,47.2,NA,NA,VN3T48,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,849.123875,1.537,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,codominant,Eucalyptus obliqua,NA,AUS_WOM,cm3 cm-2 h-1
NA,measured,14.25,AUS_WOM_Eru_Js_8,22.8,NA,NA,VN2T13,Measured,"I used The HeatPulser, Edwards Industries, Taupo, NZ to measure transpiration rates, and had 4 probes installed along a sapwood gradient per stem. Each probe was corrected for deviations from exact parallel spacing of the heater and the thermistor elements, and wounding size was determined for all probes in November 2015. In addition, tree cores were collected next to each probe to correct measured sap velocities for gas and water fractions of the sapwood following Edwards and Warwick 1984.",cm3 h-1,303.363044,1.294,TRUE,NTG separately measured,Not needed,1,1,Other/unknown,CHP,30,codominant,Eucalyptus rubida,NA,AUS_WOM,cm3 cm-2 h-1
