TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,precip,ppfd_in,ext_rad
2008-06-28T15:00:00Z,2008-06-28T11:55:34Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-28T15:30:00Z,2008-06-28T12:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T16:00:00Z,2008-06-28T12:55:34Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-28T16:30:00Z,2008-06-28T13:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T17:00:00Z,2008-06-28T13:55:34Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-28T17:30:00Z,2008-06-28T14:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T18:00:00Z,2008-06-28T14:55:34Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-28T18:30:00Z,2008-06-28T15:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T19:00:00Z,2008-06-28T15:55:34Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-28T19:30:00Z,2008-06-28T16:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T20:00:00Z,2008-06-28T16:55:34Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-28T20:30:00Z,2008-06-28T17:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T21:00:00Z,2008-06-28T17:55:34Z,,,,NA_PRESENT,,CALCULATED,CALCULATED
2008-06-28T21:30:00Z,2008-06-28T18:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T22:00:00Z,2008-06-28T18:55:34Z,,,,,,CALCULATED,CALCULATED
2008-06-28T22:30:00Z,2008-06-28T19:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-28T23:00:00Z,2008-06-28T19:55:34Z,,,,,,CALCULATED,CALCULATED
2008-06-28T23:30:00Z,2008-06-28T20:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T00:00:00Z,2008-06-28T20:55:34Z,,,,,,CALCULATED,CALCULATED
2008-06-29T00:30:00Z,2008-06-28T21:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T01:00:00Z,2008-06-28T21:55:34Z,,,,,,CALCULATED,CALCULATED
2008-06-29T01:30:00Z,2008-06-28T22:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T02:00:00Z,2008-06-28T22:55:34Z,,,,,,CALCULATED,CALCULATED
2008-06-29T02:30:00Z,2008-06-28T23:25:34Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T03:00:00Z,2008-06-28T23:55:34Z,,,,,,CALCULATED,CALCULATED
2008-06-29T03:30:00Z,2008-06-29T00:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T04:00:00Z,2008-06-29T00:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T04:30:00Z,2008-06-29T01:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T05:00:00Z,2008-06-29T01:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T05:30:00Z,2008-06-29T02:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T06:00:00Z,2008-06-29T02:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T06:30:00Z,2008-06-29T03:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T07:00:00Z,2008-06-29T03:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T07:30:00Z,2008-06-29T04:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T08:00:00Z,2008-06-29T04:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T08:30:00Z,2008-06-29T05:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T09:00:00Z,2008-06-29T05:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T09:30:00Z,2008-06-29T06:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T10:00:00Z,2008-06-29T06:55:23Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-29T10:30:00Z,2008-06-29T07:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
