TIMESTAMP,solar_TIMESTAMP,CHE_PFY_CON_Psy_Jt_1,CHE_PFY_CON_Psy_Jt_2,CHE_PFY_CON_Psy_Jt_3,CHE_PFY_CON_Psy_Jt_4,CHE_PFY_CON_Psy_Jt_5,CHE_PFY_CON_Psy_Jt_6,CHE_PFY_CON_Psy_Jt_7,CHE_PFY_CON_Psy_Jt_8,CHE_PFY_CON_Psy_Jt_9
2013-06-06T14:00:00Z,2013-06-06T14:31:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T14:30:00Z,2013-06-06T15:01:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T15:00:00Z,2013-06-06T15:31:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T15:30:00Z,2013-06-06T16:01:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T16:00:00Z,2013-06-06T16:31:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,NA_PRESENT,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T16:30:00Z,2013-06-06T17:01:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,NA_PRESENT,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T17:00:00Z,2013-06-06T17:31:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T17:30:00Z,2013-06-06T18:01:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,OUT_WARN ; MANUAL_REMOVED,,NA_PRESENT
2013-06-06T18:00:00Z,2013-06-06T18:31:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,OUT_WARN,,,NA_PRESENT
2013-06-06T18:30:00Z,2013-06-06T19:01:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,,,NA_PRESENT
2013-06-06T19:00:00Z,2013-06-06T19:31:10Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,,,NA_PRESENT
