TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,ws,precip,ext_rad
2013-04-30T16:00:00Z,2013-04-30T22:02:42Z,,,,,,,,CALCULATED
2013-04-30T16:10:00Z,2013-04-30T22:12:42Z,,,,,,,,CALCULATED
2013-04-30T16:20:00Z,2013-04-30T22:22:42Z,,,,,,,,CALCULATED
2013-04-30T16:30:00Z,2013-04-30T22:32:42Z,,,,,,,,CALCULATED
2013-04-30T16:40:00Z,2013-04-30T22:42:42Z,,,,,,,,CALCULATED
2013-04-30T16:50:00Z,2013-04-30T22:52:42Z,,,,,,,,CALCULATED
2013-04-30T17:00:00Z,2013-04-30T23:02:42Z,,,,,,,,CALCULATED
2013-04-30T17:10:00Z,2013-04-30T23:12:42Z,,,,,,,,CALCULATED
2013-04-30T17:20:00Z,2013-04-30T23:22:42Z,,,,,,,,CALCULATED
2013-04-30T17:30:00Z,2013-04-30T23:32:42Z,,,,,,,,CALCULATED
2013-04-30T17:40:00Z,2013-04-30T23:42:42Z,,,,,,,,CALCULATED
2013-04-30T17:50:00Z,2013-04-30T23:52:42Z,,,,,,,,CALCULATED
2013-04-30T18:00:00Z,2013-05-01T00:02:42Z,,,,,,,,CALCULATED
2013-04-30T18:10:00Z,2013-05-01T00:12:48Z,,,,,,,,CALCULATED
2013-04-30T18:20:00Z,2013-05-01T00:22:48Z,,,,,,,,CALCULATED
2013-04-30T18:30:00Z,2013-05-01T00:32:48Z,,,,,,,,CALCULATED
2013-04-30T18:40:00Z,2013-05-01T00:42:48Z,,,,,,,,CALCULATED
2013-04-30T18:50:00Z,2013-05-01T00:52:48Z,,,,,,,,CALCULATED
2013-04-30T19:00:00Z,2013-05-01T01:02:48Z,,,,,,,,CALCULATED
2013-04-30T19:10:00Z,2013-05-01T01:12:48Z,,,,,,,,CALCULATED
2013-04-30T19:20:00Z,2013-05-01T01:22:48Z,,,,,,,,CALCULATED
2013-04-30T19:30:00Z,2013-05-01T01:32:48Z,,,,,,,,CALCULATED
2013-04-30T19:40:00Z,2013-05-01T01:42:48Z,,,,,,,,CALCULATED
2013-04-30T19:50:00Z,2013-05-01T01:52:48Z,,,,,,,,CALCULATED
2013-04-30T20:00:00Z,2013-05-01T02:02:48Z,,,,,,,,CALCULATED
2013-04-30T20:10:00Z,2013-05-01T02:12:48Z,,,,,,,,CALCULATED
2013-04-30T20:20:00Z,2013-05-01T02:22:48Z,,,,,,,,CALCULATED
2013-04-30T20:30:00Z,2013-05-01T02:32:48Z,,,,,,,,CALCULATED
2013-04-30T20:40:00Z,2013-05-01T02:42:48Z,,,,,,,,CALCULATED
2013-04-30T20:50:00Z,2013-05-01T02:52:48Z,,,,,,,,CALCULATED
2013-04-30T21:00:00Z,2013-05-01T03:02:48Z,,,,,,,,CALCULATED
