pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,sensor_integrated,9,CZE_LAN_Qro_Jt_1,54.1,NA,NA,DB23,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Quercus robur,NA,CZE_LAN,kg h-1
NA,sensor_integrated,12,CZE_LAN_Fex_Jt_10,52.8,NA,NA,JS62,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Fraxinus excelsior,NA,CZE_LAN,kg h-1
NA,sensor_integrated,15,CZE_LAN_Fex_Jt_11,73.8,NA,NA,JS73,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,dominant,Fraxinus excelsior,NA,CZE_LAN,kg h-1
NA,sensor_integrated,14,CZE_LAN_Fex_Jt_12,57.3,NA,NA,JS119,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,suppressed,Fraxinus excelsior,NA,CZE_LAN,kg h-1
NA,sensor_integrated,5,CZE_LAN_Cbe_Jt_13,29.9,NA,NA,HB14,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,suppressed,Carpinus betulus,NA,CZE_LAN,kg h-1
NA,sensor_integrated,4,CZE_LAN_Cbe_Jt_14,34.1,NA,NA,HB17,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,suppressed,Carpinus betulus,NA,CZE_LAN,kg h-1
NA,sensor_integrated,3,CZE_LAN_Cbe_Jt_15,49.3,NA,NA,HB22,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,codominant,Carpinus betulus,NA,CZE_LAN,kg h-1
NA,sensor_integrated,3,CZE_LAN_Cbe_Jt_16,40.1,NA,NA,HB31,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,codominant,Carpinus betulus,NA,CZE_LAN,kg h-1
NA,sensor_integrated,3,CZE_LAN_Cbe_Jt_17,20.7,NA,NA,HB50,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,suppressed,Carpinus betulus,NA,CZE_LAN,kg h-1
NA,sensor_integrated,9,CZE_LAN_Qro_Jt_2,38.8,NA,NA,DB32,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Quercus robur,NA,CZE_LAN,kg h-1
NA,sensor_integrated,9,CZE_LAN_Qro_Jt_3,60.2,NA,NA,DB61,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Quercus robur,NA,CZE_LAN,kg h-1
NA,sensor_integrated,10,CZE_LAN_Qro_Jt_4,40.7,NA,NA,DB66,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Quercus robur,NA,CZE_LAN,kg h-1
NA,sensor_integrated,10,CZE_LAN_Qro_Jt_5,71.6,NA,NA,DB80,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,dominant,Quercus robur,NA,CZE_LAN,kg h-1
NA,sensor_integrated,13,CZE_LAN_Qro_Jt_6,79.9,NA,NA,DB102,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,dominant,Quercus robur,NA,CZE_LAN,kg h-1
NA,sensor_integrated,11,CZE_LAN_Fex_Jt_7,42.3,NA,NA,JS10,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Fraxinus excelsior,NA,CZE_LAN,kg h-1
NA,sensor_integrated,17,CZE_LAN_Fex_Jt_8,70,NA,NA,JS27,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,dominant,Fraxinus excelsior,NA,CZE_LAN,kg h-1
NA,sensor_integrated,10,CZE_LAN_Fex_Jt_9,57.9,NA,NA,JS55,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,60,Ems Brno,TSHB,10,codominant,Fraxinus excelsior,NA,CZE_LAN,kg h-1
