TIMESTAMP,solar_TIMESTAMP,CZE_RAJ_RAJ_Fsy_Jt_1,CZE_RAJ_RAJ_Fsy_Jt_2,CZE_RAJ_RAJ_Fsy_Jt_3,CZE_RAJ_RAJ_Fsy_Jt_4,CZE_RAJ_RAJ_Fsy_Jt_5,CZE_RAJ_RAJ_Fsy_Jt_6
2012-04-07T19:50:00Z,2012-04-07T20:55:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T20:00:00Z,2012-04-07T21:05:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T20:10:00Z,2012-04-07T21:15:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T20:20:00Z,2012-04-07T21:25:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T20:30:00Z,2012-04-07T21:35:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T20:40:00Z,2012-04-07T21:45:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T20:50:00Z,2012-04-07T21:55:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T21:00:00Z,2012-04-07T22:05:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T21:10:00Z,2012-04-07T22:15:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T21:20:00Z,2012-04-07T22:25:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T21:30:00Z,2012-04-07T22:35:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T21:40:00Z,2012-04-07T22:45:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T21:50:00Z,2012-04-07T22:55:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T22:00:00Z,2012-04-07T23:05:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T22:10:00Z,2012-04-07T23:15:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T22:20:00Z,2012-04-07T23:25:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T22:30:00Z,2012-04-07T23:35:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T22:40:00Z,2012-04-07T23:45:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T22:50:00Z,2012-04-07T23:55:12Z,NA,NA,NA,NA,NA,NA
2012-04-07T23:00:00Z,2012-04-08T00:05:28Z,NA,NA,NA,NA,NA,NA
2012-04-07T23:10:00Z,2012-04-08T00:15:28Z,NA,NA,NA,NA,NA,NA
2012-04-07T23:20:00Z,2012-04-08T00:25:28Z,NA,NA,NA,NA,NA,NA
2012-04-07T23:30:00Z,2012-04-08T00:35:28Z,NA,NA,NA,NA,NA,NA
2012-04-07T23:40:00Z,2012-04-08T00:45:28Z,NA,NA,NA,NA,NA,NA
2012-04-07T23:50:00Z,2012-04-08T00:55:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T00:00:00Z,2012-04-08T01:05:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T00:10:00Z,2012-04-08T01:15:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T00:20:00Z,2012-04-08T01:25:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T00:30:00Z,2012-04-08T01:35:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T00:40:00Z,2012-04-08T01:45:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T00:50:00Z,2012-04-08T01:55:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T01:00:00Z,2012-04-08T02:05:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T01:10:00Z,2012-04-08T02:15:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T01:20:00Z,2012-04-08T02:25:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T01:30:00Z,2012-04-08T02:35:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T01:40:00Z,2012-04-08T02:45:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T01:50:00Z,2012-04-08T02:55:28Z,NA,NA,NA,NA,NA,NA
2012-04-08T02:00:00Z,2012-04-08T03:05:28Z,NA,NA,NA,NA,NA,NA
