TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,ppfd_in,ext_rad
2011-12-31T23:00:00Z,2011-12-31T23:48:43Z,0.1,100,0,0,0.5,0,0,0
2012-01-01T00:00:00Z,2012-01-01T00:48:12Z,0.3,100,0,0,0.6,0,0,0
2012-01-01T01:00:00Z,2012-01-01T01:48:12Z,0.4,99.5,0.0031440571423680765,0,0.7,0,0,0
2012-01-01T02:00:00Z,2012-01-01T02:48:12Z,0.8,99,0.006472907742750567,0,1.2,0,0,0
2012-01-01T03:00:00Z,2012-01-01T03:48:12Z,1,98.4,0.010507346623825228,0,1.3,0,0,0
2012-01-01T04:00:00Z,2012-01-01T04:48:12Z,1.3,98.9,0.007381702376665084,0,1.1,0,0,0
2012-01-01T05:00:00Z,2012-01-01T05:48:12Z,1.6,99.5,0.003428475371691035,0,1.4,0,0,0
2012-01-01T06:00:00Z,2012-01-01T06:48:12Z,1.8,99.9,6.956051042728758e-4,0,1.2,0,0,0
2012-01-01T07:00:00Z,2012-01-01T07:48:12Z,2.2,100,0,0,1.4,0,0,0
2012-01-01T08:00:00Z,2012-01-01T08:48:12Z,2.9,100,0,0,1.3,0,0,68.72275288789257
2012-01-01T09:00:00Z,2012-01-01T09:48:12Z,4.1,100,0,0.5,1.2,0,1.057,202.5738902378756
2012-01-01T10:00:00Z,2012-01-01T10:48:12Z,5,100,0,2.8,1.1,0.6,5.919199999999999,292.3982741411636
2012-01-01T11:00:00Z,2012-01-01T11:48:12Z,6,100,0,5.8,1,1.1,12.261199999999999,332.0785067386362
2012-01-01T12:00:00Z,2012-01-01T12:48:12Z,7.1,100,0,7.3,1.1,0.2,15.432199999999998,318.9121920597883
2012-01-01T13:00:00Z,2012-01-01T13:48:12Z,7.8,100,0,4.5,1,0.1,9.513,253.79598295955626
2012-01-01T14:00:00Z,2012-01-01T14:48:12Z,8.4,99.9,0.0011023471119886862,1.4,0.8,0,2.9595999999999996,141.1645193430809
2012-01-01T15:00:00Z,2012-01-01T15:48:12Z,8.7,99.7,0.003374998485937825,0,0.7,0.1,0,0
2012-01-01T16:00:00Z,2012-01-01T16:48:12Z,9.1,99.5,0.005779196775183992,0,0.9,0,0,0
2012-01-01T17:00:00Z,2012-01-01T17:48:12Z,8.8,99.1,0.01019376703028816,0,0.7,0,0,0
2012-01-01T18:00:00Z,2012-01-01T18:48:12Z,8.8,99.7,0.0033979223434293863,0,0.8,0,0,0
2012-01-01T19:00:00Z,2012-01-01T19:48:12Z,8.7,99.9,0.0011249994953124833,0,0.7,0,0,0
2012-01-01T20:00:00Z,2012-01-01T20:48:12Z,9.3,99.9,0.0011715363388060797,0,0.8,0.1,0,0
2012-01-01T21:00:00Z,2012-01-01T21:48:12Z,9.3,99.9,0.0011715363388060797,0,0.8,0,0,0
2012-01-01T22:00:00Z,2012-01-01T22:48:12Z,9.6,99.9,0.0011954334347936443,0,1.6,0.3,0,0
2012-01-01T23:00:00Z,2012-01-01T23:48:12Z,10,99.4,0.007367775716036141,0,1.6,0.2,0,0
2012-01-02T00:00:00Z,2012-01-02T00:47:46Z,10.1,98.6,0.017307017314045776,0,1.5,0.8,0,0
2012-01-02T01:00:00Z,2012-01-02T01:47:46Z,10.3,98.1,0.0238044875064082,0,2,0.6,0,0
2012-01-02T02:00:00Z,2012-01-02T02:47:46Z,10.4,96.9,0.03909929538406062,0,1.9,0.2,0,0
2012-01-02T03:00:00Z,2012-01-02T03:47:46Z,10.5,95.8,0.05332810943435576,0,2,0.1,0,0
2012-01-02T04:00:00Z,2012-01-02T04:47:46Z,10.6,94.3,0.07285830667445808,0,1.7,0,0,0
2012-01-02T05:00:00Z,2012-01-02T05:47:46Z,11,92.8,0.09451541801561969,0,1.3,0,0,0
2012-01-02T06:00:00Z,2012-01-02T06:47:46Z,10.8,94.6,0.06994966066526231,0,0.9,0.1,0,0
2012-01-02T07:00:00Z,2012-01-02T07:47:46Z,10,93.7,0.07736164501838078,0,1,0,0,0
2012-01-02T08:00:00Z,2012-01-02T08:47:46Z,9.7,93.7,0.07582011263558168,0.4,0.9,0,0.8456,68.25650167927887
2012-01-02T09:00:00Z,2012-01-02T09:47:46Z,9.6,92.6,0.0884620741747395,16.4,0.5,0,34.669599999999996,202.79524889055003
2012-01-02T10:00:00Z,2012-01-02T10:47:46Z,9.3,91.2,0.10309519781494633,28.7,0.7,0,60.6718,293.3953918729502
2012-01-02T11:00:00Z,2012-01-02T11:47:46Z,9.2,91.8,0.09542049420692056,54.3,0.7,0,114.79019999999998,333.8866530727158
2012-01-02T12:00:00Z,2012-01-02T12:47:46Z,9.4,90.2,0.11558658190233019,59.9,0.8,0,126.62859999999999,321.5113797042163
2012-01-02T13:00:00Z,2012-01-02T13:47:46Z,9.2,91.7,0.09658415877041945,17.3,0.5,0.1,36.5722,257.11235563899913
2012-01-02T14:00:00Z,2012-01-02T14:47:46Z,8.7,95.3,0.052874976279692586,0.8,0.7,0.7,1.6912,145.0754082586055
2012-01-02T15:00:00Z,2012-01-02T15:47:46Z,8.1,97,0.03240291379960217,0,0.6,0.4,0,0
2012-01-02T16:00:00Z,2012-01-02T16:47:46Z,7.8,97.8,0.023281355123745393,0,0.5,0,0,0
2012-01-02T17:00:00Z,2012-01-02T17:47:46Z,7.5,98.1,0.01969881862527543,0,0.7,0,0,0
2012-01-02T18:00:00Z,2012-01-02T18:47:46Z,6.8,98,0.019763651714452636,0,0.5,0,0,0
2012-01-02T19:00:00Z,2012-01-02T19:47:46Z,5.9,97.9,0.019501758865197397,0,0.6,0.1,0,0
2012-01-02T20:00:00Z,2012-01-02T20:47:46Z,5.2,96.7,0.02919062596170319,0,0.6,0,0,0
2012-01-02T21:00:00Z,2012-01-02T21:47:46Z,4.6,97.8,0.018661548574399063,0,0.5,0,0,0
2012-01-02T22:00:00Z,2012-01-02T22:47:46Z,4.3,98.5,0.012458911926264169,0,0.6,0,0,0
2012-01-02T23:00:00Z,2012-01-02T23:47:46Z,4.2,97.9,0.01732039238971033,0,0.9,0,0,0
2012-01-03T00:00:00Z,2012-01-03T00:47:21Z,3.6,96.5,0.027672649635434,0,1,0,0,0
2012-01-03T01:00:00Z,2012-01-03T01:47:21Z,3.4,94.2,0.04521388033158494,0,1.2,0,0,0
2012-01-03T02:00:00Z,2012-01-03T02:47:21Z,2.7,95.3,0.034863812357929375,0,0.9,0,0,0
2012-01-03T03:00:00Z,2012-01-03T03:47:21Z,2.1,97.1,0.020610514380836407,0,0.7,0,0,0
2012-01-03T04:00:00Z,2012-01-03T04:47:21Z,1.7,98,0.013812687752136283,0,0.6,0,0,0
2012-01-03T05:00:00Z,2012-01-03T05:47:21Z,1.6,97.5,0.017142376858455176,0,0.8,0,0,0
2012-01-03T06:00:00Z,2012-01-03T06:47:21Z,1.3,97.5,0.01677659631060263,0,0.9,0,0,0
2012-01-03T07:00:00Z,2012-01-03T07:47:21Z,1.5,96.8,0.021785183802784294,0,1,0,0,0
2012-01-03T08:00:00Z,2012-01-03T08:47:21Z,1.5,94.7,0.03608171067336141,0.1,1.2,0,0.2114,68.00330032369608
2012-01-03T09:00:00Z,2012-01-03T09:47:21Z,2.1,91.6,0.05969942096518132,13.5,1.5,0,28.538999999999998,203.21951570120373
2012-01-03T10:00:00Z,2012-01-03T10:47:21Z,3.5,85.5,0.11383675843641758,81.6,1.7,0,172.50239999999997,294.58128630375865
2012-01-03T11:00:00Z,2012-01-03T11:47:21Z,4.4,82.3,0.14805054952336685,114,2.2,0,240.99599999999998,335.8664121772286
2012-01-03T12:00:00Z,2012-01-03T12:47:21Z,4.8,80.1,0.17118127528495972,57.8,2.3,0,122.18919999999999,324.2631499125102
2012-01-03T13:00:00Z,2012-01-03T13:47:21Z,4.7,80.5,0.1665712163562412,15.9,2.8,0.5,33.6126,260.5617102467084
2012-01-03T14:00:00Z,2012-01-03T14:47:21Z,3.3,93.9,0.04721721179174316,0,3,2.6,0,149.1004453000057
2012-01-03T15:00:00Z,2012-01-03T15:47:21Z,3.5,96.3,0.02904800042860313,0,2.9,1.2,0,0
2012-01-03T16:00:00Z,2012-01-03T16:47:21Z,4.4,92.5,0.06273328369634183,0,2.6,0,0,0
2012-01-03T17:00:00Z,2012-01-03T17:47:21Z,5.5,86.4,0.12283916948847699,0,2.5,0,0,0
2012-01-03T18:00:00Z,2012-01-03T18:47:21Z,6.4,83.6,0.15765702747222327,0,2.7,0.1,0,0
2012-01-03T19:00:00Z,2012-01-03T19:47:21Z,7.1,81,0.19166414314363206,0,2.8,0.1,0,0
2012-01-03T20:00:00Z,2012-01-03T20:47:21Z,7.2,85.7,0.145245198995744,0,2.2,0.1,0,0
2012-01-03T21:00:00Z,2012-01-03T21:47:21Z,7,93.2,0.06812637296637829,0,1.7,0.4,0,0
2012-01-03T22:00:00Z,2012-01-03T22:47:21Z,7.3,91.9,0.08283746678046161,0,1.6,0.1,0,0
2012-01-03T23:00:00Z,2012-01-03T23:47:21Z,6.7,82.6,0.17076473776808992,0,2.2,1.2,0,0
2012-01-04T00:00:00Z,2012-01-04T00:46:57Z,4.1,92,0.06552023807721197,0,2.2,1.3,0,0
2012-01-04T01:00:00Z,2012-01-04T01:46:57Z,4.3,82.7,0.14369278421624657,0,2.5,0,0,0
2012-01-04T02:00:00Z,2012-01-04T02:46:57Z,4.1,83.3,0.13677349698618008,0,1.6,0,0,0
2012-01-04T03:00:00Z,2012-01-04T03:46:57Z,4.3,79.3,0.17193298458244544,0,1.8,0,0,0
2012-01-04T04:00:00Z,2012-01-04T04:46:57Z,4.4,74.8,0.21078383321970867,0,1.9,0,0,0
2012-01-04T05:00:00Z,2012-01-04T05:46:57Z,4.5,73.8,0.2206903931320058,0,2,0,0,0
2012-01-04T06:00:00Z,2012-01-04T06:46:57Z,4.6,74.1,0.21969732185315244,0,2.2,0,0,0
2012-01-04T07:00:00Z,2012-01-04T07:46:57Z,4.6,74.9,0.2129113041897345,0,2,0,0,0
2012-01-04T08:00:00Z,2012-01-04T08:46:57Z,4.9,74.8,0.21829261763396632,0,2.1,0,0,67.96377712801697
2012-01-04T09:00:00Z,2012-01-04T09:46:57Z,5.1,75.3,0.21696945676227616,20.3,2.1,0,42.9142,203.84703454109237
2012-01-04T10:00:00Z,2012-01-04T10:46:57Z,5.1,78.6,0.18798163460375353,49.3,2.4,0,104.22019999999999,295.95595411621235
2012-01-04T11:00:00Z,2012-01-04T11:46:57Z,4.6,83.2,0.14250637093177448,50.7,2.3,0,107.1798,338.01739445378735
2012-01-04T12:00:00Z,2012-01-04T12:46:57Z,4.9,80.8,0.1663181848639744,69.4,2.6,0,146.7116,327.1667139834807
2012-01-04T13:00:00Z,2012-01-04T13:46:57Z,5.3,78.1,0.1950737832416562,42.1,2.8,0,88.9994,264.1428732506341
2012-01-04T14:00:00Z,2012-01-04T14:46:57Z,4.8,79.3,0.1780629345928978,13.5,2.6,0,28.538999999999998,153.23811245347713
2012-01-04T15:00:00Z,2012-01-04T15:46:57Z,4.4,80.7,0.16143365004525304,0.1,2.2,0,0.2114,2.0056309529384144
2012-01-04T16:00:00Z,2012-01-04T16:46:57Z,4.1,81.1,0.15479156245741338,0,2,0,0,0
2012-01-04T17:00:00Z,2012-01-04T17:46:57Z,3.8,83.6,0.13150893979173864,0,2.1,0,0,0
2012-01-04T18:00:00Z,2012-01-04T18:46:57Z,2.9,88.7,0.08502178563434586,0,1.5,0,0,0
2012-01-04T19:00:00Z,2012-01-04T19:46:57Z,3.2,88.3,0.08992501630937055,0,1.6,0,0,0
