pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
55,measured,NA,DEU_MER_MIX_NON_Fsy_Jt_1,23.4,23.5,NA,Bu56,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_10,39.4,29.5,NA,Do241,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_11,39.1,29.9,NA,Do54,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_12,48,31.5,NA,Do55,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_13,45.1,32,NA,Do38,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_14,40.5,31.2,NA,Do287,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
55,measured,NA,DEU_MER_MIX_NON_Fsy_Jt_15,29.6,23.8,NA,Bu82,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_16,24.9,26.2,NA,Do242,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
40,measured,NA,DEU_MER_MIX_NON_Pme_Jt_17,20.9,24.2,NA,Do223,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_NON,cm3 s-1
55,measured,NA,DEU_MER_MIX_NON_Fsy_Jt_2,31.3,22.9,NA,Bu98,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_NON,cm3 s-1
55,measured,NA,DEU_MER_MIX_NON_Fsy_Jt_3,20.2,21.4,NA,Bu212,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_NON,cm3 s-1
55,measured,NA,DEU_MER_MIX_NON_Fsy_Jt_4,23.7,23,NA,Bu221,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_NON,cm3 s-1
55,measured,NA,DEU_MER_MIX_NON_Fsy_Jt_5,24.4,23,NA,Bu233,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2010, yearly data available ",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_NON,cm3 s-1
