pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
60,measured,NA,DEU_MER_MIX_THI_Fsy_Jt_1,24.31,25.7,NA,Bu56,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_THI,cm3 s-1
45,measured,NA,DEU_MER_MIX_THI_Pme_Jt_10,25.68,26.3,NA,Do285,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_THI,cm3 s-1
60,measured,NA,DEU_MER_MIX_THI_Fsy_Jt_2,33.75,23.2,NA,Bu98,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_THI,cm3 s-1
60,measured,NA,DEU_MER_MIX_THI_Fsy_Jt_3,15.08,17.8,NA,Bu59,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_THI,cm3 s-1
60,measured,NA,DEU_MER_MIX_THI_Fsy_Jt_4,17.93,24.4,NA,Bu214,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_THI,cm3 s-1
60,measured,NA,DEU_MER_MIX_THI_Fsy_Jt_5,13.55,22.9,NA,Bu217,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,6.9,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,codominant,Fagus sylvatica,NA,DEU_MER_MIX_THI,cm3 s-1
45,measured,NA,DEU_MER_MIX_THI_Pme_Jt_6,52.22,33.3,NA,Do55,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_THI,cm3 s-1
45,measured,NA,DEU_MER_MIX_THI_Pme_Jt_7,42.27,31.3,NA,Do54,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_THI,cm3 s-1
45,measured,NA,DEU_MER_MIX_THI_Pme_Jt_8,43.59,32.6,NA,Do287,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_THI,cm3 s-1
45,measured,NA,DEU_MER_MIX_THI_Pme_Jt_9,27.3,27.4,NA,Do242,"Corrected, measured radial variation","linear decline of sapflow density, SFD=0 at inner sapwood boundary; dbh from 2013, yearly data available",cm3 h-1,NA,8,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,15,dominant,Pseudotsuga menziesii,NA,DEU_MER_MIX_THI,cm3 s-1
