pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_1,21,9.2,NA,PC1,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_10,44,15.5,NA,PC10,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_2,28,10.3,NA,PC2,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_3,29,9.8,NA,PC3,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_4,30,12.8,NA,PC4,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_5,33,12.4,NA,PC5,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_6,34,12.6,NA,PC6,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_7,37,13.2,NA,PC7,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_8,38,12.6,NA,PC8,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
55,No azimuthal correction,NA,ESP_LAS_Pca_Jt_9,42,14,NA,PC9,Sensor-integrated,NA,cm3 h-1,NA,NA,FALSE,No correction,Long time-window zero flow,1.5,80,Ems Brno,TSHB,10,dominant,Pinus canariensis,NA,ESP_LAS,kg h-1
