TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,sw_in,ext_rad
2013-06-11T23:00:00Z,2013-06-11T22:36:38Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-11T23:30:00Z,2013-06-11T23:06:38Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T00:00:00Z,2013-06-11T23:36:38Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T00:30:00Z,2013-06-12T00:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T01:00:00Z,2013-06-12T00:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T01:30:00Z,2013-06-12T01:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T02:00:00Z,2013-06-12T01:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T02:30:00Z,2013-06-12T02:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T03:00:00Z,2013-06-12T02:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T03:30:00Z,2013-06-12T03:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T04:00:00Z,2013-06-12T03:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T04:30:00Z,2013-06-12T04:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T05:00:00Z,2013-06-12T04:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T05:30:00Z,2013-06-12T05:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T06:00:00Z,2013-06-12T05:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T06:30:00Z,2013-06-12T06:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T07:00:00Z,2013-06-12T06:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T07:30:00Z,2013-06-12T07:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T08:00:00Z,2013-06-12T07:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T08:30:00Z,2013-06-12T08:06:26Z,,,,,,,,,,CALCULATED,CALCULATED
2013-06-12T09:00:00Z,2013-06-12T08:36:26Z,,,,,,,,,,CALCULATED,CALCULATED
