pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_1,10.3,14.6,NA,D-27,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,77.7,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,codominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_10,10.7,14.8,NA,E-39,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,83.8,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,dominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_2,13.6,15.6,NA,D-101,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,136.7,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,dominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_3,6.3,11.9,NA,D-31,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,27.4,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,codominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_4,11.1,14.9,NA,D-32,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,89.5,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,dominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_5,7.3,12.8,NA,D-A,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,37.6,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,codominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_6,9.7,14.4,NA,H-2,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,68.5,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,codominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_7,9.3,14.1,NA,H-5,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,62.1,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,codominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_8,12,15.2,NA,H-6,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,105.7,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,dominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
31,No azimuthal correction,2,FRA_HES_HE1_NON_Fsy_Js_9,11.5,15.1,NA,I-5,"Corrected, measured radial variation","dictinction between sapwood and heartwood is not possible in Fagus sylvatica. To calculate tree sapflow from sapflux density we used a species-specific function (see Granier et al 2003. Deciduous forests: carbon and water fluxes, balances and ecophysiological determinants. Ecol. Stud. 163, 55–70.) that gives relative sap flux density as a function of depth below cambium",cm3 h-1,96.6,NA,FALSE,No correction,Long time-window zero flow,1.5,20,Lab made,HD,30,dominant,Fagus sylvatica,NA,FRA_HES_HE1_NON,dm3 dm-2 h-1
