TIMESTAMP,solar_TIMESTAMP,GUF_GUY_GUY_Ssp_Js_1,GUF_GUY_GUY_Vam_Js_2,GUF_GUY_GUY_Lme_Js_3,GUF_GUY_GUY_Oas_Js_4,GUF_GUY_GUY_Isa_Js_5,GUF_GUY_GUY_Ggl_Js_6
2014-01-01T03:00:00Z,2013-12-31T23:24:15Z,,OUT_WARN,,,NA_PRESENT,NA_PRESENT
2014-01-01T03:30:00Z,2013-12-31T23:54:15Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T04:00:00Z,2014-01-01T00:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T04:30:00Z,2014-01-01T00:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T05:00:00Z,2014-01-01T01:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T05:30:00Z,2014-01-01T01:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T06:00:00Z,2014-01-01T02:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T06:30:00Z,2014-01-01T02:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T07:00:00Z,2014-01-01T03:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T07:30:00Z,2014-01-01T03:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T08:00:00Z,2014-01-01T04:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T08:30:00Z,2014-01-01T04:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T09:00:00Z,2014-01-01T05:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T09:30:00Z,2014-01-01T05:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T10:00:00Z,2014-01-01T06:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T10:30:00Z,2014-01-01T06:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T11:00:00Z,2014-01-01T07:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T11:30:00Z,2014-01-01T07:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T12:00:00Z,2014-01-01T08:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T12:30:00Z,2014-01-01T08:53:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T13:00:00Z,2014-01-01T09:23:43Z,,,,,NA_PRESENT,NA_PRESENT
2014-01-01T13:30:00Z,2014-01-01T09:53:43Z,,,,,NA_PRESENT,NA_PRESENT
