pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,5,GUF_GUY_ST2_Dgu_Js_1,39.9,26,NA,Dg4,No radial correction,NA,cm3 h-1,317.5,2.8,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,codominant,Dicorynia guianensis,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,2.5,GUF_GUY_ST2_Vam_Js_10,28.3,28,NA,Va10,No radial correction,NA,cm3 h-1,100.3,1.2,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,codominant,Vouacapoua americana,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,13.5,GUF_GUY_ST2_Ggl_Js_11,79.9,35,NA,Gg15,No radial correction,NA,cm3 h-1,2491.3,12.2,FALSE,No correction,Previous night zero flow,2,20,Lab made,HD,30,codominant,Goupia glabra,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,6,GUF_GUY_ST2_Dgu_Js_2,33,30,NA,Dg6,No radial correction,NA,cm3 h-1,522.5,6.6,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,codominant,Dicorynia guianensis,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,3.5,GUF_GUY_ST2_Dgu_Js_3,23.2,28,NA,Dg7,No radial correction,NA,cm3 h-1,270.9,4.9,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,codominant,Dicorynia guianensis,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,7,GUF_GUY_ST2_Dgu_Js_4,41.1,36,NA,Dg17,No radial correction,NA,cm3 h-1,438.6,3.9,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,dominant,Dicorynia guianensis,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,10,GUF_GUY_ST2_Vsp_Js_5,40.7,34,NA,Va3,No radial correction,NA,cm3 h-1,757.2,7.8,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,dominant,Vantanea sp,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,2,GUF_GUY_ST2_Oas_Js_6,16.7,20,NA,Ox5,No radial correction,NA,cm3 h-1,69.7,1.5,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,suppressed,Oxandra asbeckii,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,2,GUF_GUY_ST2_Oas_Js_7,10.6,19,NA,Ox11,No radial correction,NA,cm3 h-1,66.5,2.9,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,suppressed,Oxandra asbeckii,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,7,GUF_GUY_ST2_Rsp_Js_8,45.4,32,NA,Rs8,No radial correction,NA,cm3 h-1,187.4,1.4,FALSE,No correction,Previous night zero flow,1.5,20,Lab made,HD,30,codominant,Recordoxylon speciosum,NA,GUF_GUY_ST2,dm3 dm-2 h-1
NA,No azimuthal correction,11,GUF_GUY_ST2_Ssp_Js_9,47.6,35,NA,S9,No radial correction,NA,cm3 h-1,566.7,4.4,FALSE,No correction,Previous night zero flow,4,20,Lab made,HD,30,dominant,Sloanea sp,NA,GUF_GUY_ST2,dm3 dm-2 h-1
