pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_1,73.4,5,NA,OP1,No radial correction,1. The plant height is the height from the ground to the base leaf (i.e. trunk height),cm3 h-1,1362.98,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_10,85.18,4.7,NA,OP10,No radial correction,NA,cm3 h-1,1249.45,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_2,81.5,4.7,NA,OP2,No radial correction,"2. Sensors were installed in leaf petioles rather than in the trunk because vessel density is presumably higher and distributed more homogeneously, and also due to the practical constraints of installation in tree trunks.",cm3 h-1,1308.06,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_3,76.5,4.5,NA,OP3,No radial correction,3. The sapwood area is calculated by multiplying the average cross section area of leaf petioles by the average leaf numbers per palm.,cm3 h-1,1194.59,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_4,73.4,4.7,NA,OP4,No radial correction,"Details on basic considerations and technical specifications of field installation and laboratory calibration please refer to Niu et al., 2015 (http://doi:10.1093/treephys/tpv013)",cm3 h-1,1091.041,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_5,74.2,4.4,NA,OP5,No radial correction,NA,cm3 h-1,1286.48,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_6,81.35,5.5,NA,OP6,No radial correction,NA,cm3 h-1,1335.68,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_7,70.99,4.1,NA,OP7,No radial correction,NA,cm3 h-1,932.18,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_8,78.2,4.7,NA,OP8,No radial correction,NA,cm3 h-1,1234.73,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
12,No azimuthal correction,NA,IDN_JAM_OIL_Egu_Js_9,77.3,3.7,NA,OP9,No radial correction,NA,cm3 h-1,1153.24,NA,TRUE,No correction,Previous night zero flow,NA,12.5,Lab made,HD,60,dominant,Elaeis guineensis,NA,IDN_JAM_OIL,cm3 cm-2 h-1
