pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_1,24.8,NA,NA,43,"Corrected, species coefficients",Died in spring 2016,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_10,19.7,7.5,NA,55,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_11,11.7,5.25,NA,54,"Corrected, species coefficients",Died in spring 2016,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_12,19.1,10.05,NA,8,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_13,22.9,NA,NA,56,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_14,18.1,8.55,NA,57,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_15,22.5,11.7,NA,21,"Corrected, species coefficients",Died in spring 2016,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_16,15.9,NA,NA,41,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_17,23.1,10.65,NA,2,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_18,23.6,11.1,NA,65,"Corrected, species coefficients",Died in winter 2013/14,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_19,22.7,10.05,NA,15,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_2,30.6,NA,NA,51,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_20,20.1,9.6,NA,5,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_21,20.2,10.35,NA,38,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_22,21.4,12.3,NA,31,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_23,12.8,7.2,NA,24,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
NA,No azimuthal correction,NA,ISR_YAT_YAT_Pha_Jt_24,21.2,NA,NA,75,"Corrected, species coefficients",NA,cm3 h-1,NA,NA,NA,No correction,Long time-window zero flow,1.3,20,Lab made,HD,30,NA,Pinus halepensis,NA,ISR_YAT_YAT,dm3 h-1
