TIMESTAMP,solar_TIMESTAMP,ITA_TOR_Lde_Js_1,ITA_TOR_Lde_Js_2,ITA_TOR_Lde_Js_3,ITA_TOR_Lde_Js_4
2015-03-02T23:00:00Z,2015-03-02T23:18:13Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-02T23:30:00Z,2015-03-02T23:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T00:00:00Z,2015-03-03T00:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T00:30:00Z,2015-03-03T00:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T01:00:00Z,2015-03-03T01:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T01:30:00Z,2015-03-03T01:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T02:00:00Z,2015-03-03T02:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T02:30:00Z,2015-03-03T02:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T03:00:00Z,2015-03-03T03:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T03:30:00Z,2015-03-03T03:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T04:00:00Z,2015-03-03T04:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T04:30:00Z,2015-03-03T04:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T05:00:00Z,2015-03-03T05:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T05:30:00Z,2015-03-03T05:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T06:00:00Z,2015-03-03T06:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T06:30:00Z,2015-03-03T06:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T07:00:00Z,2015-03-03T07:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T07:30:00Z,2015-03-03T07:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T08:00:00Z,2015-03-03T08:18:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-03T08:30:00Z,2015-03-03T08:48:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
