TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,swc_deep,sw_in,ext_rad
2007-09-30T23:00:00Z,2007-09-30T22:36:29Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2007-09-30T23:15:00Z,2007-09-30T22:51:29Z,,,,,,,CALCULATED,CALCULATED
2007-09-30T23:30:00Z,2007-09-30T23:06:29Z,,,,,,,CALCULATED,CALCULATED
2007-09-30T23:45:00Z,2007-09-30T23:21:29Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T00:00:00Z,2007-09-30T23:36:29Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2007-10-01T00:15:00Z,2007-09-30T23:51:29Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T00:30:00Z,2007-10-01T00:06:29Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T00:45:00Z,2007-10-01T00:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T01:00:00Z,2007-10-01T00:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T01:15:00Z,2007-10-01T00:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T01:30:00Z,2007-10-01T01:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T01:45:00Z,2007-10-01T01:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T02:00:00Z,2007-10-01T01:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T02:15:00Z,2007-10-01T01:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T02:30:00Z,2007-10-01T02:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T02:45:00Z,2007-10-01T02:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T03:00:00Z,2007-10-01T02:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T03:15:00Z,2007-10-01T02:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T03:30:00Z,2007-10-01T03:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T03:45:00Z,2007-10-01T03:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T04:00:00Z,2007-10-01T03:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T04:15:00Z,2007-10-01T03:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T04:30:00Z,2007-10-01T04:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T04:45:00Z,2007-10-01T04:21:47Z,,,,,,,CALCULATED,CALCULATED
