pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_1,6.1,NA,7.41,plant3,No radial correction,"We instrumented several trees at the site to test for azimuthal corrections and found no consistent patterns, therefore no corrections were made.",cm3 h-1,6.8,1.4,FALSE,NA,Previous night zero flow,1.37,10,Dynamax,HD,30,codominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_10,22.6,NA,47,plant14,No radial correction,NA,cm3 h-1,25.3,0.89,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_11,9,NA,12.8,plant17,No radial correction,NA,cm3 h-1,12.3,1.31,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_2,7.2,NA,9.36,plant4,No radial correction,NA,cm3 h-1,9.1,1.37,FALSE,NA,Previous night zero flow,1.37,10,Dynamax,HD,30,codominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_3,4.9,NA,5.44,plant5,No radial correction,NA,cm3 h-1,3.7,1.43,FALSE,NA,Previous night zero flow,1.37,10,Dynamax,HD,30,codominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_4,25.9,NA,57,plant7,No radial correction,NA,cm3 h-1,27.2,0.78,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_5,28.4,NA,64.9,plant9,No radial correction,NA,cm3 h-1,28.5,0.71,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_6,15.3,NA,27.1,plant10,No radial correction,NA,cm3 h-1,19.8,1.12,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_7,13.3,NA,22.3,plant11,No radial correction,NA,cm3 h-1,17.8,1.18,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_8,12.5,NA,20.4,plant12,No radial correction,NA,cm3 h-1,16.9,1.2,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
NA,No azimuthal correction,NA,RUS_CHE_Y4_Lca_Jt_9,18.1,NA,34.4,plant13,No radial correction,NA,cm3 h-1,22.1,1.03,FALSE,NA,Previous night zero flow,1.37,30,Dynamax,HD,30,dominant,Larix cajanderi,NA,RUS_CHE_Y4,g h-1
