pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,"Corrected, measured azimuthal variation",5,SWE_NOR_ST4_BEF_Pab_Jt_1,19.1,17,NA,135,Sensor-integrated,NA,cm3 h-1,164.2,NA,FALSE,NTG separately measured,Previous night zero flow,1.5,35,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST4_BEF_Psy_Jt_10,20,18.2,NA,683,Sensor-integrated,NA,cm3 h-1,195.5,NA,FALSE,NTG separately measured,Previous night zero flow,1.4,35,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",5,SWE_NOR_ST4_BEF_Pab_Jt_11,15.1,14.6,NA,1106,Sensor-integrated,NA,cm3 h-1,136.8,NA,FALSE,NTG separately measured,Previous night zero flow,1.55,35,Ems Brno,TSHB,30,suppressed,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",6,SWE_NOR_ST4_BEF_Pab_Jt_12,21.9,15.8,NA,1109,Sensor-integrated,NA,cm3 h-1,233,NA,FALSE,NTG separately measured,Previous night zero flow,1.5,45,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",6,SWE_NOR_ST4_BEF_Pab_Jt_13,17.2,16.5,NA,1111,Sensor-integrated,NA,cm3 h-1,147,NA,FALSE,NTG separately measured,Previous night zero flow,1.7,35,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",5,SWE_NOR_ST4_BEF_Pab_Jt_14,20.5,19,NA,1273,Sensor-integrated,NA,cm3 h-1,239.7,NA,FALSE,NTG separately measured,Previous night zero flow,1.5,35,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",5.5,SWE_NOR_ST4_BEF_Pab_Jt_15,17.4,18.5,NA,1579,Sensor-integrated,NA,cm3 h-1,145,NA,FALSE,NTG separately measured,Previous night zero flow,1.4,35,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",4.5,SWE_NOR_ST4_BEF_Pab_Jt_16,15.1,17.8,NA,1614,Sensor-integrated,NA,cm3 h-1,136.3,NA,FALSE,NTG separately measured,Previous night zero flow,1.45,35,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST4_BEF_Psy_Jt_17,15.3,15.8,NA,1188,Sensor-integrated,NA,cm3 h-1,130.5,NA,FALSE,NTG separately measured,Previous night zero flow,1.4,35,Ems Brno,TSHB,30,suppressed,Pinus sylvestris,NA,SWE_NOR_ST4_BEF,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST4_BEF_Psy_Jt_18,22.9,17.8,NA,1216,Sensor-integrated,NA,cm3 h-1,258.4,NA,FALSE,NTG separately measured,Previous night zero flow,1.4,45,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST4_BEF,kg h-1
