TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,precip,ext_rad
2016-06-21T23:00:00Z,2016-06-22T00:16:31Z,10.72628,99.66311,0.0043426,0,3.376668,-44.03086,0,0
2016-06-21T23:30:00Z,2016-06-22T00:46:31Z,10.62104,99.6618,0.004329,0,4.150487,-61.31366,0.04,0
2016-06-22T00:00:00Z,2016-06-22T01:16:31Z,10.69195,99.66236,0.0043423,0,6.969068,-50.53071,0,0
2016-06-22T00:30:00Z,2016-06-22T01:46:31Z,10.18798,99.66432,0.0041742,1.7407300000000001,13.16432,-58.5374,0,0.4087818626550457
2016-06-22T01:00:00Z,2016-06-22T02:16:31Z,10.34922,99.66085,0.0042631,9.756617,25.8362,-48.0705,0,34.736010717102516
2016-06-22T01:30:00Z,2016-06-22T02:46:31Z,9.886425,99.66188,0.0041205,17.12589,47.17487,-32.70348,0,76.56865468008664
2016-06-22T02:00:00Z,2016-06-22T03:16:31Z,9.447103,99.66268,0.0039912,44.69392,89.37077,-4.24567,0,125.19116105123021
2016-06-22T02:30:00Z,2016-06-22T03:46:31Z,9.609898,98.39052,0.019253,57.17239,115.8869,-2.085514,0,179.77183556381274
2016-06-22T03:00:00Z,2016-06-22T04:16:31Z,10.14976,86.7657,0.16415,126.8408,227.0444,68.06754,0,239.37706861580912
2016-06-22T03:30:00Z,2016-06-22T04:46:31Z,10.18939,83.17044,0.2093,138.4968,264.1492,60.99137,0,302.98730477832663
2016-06-22T04:00:00Z,2016-06-22T05:16:31Z,10.43403,78.73553,0.26881,182.2242,346.1967,93.90723,0,369.51448242098974
2016-06-22T04:30:00Z,2016-06-22T05:46:31Z,10.6578,76.29865,0.30412,274.7672,515.7975,167.7118,0,437.82064514779574
2016-06-22T05:00:00Z,2016-06-22T06:16:31Z,11.22067,71.86303,0.37481,358.6279,678.328,248.7596,0,506.73740669205426
2016-06-22T05:30:00Z,2016-06-22T06:46:31Z,11.47513,69.05318,0.41925,295.8018,572.5541,195.2586,0,575.0859363210703
2016-06-22T06:00:00Z,2016-06-22T07:16:31Z,11.92334,67.57607,0.45247,435.1346,833.4905,314.5968,0,641.6971228977764
2016-06-22T06:30:00Z,2016-06-22T07:46:31Z,12.17646,65.03288,0.49617,490.52,941.5554,359.8727,0,705.4315726898689
2016-06-22T07:00:00Z,2016-06-22T08:16:31Z,12.64424,62.15791,0.55373000000000006,586.731,1132.312,446.6011,0,765.1990988615863
2016-06-22T07:30:00Z,2016-06-22T08:46:31Z,13.09906,60.11147,0.60132,639.8802,1246.98,495.3558,0,819.9773692772718
2016-06-22T08:00:00Z,2016-06-22T09:16:31Z,13.63955,58.45234,0.64881,671.1212,1314.24,524.0217,0,868.8293936436148
2016-06-22T08:30:00Z,2016-06-22T09:46:31Z,14.01592,55.01272,0.71991,672.5881,1326.132,525.2315,0,910.9195508700672
2016-06-22T09:00:00Z,2016-06-22T10:16:31Z,14.46473,51.53951,0.79837,761.3832,1510.074,604.0873,0,945.5278824971052
2016-06-22T09:30:00Z,2016-06-22T10:46:31Z,14.90462,46.99871,0.89832,796.4665,1576.224,637.4215,0,972.0624077010359
2016-06-22T10:00:00Z,2016-06-22T11:16:31Z,15.17823,45.77083,0.93546,787.1785,1570.957,631.3996,0,990.0692492248188
2016-06-22T10:30:00Z,2016-06-22T11:46:31Z,15.87653,46.05042,0.97325,827.4784,1662.151,666.5231,0,999.2403970293481
2016-06-22T11:00:00Z,2016-06-22T12:16:31Z,16.38724,43.60448,1.0511,770.7202,1555.322,618.6423,0,999.4189768662005
2016-06-22T11:30:00Z,2016-06-22T12:46:31Z,16.76574,43.16899,1.085,878.5394,1776.968,724.546,0,990.6019336518123
2016-06-22T12:00:00Z,2016-06-22T13:16:31Z,16.8489,42.13346,1.1106,640.1667,1309.401,515.755,0,972.9400837430791
2016-06-22T12:30:00Z,2016-06-22T13:46:31Z,16.8209,41.4381,1.122,510.9524,1042.854,412.9518,0,946.735535219732
2016-06-22T13:00:00Z,2016-06-22T14:16:31Z,16.4352,45.33994,1.0218,407.7272,832.874,328.3064,0,912.4365202994333
2016-06-22T13:30:00Z,2016-06-22T14:46:31Z,16.45995,45.05629,1.0288,514.9689,1047.358,409.1203,0,870.6297282773809
2016-06-22T14:00:00Z,2016-06-22T15:16:31Z,16.98268,44.89149,1.0667,631.9817,1281.947,498.3657,0,822.0302701362066
2016-06-22T14:30:00Z,2016-06-22T15:46:31Z,17.53392,41.55206,1.1715,569.0771,1149.46,441.8447,0,767.4694464824134
2016-06-22T15:00:00Z,2016-06-22T16:16:31Z,17.73896,38.12117,1.2564,503.154,1021.086,377.0944,0,707.8805280403011
2016-06-22T15:30:00Z,2016-06-22T16:46:31Z,17.80349,38.91085,1.2454,458.6004,931.5008,329.4843,0,644.2827919296464
2016-06-22T16:00:00Z,2016-06-22T17:16:31Z,17.97139,39.66047,1.2432,425.0947,859.2963,300.4392,0,577.7640867887039
2016-06-22T16:30:00Z,2016-06-22T17:46:31Z,17.92125,41.37603,1.204,282.1385,577.1556,175.2199,0,509.4622249683445
2016-06-22T17:00:00Z,2016-06-22T18:16:31Z,17.60445,42.47014,1.1582,249.6644,506.8508,151.2874,0,440.5455200863328
2016-06-22T17:30:00Z,2016-06-22T18:46:31Z,17.44159,43.52777,1.1253,233.4238,464.2989,134.8891,0,372.1928028499199
2016-06-22T18:00:00Z,2016-06-22T19:16:31Z,17.34347,44.18634,1.1053,196.7437,392.8326,104.1098,0,305.57325697853986
2016-06-22T18:30:00Z,2016-06-22T19:46:31Z,17.17884,45.5118,1.0679,113.2817,231.8025,23.56391,0,241.82642013647884
2016-06-22T19:00:00Z,2016-06-22T20:16:31Z,16.88214,47.7535,1.0049,106.246,102.2812,16.62572,0,182.04269196271773
2016-06-22T19:30:00Z,2016-06-22T20:46:31Z,16.50378,49.75699,0.94338,69.38059,79.94636,-15.64887,0,127.24468261068446
2016-06-22T20:00:00Z,2016-06-22T21:16:31Z,16.32367,48.0528,0.96425,40.6131,67.40766,-39.3973,0,78.36972083474447
2016-06-22T20:30:00Z,2016-06-22T21:46:31Z,16.23615,47.91568,0.96142,21.16922,48.34828,-56.83351,0,36.25382082518952
2016-06-22T21:00:00Z,2016-06-22T22:16:31Z,15.93615,50.25373,0.90085,4.135878,22.05386,-72.27693,0,1.617382041698821
2016-06-22T21:30:00Z,2016-06-22T22:46:31Z,15.9163,49.76579,0.90853,0,11.82661,-68.39604,0,0
2016-06-22T22:00:00Z,2016-06-22T23:16:31Z,15.74296,50.91076,0.87803,0,6.227595,-70.14761,0,0
2016-06-22T22:30:00Z,2016-06-22T23:46:31Z,15.37203,52.54435,0.82887,0,0,-76.64088,0,0
2016-06-22T23:00:00Z,2016-06-23T00:16:20Z,15.25161,52.60772,0.82139,0,0,-75.20783,0,0
2016-06-22T23:30:00Z,2016-06-23T00:46:20Z,15.01133,53.17716,0.79907,0,0,-70.91047,0,0
2016-06-23T00:00:00Z,2016-06-23T01:16:20Z,14.82021,53.777589999999996,0.77917,0,6.973498,-68.3503,0,0
2016-06-23T00:30:00Z,2016-06-23T01:46:20Z,14.59797,54.55087,0.75523,1.508233,12.39471,-60.51497,0,0
2016-06-23T01:00:00Z,2016-06-23T02:16:20Z,15.14563,51.80019,0.82971,14.174620000000001,19.80461,-13.39906,0,33.90596633477457
2016-06-23T01:30:00Z,2016-06-23T02:46:20Z,13.65836,58.38174,0.6507,23.8619,34.51088,-3.442785,0,75.64318245336081
2016-06-23T02:00:00Z,2016-06-23T03:16:20Z,13.31413,59.67847,0.61645,46.6841,74.14941,13.98047,0,124.18060382683188
2016-06-23T02:30:00Z,2016-06-23T03:46:20Z,14.071,56.6044,0.69693,74.89656,137.2316,19.9359,0,178.687990301782
2016-06-23T03:00:00Z,2016-06-23T04:16:20Z,14.47563,55.05632,0.74095,79.48615,156.3442,31.22171,0,238.23298440484857
2016-06-23T03:30:00Z,2016-06-23T04:46:20Z,14.41714,56.60794,0.71267,92.61131,186.6452,46.73976,0,301.7970594562696
2016-06-23T04:00:00Z,2016-06-23T05:16:20Z,14.35909,57.95062,0.68803,98.05323,200.8265,64.92999,0,368.29294162497325
2016-06-23T04:30:00Z,2016-06-23T05:46:20Z,14.58995,58.69151,0.68607,106.7947,219.9118,69.83411,0,436.5832079181748
