pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,33.740698537464596,USA_DUK_HAR_Ltu_Js_1,65.67999999999999,NA,NA,LITU01,"Corrected, measured radial variation",NA,cm3 h-1,1718.3197530228201,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,9.731643576808603,USA_DUK_HAR_Lst_Js_10,47.62,NA,NA,LIST05,"Corrected, measured radial variation",NA,cm3 h-1,1217.3833179624219,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liquidambar styraciflua,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,8.8198,USA_DUK_HAR_Cto_Js_11,54.760000000000005,NA,NA,CASP01,"Corrected, measured radial variation",NA,cm3 h-1,1194.8052254452127,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Carya tomentosa,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,5.7684999999999995,USA_DUK_HAR_Cto_Js_12,25.7,NA,NA,CASP02,"Corrected, measured radial variation",NA,cm3 h-1,338.0492803149093,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Carya tomentosa,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,4.3993,USA_DUK_HAR_Cto_Js_13,12.66,NA,NA,CASP03,"Corrected, measured radial variation",NA,cm3 h-1,103.69635421931316,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Carya tomentosa,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,9.027700000000001,USA_DUK_HAR_Cto_Js_14,56.74000000000001,NA,NA,CASP04,"Corrected, measured radial variation",NA,cm3 h-1,1267.7771708127764,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Carya tomentosa,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,5.1448,USA_DUK_HAR_Cto_Js_15,19.759999999999998,NA,NA,CASP05,"Corrected, measured radial variation",NA,cm3 h-1,218.00679795922045,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Carya tomentosa,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,9.84318,USA_DUK_HAR_Qal_Js_16,42.82,NA,NA,QUAL01,"Corrected, measured radial variation",NA,cm3 h-1,417.7550184217397,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus alba,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,4.63336,USA_DUK_HAR_Qal_Js_17,16.639999999999997,NA,NA,QUAL02,"Corrected, measured radial variation",NA,cm3 h-1,80.88998267159052,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus alba,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,7.4910000000000005,USA_DUK_HAR_Qal_Js_18,31,NA,NA,QUAL03,"Corrected, measured radial variation",NA,cm3 h-1,238.36730390138723,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus alba,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,12.927680000000002,USA_DUK_HAR_Qal_Js_19,58.32000000000001,NA,NA,QUAL04,"Corrected, measured radial variation",NA,cm3 h-1,714.4575767472815,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus alba,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,22.146174669918686,USA_DUK_HAR_Ltu_Js_2,43.519999999999996,NA,NA,LITU02,"Corrected, measured radial variation",NA,cm3 h-1,751.3253202660726,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,4.0403400000000005,USA_DUK_HAR_Qal_Js_20,13.66,NA,NA,QUAL05,"Corrected, measured radial variation",NA,cm3 h-1,57.41551794005465,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus alba,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,16.10653001000432,USA_DUK_HAR_Ltu_Js_21,26.76,NA,NA,LITU06,"Corrected, measured radial variation",NA,cm3 h-1,282.68999762832095,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,19.88060792410537,USA_DUK_HAR_Ltu_Js_22,37.839999999999996,NA,NA,LITU07,"Corrected, measured radial variation",NA,cm3 h-1,567.211633513654,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,19.02330450470607,USA_DUK_HAR_Ltu_Js_23,35.519999999999996,NA,NA,LITU08,"Corrected, measured radial variation",NA,cm3 h-1,499.4752888302942,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,20.31591929495694,USA_DUK_HAR_Ltu_Js_24,38.980000000000004,NA,NA,LITU09,"Corrected, measured radial variation",NA,cm3 h-1,602.0817327158417,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,30.071106098498298,USA_DUK_HAR_Ltu_Js_25,59.61999999999999,NA,NA,LITU10,"Corrected, measured radial variation",NA,cm3 h-1,1414.4943791632445,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,8.842970064895182,USA_DUK_HAR_Lst_Js_26,43.06,NA,NA,LIST06,"Corrected, measured radial variation",NA,cm3 h-1,975.3626281848013,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liquidambar styraciflua,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,11.420417936077172,USA_DUK_HAR_Lst_Js_27,55.239999999999995,NA,NA,LIST07,"Corrected, measured radial variation",NA,cm3 h-1,1688.020389883316,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liquidambar styraciflua,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,7.828906150321921,USA_DUK_HAR_Lst_Js_28,37.260000000000005,NA,NA,LIST08,"Corrected, measured radial variation",NA,cm3 h-1,709.2704461091341,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liquidambar styraciflua,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,5.618264455206403,USA_DUK_HAR_Lst_Js_29,21.46,NA,NA,LIST09,"Corrected, measured radial variation",NA,cm3 h-1,210.46687141178393,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liquidambar styraciflua,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,13.08864133535429,USA_DUK_HAR_Ltu_Js_3,15.84,NA,NA,LITU03,"Corrected, measured radial variation",NA,cm3 h-1,98.53063216326365,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,7.323166382893642,USA_DUK_HAR_Lst_Js_30,34.08,NA,NA,LIST10,"Corrected, measured radial variation",NA,cm3 h-1,582.7726954965881,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liquidambar styraciflua,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,12.103819999999999,USA_DUK_HAR_Qmi_Js_31,54.17999999999999,NA,NA,QUMI01,"Corrected, measured radial variation",NA,cm3 h-1,628.6801764046035,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus michauxii,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,10.710819999999998,USA_DUK_HAR_Qmi_Js_32,47.17999999999999,NA,NA,QUMI02,"Corrected, measured radial variation",NA,cm3 h-1,494.3891806139823,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus michauxii,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,7.3238400000000015,USA_DUK_HAR_Qmi_Js_33,30.160000000000004,NA,NA,QUMI03,"Corrected, measured radial variation",NA,cm3 h-1,227.2603414525163,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus michauxii,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,4.5099800000000005,USA_DUK_HAR_Qmi_Js_34,16.02,NA,NA,QUMI04,"Corrected, measured radial variation",NA,cm3 h-1,75.72690460205017,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus michauxii,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,5.3139400000000006,USA_DUK_HAR_Qmi_Js_35,20.060000000000002,NA,NA,QUMI05,"Corrected, measured radial variation",NA,cm3 h-1,111.91807851060533,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus michauxii,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,10.11382,USA_DUK_HAR_Qph_Js_36,44.18,NA,NA,QUPH01,"Corrected, measured radial variation",NA,cm3 h-1,428.4443447477217,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus phellos,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,13.886860000000002,USA_DUK_HAR_Qph_Js_37,63.14,NA,NA,QUPH02,"Corrected, measured radial variation",NA,cm3 h-1,854.0961887015566,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus phellos,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,10.042180000000002,USA_DUK_HAR_Qph_Js_38,43.82000000000001,NA,NA,QUPH03,"Corrected, measured radial variation",NA,cm3 h-1,421.7250176888155,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus phellos,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,12.123719999999999,USA_DUK_HAR_Qph_Js_39,54.279999999999994,NA,NA,QUPH04,"Corrected, measured radial variation",NA,cm3 h-1,637.7383135377829,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus phellos,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,15.899772173999423,USA_DUK_HAR_Ltu_Js_4,26.080000000000002,NA,NA,LITU04,"Corrected, measured radial variation",NA,cm3 h-1,268.4365279716814,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,10.16556,USA_DUK_HAR_Qph_Js_40,44.44,NA,NA,QUPH05,"Corrected, measured radial variation",NA,cm3 h-1,433.3290504334112,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Quercus phellos,NA,USA_DUK_HAR,g m-2 s-1
NA,No azimuthal correction,21.409714774511183,USA_DUK_HAR_Ltu_Js_5,41.739999999999995,NA,NA,LITU05,"Corrected, measured radial variation",NA,cm3 h-1,690.8341164608529,NA,FALSE,No correction,Moist nights zero flow,1.37,20,Lab made,HD,30,dominant,Liriodendron tulipifera,NA,USA_DUK_HAR,g m-2 s-1
