pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
35,No azimuthal correction,4,USA_HIL_HF2_Pta_Js_1,32.8,NA,NA,HF2LoblollyPine1,"Corrected, species coefficients",NA,cm3 h-1,748,13.7,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF2_Ltu_Js_10,18.8,NA,NA,HF2TulipPoplar5,No radial correction,NA,cm3 h-1,226,6.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF2_Aru_Js_11,21.3,NA,NA,HF2RedMaple1,No radial correction,NA,cm3 h-1,324,10.3,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Acer rubrum,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF2_Aru_Js_12,40.4,NA,NA,HF2RedMaple2,No radial correction,NA,cm3 h-1,817,20,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Acer rubrum,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF2_Aru_Js_13,20.1,NA,NA,HF2RedMaple3,No radial correction,NA,cm3 h-1,291,9.7,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Acer rubrum,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF2_Aru_Js_14,15.2,NA,NA,HF2RedMaple4,No radial correction,NA,cm3 h-1,167,7.2,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Acer rubrum,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF2_Aru_Js_15,11.4,NA,NA,HF2RedMaple5,No radial correction,NA,cm3 h-1,68,5.3,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Acer rubrum,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF2_Lst_Js_16,18.8,NA,NA,HF2SweetGum1,No radial correction,NA,cm3 h-1,223,8.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF2_Lst_Js_17,25.1,NA,NA,HF2SweetGum2,No radial correction,NA,cm3 h-1,357,10.9,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF2_Lst_Js_18,19.3,NA,NA,HF2SweetGum3,No radial correction,NA,cm3 h-1,233,8.7,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF2_Lst_Js_19,15.2,NA,NA,HF2SweetGum4,No radial correction,NA,cm3 h-1,147,7.2,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF2_Pta_Js_2,34.3,NA,NA,HF2LoblollyPine2,No radial correction,NA,cm3 h-1,808,14.4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF2_Lst_Js_20,15,NA,NA,HF2SweetGum5,No radial correction,NA,cm3 h-1,142,7.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.1,USA_HIL_HF2_Fgr_Js_21,36.1,NA,NA,HF2AmericanBeech1,No radial correction,NA,cm3 h-1,890,14.6,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Fagus grandifolia,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.1,USA_HIL_HF2_Fgr_Js_22,24.9,NA,NA,HF2AmericanBeech2,No radial correction,NA,cm3 h-1,492,10.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Fagus grandifolia,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.1,USA_HIL_HF2_Fgr_Js_23,14.7,NA,NA,HF2AmericanBeech3,No radial correction,NA,cm3 h-1,131,6.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Fagus grandifolia,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF2_Qsp_Js_24,27.9,NA,NA,HF2Oak1,No radial correction,Quercus rubra and Quercus alba are present in the area,cm3 h-1,495,3.2,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus spp.,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF2_Qsp_Js_25,15.7,NA,NA,HF2Oak2,No radial correction,Quercus rubra and Quercus alba are present in the area,cm3 h-1,180,2,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus spp.,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF2_Qsp_Js_26,29.2,NA,NA,HF2Oak3,No radial correction,Quercus rubra and Quercus alba are present in the area,cm3 h-1,528,3.4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus spp.,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF2_Qsp_Js_27,45.5,NA,NA,HF2Oak4,No radial correction,Quercus rubra and Quercus alba are present in the area,cm3 h-1,948,5.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus spp.,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.6,USA_HIL_HF2_Pvi_Js_28,21.3,NA,NA,HF2VirginiaPine1,No radial correction,NA,cm3 h-1,324,4.7,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Pinus virginiana,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.6,USA_HIL_HF2_Pvi_Js_29,15,NA,NA,HF2VirginiaPine2,No radial correction,NA,cm3 h-1,160,3.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Pinus virginiana,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF2_Pta_Js_3,40.1,NA,NA,HF2LoblollyPine3,No radial correction,NA,cm3 h-1,1037,17.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.6,USA_HIL_HF2_Pvi_Js_30,16,NA,NA,HF2VirginiaPine3,No radial correction,NA,cm3 h-1,186,3.4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Pinus virginiana,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF2_Pta_Js_4,45,NA,NA,HF2LoblollyPine4,No radial correction,NA,cm3 h-1,1226,19.3,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF2_Pta_Js_5,27.2,NA,NA,HF2LoblollyPine5,No radial correction,NA,cm3 h-1,528,11.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF2_Ltu_Js_6,39.6,NA,NA,HF2TulipPoplar1,No radial correction,NA,cm3 h-1,862,10.8,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF2_Ltu_Js_7,24.9,NA,NA,HF2TulipPoplar2,No radial correction,NA,cm3 h-1,412,7.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF2_Ltu_Js_8,27.7,NA,NA,HF2TulipPoplar3,No radial correction,NA,cm3 h-1,498,8.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF2,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF2_Ltu_Js_9,20.6,NA,NA,HF2TulipPoplar4,No radial correction,NA,cm3 h-1,280,6.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF2,g m-2 s-1
