pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
55,No azimuthal correction,NA,USA_NWH_Qly_Jt_1,42.7,28,NA,Q1,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,704,6.1,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Quercus lyrata,NA,USA_NWH,kg h-1
64,No azimuthal correction,NA,USA_NWH_Cla_Jt_10,38.5,25,NA,C5,Measured,Sapwood area determined through injecting dye.,cm3 h-1,653,6.5,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Celtis laevigata,NA,USA_NWH,kg h-1
52,No azimuthal correction,NA,USA_NWH_Qly_Jt_2,19.7,20.7,NA,Q2,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,138,2.6,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Quercus lyrata,NA,USA_NWH,kg h-1
55,No azimuthal correction,NA,USA_NWH_Qly_Jt_3,33.6,23.8,NA,Q3,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,373,4,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Quercus lyrata,NA,USA_NWH,kg h-1
65,No azimuthal correction,NA,USA_NWH_Qly_Jt_4,24.7,23.2,NA,Q4,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,245,3.7,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Quercus lyrata,NA,USA_NWH,kg h-1
58,No azimuthal correction,NA,USA_NWH_Qly_Jt_5,40.07,26.5,NA,Q5,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,654,6.1,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Quercus lyrata,NA,USA_NWH,kg h-1
135,No azimuthal correction,NA,USA_NWH_Cla_Jt_6,55,25.9,NA,C1,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,1395,11,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Celtis laevigata,NA,USA_NWH,kg h-1
NA,No azimuthal correction,NA,USA_NWH_Cla_Jt_7,17.4,15.8,NA,C2,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,168,4,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Celtis laevigata,NA,USA_NWH,kg h-1
75,No azimuthal correction,NA,USA_NWH_Cla_Jt_8,34.3,20.7,NA,C3,Measured,Sapwood area determined by abrupt color chance in cores,cm3 h-1,565,6.5,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Celtis laevigata,NA,USA_NWH,kg h-1
NA,No azimuthal correction,NA,USA_NWH_Cla_Jt_9,17.3,18,NA,C4,Measured,Sapwood area determined through injecting dye.,cm3 h-1,235,8,FALSE,NTG modelled,Previous night zero flow,1.37,15,Dynamax,HD,30,codominant,Celtis laevigata,NA,USA_NWH,kg h-1
