pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_1,21.442879727169377,NA,NA,1_7,"Corrected, measured radial variation",NA,cm3 h-1,NA,9.4526023901,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_10,22.05368519423419,NA,NA,2_87,"Corrected, measured radial variation",NA,cm3 h-1,NA,9.7209275513,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_2,14.605549312136807,NA,NA,1_48,"Corrected, measured radial variation",NA,cm3 h-1,NA,6.3689576136,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_3,17.55901288353072,NA,NA,1_74,"Corrected, measured radial variation",NA,cm3 h-1,NA,7.6970448262,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_4,19.29981417086679,NA,NA,1_81,"Corrected, measured radial variation",NA,cm3 h-1,NA,8.4819670742,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_5,16.17979917005256,NA,NA,1_84,"Corrected, measured radial variation",NA,cm3 h-1,NA,7.0789842131,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_6,20.646730490955782,NA,NA,2_4,"Corrected, measured radial variation",NA,cm3 h-1,NA,9.0918515601,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_7,17.051969440852705,NA,NA,2_37,"Corrected, measured radial variation",NA,cm3 h-1,NA,7.4762620398,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_8,18.97616246474924,NA,NA,2_41,"Corrected, measured radial variation",NA,cm3 h-1,NA,8.3373433309,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
21,"Corrected, measured azimuthal variation",NA,USA_ORN_ST4_ELE_Lst_Jt_9,15.105347904971284,NA,NA,2_60,"Corrected, measured radial variation",NA,cm3 h-1,NA,6.592794716,FALSE,NTG separately measured,Long time-window zero flow,1.3,20,Dynamax,HD,15,codominant,Liquidambar styraciflua,Elevated CO2,USA_ORN_ST4_ELE,cm3 s-1
