pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,USA_SYL_HL2_Tca_Js_1,60.5,NA,NA,S1,"Corrected, measured radial variation",NA,cm3 h-1,1039.469193,6.08,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Tsuga canadensis,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Tca_Js_10,29,NA,NA,S10,"Corrected, measured radial variation",NA,cm3 h-1,429.1098691,5.917461272,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Tsuga canadensis,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Tca_Js_11,27,NA,NA,S11,"Corrected, measured radial variation",NA,cm3 h-1,389.091374,5.858124288,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Tsuga canadensis,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Bal_Js_12,72,NA,NA,S12,"Corrected, measured radial variation",NA,cm3 h-1,1333.703776,6.479353931,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Betula alleghaniensis,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Asa_Js_13,83.5,NA,NA,S13,"Corrected, measured radial variation",NA,cm3 h-1,1879.196415,7.9137,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Acer saccharum,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Asa_Js_14,23.5,NA,NA,S14,"Corrected, measured radial variation",NA,cm3 h-1,214.9141789,3.404154663,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Acer saccharum,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Asa_Js_15,21.3,NA,NA,S15,"Corrected, measured radial variation",NA,cm3 h-1,175.3478209,3.060039003,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Acer saccharum,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Asa_Js_16,17.5,NA,NA,S16,"Corrected, measured radial variation",NA,cm3 h-1,116.7463616,2.472982593,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Acer saccharum,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Asa_Js_17,28,NA,NA,S17,"Corrected, measured radial variation",NA,cm3 h-1,308.8671487,4.116455595,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Acer saccharum,NA,USA_SYL_HL2,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL2_Asa_Js_18,7,NA,NA,S18,"Corrected, measured radial variation",NA,cm3 h-1,17.51892837,0.916679038,FALSE,No correction,Previous night zero flow,1.4,21,Lab made,HD,30,NA,Acer saccharum,NA,USA_SYL_HL2,g m-2 s-1
