TIMESTAMP,TIMESTAMP_solar,USA_TNO_Aru_Js_1,USA_TNO_Aru_Js_2,USA_TNO_Aru_Js_3,USA_TNO_Ltu_Js_4,USA_TNO_Qal_Js_5,USA_TNO_Qal_Js_6,USA_TNO_Qpr_Js_7,USA_TNO_Qpr_Js_8,USA_TNO_Qru_Js_9
1998-03-31T14:00:00Z,1998-03-31T08:18:58Z,,,,,,,,,
1998-03-31T15:00:00Z,1998-03-31T09:18:58Z,,,,,,,,,
1998-03-31T16:00:00Z,1998-03-31T10:18:58Z,,,,,,,,,
1998-03-31T17:00:00Z,1998-03-31T11:18:58Z,,,,,,,,,
1998-03-31T18:00:00Z,1998-03-31T12:18:58Z,,,,,,,,,
1998-03-31T19:00:00Z,1998-03-31T13:18:58Z,,,,,,,,,
1998-03-31T20:00:00Z,1998-03-31T14:18:58Z,,,,,,,,,
1998-03-31T21:00:00Z,1998-03-31T15:18:58Z,,,,,,,,,
1998-03-31T22:00:00Z,1998-03-31T16:18:58Z,,,,,,,,,
1998-03-31T23:00:00Z,1998-03-31T17:18:58Z,,,,,,,,,
1998-04-01T00:00:00Z,1998-03-31T18:18:58Z,,,,,,,,,
1998-04-01T01:00:00Z,1998-03-31T19:18:58Z,,,,,,,,,
1998-04-01T02:00:00Z,1998-03-31T20:18:58Z,,,,,,,,,
1998-04-01T03:00:00Z,1998-03-31T21:18:58Z,,,,,,,,,
1998-04-01T04:00:00Z,1998-03-31T22:18:58Z,,,,,,,,,
1998-04-01T05:00:00Z,1998-03-31T23:18:58Z,,,,,,,,,
1998-04-01T06:00:00Z,1998-04-01T00:19:16Z,,,,,,,,,
1998-04-01T07:00:00Z,1998-04-01T01:19:16Z,,,,,,,,,
1998-04-01T08:00:00Z,1998-04-01T02:19:16Z,,,,,,,,,
1998-04-01T09:00:00Z,1998-04-01T03:19:16Z,,,,,,,,,
1998-04-01T10:00:00Z,1998-04-01T04:19:16Z,,,,,,,,,
1998-04-01T11:00:00Z,1998-04-01T05:19:16Z,,,,,,,,,
1998-04-01T12:00:00Z,1998-04-01T06:19:16Z,,,,,,,,,
1998-04-01T13:00:00Z,1998-04-01T07:19:16Z,,,,,,,,,
1998-04-01T14:00:00Z,1998-04-01T08:19:16Z,,,,,,,,,
1998-04-01T15:00:00Z,1998-04-01T09:19:16Z,,,,,,,,,
1998-04-01T16:00:00Z,1998-04-01T10:19:16Z,,,,,,,,,
1998-04-01T17:00:00Z,1998-04-01T11:19:16Z,,,,,,,,,
1998-04-01T18:00:00Z,1998-04-01T12:19:16Z,,,,,,,,,
1998-04-01T19:00:00Z,1998-04-01T13:19:16Z,,,,,,,,,
1998-04-01T20:00:00Z,1998-04-01T14:19:16Z,,,,,,,,,
