pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_1,7.4,10.05,NA,P6,No radial correction,Clearwater correction applied,cm3 h-1,33.27,1.94,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Qru_Js_10,23.4,16.03,NA,O6,No radial correction,NA,cm3 h-1,204.87,3.23,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Quercus rubra,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Aru_Js_11,9.4,16.12,NA,M6,No radial correction,NA,cm3 h-1,49.52,2.18,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Acer rubrum,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_12,5.9,7.55,NA,P4,No radial correction,Clearwater correction applied,cm3 h-1,22.39,1.69,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Qru_Js_13,37.5,28.89,NA,O7,No radial correction,NA,cm3 h-1,573.8,5.75,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,dominant,Quercus rubra,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_14,6.7,8.1,NA,P8,No radial correction,Clearwater correction applied,cm3 h-1,27.96,1.83,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_15,32.5,30.84,NA,P7,No radial correction,NA,cm3 h-1,442.72,5.15,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,dominant,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Qru_Js_16,36.5,41.14,NA,O5,No radial correction,NA,cm3 h-1,540.91,5.57,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,NA,Quercus rubra,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_17,18.5,18.61,NA,P3,No radial correction,NA,cm3 h-1,165.23,3.51,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pgr_Js_18,34.6,32.7,NA,A2,No radial correction,NA,cm3 h-1,577.41,6.55,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,dominant,Populus grandidentata,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_19,15,16.31,NA,P2,No radial correction,NA,cm3 h-1,114.5,3.05,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Pst_Js_2,18.8,20.51,NA,P5,No radial correction,NA,cm3 h-1,169.95,3.55,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Pinus strobus,NA,USA_UMB_CON,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_CON_Qru_Js_20,35,31.8,NA,O1,No radial correction,NA,cm3 h-1,493.55,5.29,FALSE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Quercus rubra,NA,USA_UMB_CON,g m-2 s-1
