pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_1,11,14.94,NA,M11,No radial correction,NA,cm3 h-1,76.78,3.09,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_10,25.9,32.28,NA,M2,No radial correction,NA,cm3 h-1,330.68,5.05,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_11,28.3,27.39,NA,M5,No radial correction,NA,cm3 h-1,371.57,5.1,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,dominant,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Qru_Js_12,12.4,18.83,NA,O1,No radial correction,Clearwater correction applied,cm3 h-1,51.19,1.49,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Quercus rubra,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Qru_Js_13,31.2,32.8,NA,O2,No radial correction,NA,cm3 h-1,384,4.59,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,dominant,Quercus rubra,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_14,27.5,25.13,NA,M4,No radial correction,NA,cm3 h-1,357.94,5.08,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,dominant,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Pst_Js_15,7.9,7.8,NA,P5,No radial correction,NA,cm3 h-1,37.3,2.02,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Pinus strobus,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_16,13.6,21.65,NA,M12,No radial correction,NA,cm3 h-1,121.08,4.03,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_17,11.7,13.69,NA,M9,No radial correction,NA,cm3 h-1,88.71,3.4,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,suppressed,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
NA,No azimuthal correction,NA,USA_UMB_GIR_Aru_Js_18,22.7,33.72,NA,M7,No radial correction,NA,cm3 h-1,276.15,4.95,TRUE,No correction,Long time-window zero flow,1.37,20,Lab made,HD,30,codominant,Acer rubrum,NA,USA_UMB_GIR,g m-2 s-1
