TIMESTAMP,solar_TIMESTAMP,ARG_TRE_Nan_Jt_1,ARG_TRE_Nan_Jt_2,ARG_TRE_Nan_Jt_3,ARG_TRE_Nan_Jt_4
2009-11-18T03:00:00Z,2009-11-17T22:24:58Z,,,,
2009-11-18T04:00:00Z,2009-11-17T23:24:58Z,,,,
2009-11-18T05:00:00Z,2009-11-18T00:24:43Z,,,,
2009-11-18T06:00:00Z,2009-11-18T01:24:43Z,,,,
2009-11-18T07:00:00Z,2009-11-18T02:24:43Z,,,,
2009-11-18T08:00:00Z,2009-11-18T03:24:43Z,,,,
2009-11-18T09:00:00Z,2009-11-18T04:24:43Z,,,,
2009-11-18T10:00:00Z,2009-11-18T05:24:43Z,,,,
2009-11-18T11:00:00Z,2009-11-18T06:24:43Z,,,,
2009-11-18T12:00:00Z,2009-11-18T07:24:43Z,,,,
2009-11-18T13:00:00Z,2009-11-18T08:24:43Z,,,,
2009-11-18T14:00:00Z,2009-11-18T09:24:43Z,,,,
2009-11-18T15:00:00Z,2009-11-18T10:24:43Z,,,,
2009-11-18T16:00:00Z,2009-11-18T11:24:43Z,,,,
2009-11-18T17:00:00Z,2009-11-18T12:24:43Z,,,,
2009-11-18T18:00:00Z,2009-11-18T13:24:43Z,,,,
2009-11-18T19:00:00Z,2009-11-18T14:24:43Z,,,,
2009-11-18T20:00:00Z,2009-11-18T15:24:43Z,,,,
2009-11-18T21:00:00Z,2009-11-18T16:24:43Z,,,,
2009-11-18T22:00:00Z,2009-11-18T17:24:43Z,,,,
2009-11-18T23:00:00Z,2009-11-18T18:24:43Z,,,,
2009-11-19T00:00:00Z,2009-11-18T19:24:43Z,,,,
2009-11-19T01:00:00Z,2009-11-18T20:24:43Z,,,,
2009-11-19T02:00:00Z,2009-11-18T21:24:43Z,,,,
2009-11-19T03:00:00Z,2009-11-18T22:24:43Z,,,,
2009-11-19T04:00:00Z,2009-11-18T23:24:43Z,,,,
2009-11-19T05:00:00Z,2009-11-19T00:24:26Z,,,,
2009-11-19T06:00:00Z,2009-11-19T01:24:26Z,,,,
2009-11-19T07:00:00Z,2009-11-19T02:24:26Z,,,,
2009-11-19T08:00:00Z,2009-11-19T03:24:26Z,,,,
2009-11-19T09:00:00Z,2009-11-19T04:24:26Z,,,,
2009-11-19T10:00:00Z,2009-11-19T05:24:26Z,,,,
2009-11-19T11:00:00Z,2009-11-19T06:24:26Z,,,,
2009-11-19T12:00:00Z,2009-11-19T07:24:26Z,,,,
2009-11-19T13:00:00Z,2009-11-19T08:24:26Z,,,,
