pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_1,21.6,17.6,NA,15,Measured,"The manufacturer of our CHP equipment was not listed, even though this manufacturer (Ross Edwards of Edwards Industries) invented this method in 1984 (see citation in our paper). If our data is used, this manufacturer would need to be acknowledged.",cm3 cm-2 h-1,241.7,3.8,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_10,24.8,18.9,NA,78,Measured,NA,cm3 cm-2 h-1,261.5,4.5,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_11,24.7,19.4,NA,83,Measured,NA,cm3 cm-2 h-1,216,3.6,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_2,24.4,18,NA,16,Measured,NA,cm3 cm-2 h-1,245.4,4.2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_3,20.8,17.9,NA,29,Measured,NA,cm3 cm-2 h-1,188.5,4,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_4,21.7,18.2,NA,30,Measured,NA,cm3 cm-2 h-1,197.6,3.7,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_5,23.3,18.6,NA,33,Measured,NA,cm3 cm-2 h-1,212.4,4,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_6,25,20.6,NA,34,Measured,NA,cm3 cm-2 h-1,240.1,4.2,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_7,25.3,17.1,NA,63,Measured,NA,cm3 cm-2 h-1,232.8,3.8,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_8,23.2,18.1,NA,64,Measured,NA,cm3 cm-2 h-1,218.7,4,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
5.8,No azimuthal correction,NA,AUS_CAR_THI_TPF_Eni_Js_9,22.8,18.6,NA,77,Measured,NA,cm3 cm-2 h-1,213.6,4,NA,NA,Not needed,1.3,NA,NA,CHP,30,NA,Eucalyptus nitens,Monoculture,AUS_CAR_THI_TPF,cm3 cm-2 h-1
