TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,ws,precip,sw_in,ext_rad
2009-06-02T14:00:00Z,2009-06-02T23:47:46Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-02T14:30:00Z,2009-06-03T00:17:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T14:59:59Z,2009-06-03T00:47:36Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-02T15:30:00Z,2009-06-03T01:17:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-02T16:00:00Z,2009-06-03T01:47:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-02T16:29:59Z,2009-06-03T02:17:36Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T17:00:00Z,2009-06-03T02:47:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T17:30:00Z,2009-06-03T03:17:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-02T17:59:59Z,2009-06-03T03:47:36Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T18:30:00Z,2009-06-03T04:17:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T19:00:00Z,2009-06-03T04:47:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T19:29:59Z,2009-06-03T05:17:36Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T20:00:00Z,2009-06-03T05:47:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T20:30:00Z,2009-06-03T06:17:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T20:59:59Z,2009-06-03T06:47:36Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T21:30:00Z,2009-06-03T07:17:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T22:00:00Z,2009-06-03T07:47:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-02T22:29:59Z,2009-06-03T08:17:36Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-02T23:00:00Z,2009-06-03T08:47:37Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-02T23:30:00Z,2009-06-03T09:17:37Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-02T23:59:59Z,2009-06-03T09:47:36Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T00:30:00Z,2009-06-03T10:17:37Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T01:00:00Z,2009-06-03T10:47:37Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T01:29:59Z,2009-06-03T11:17:36Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T02:00:00Z,2009-06-03T11:47:37Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T02:30:00Z,2009-06-03T12:17:37Z,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2009-06-03T02:59:59Z,2009-06-03T12:47:36Z,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2009-06-03T03:30:00Z,2009-06-03T13:17:37Z,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2009-06-03T04:00:00Z,2009-06-03T13:47:37Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T04:29:59Z,2009-06-03T14:17:36Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T05:00:00Z,2009-06-03T14:47:37Z,,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T05:30:00Z,2009-06-03T15:17:37Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T05:59:59Z,2009-06-03T15:47:36Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2009-06-03T06:30:00Z,2009-06-03T16:17:37Z,,,,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T07:00:00Z,2009-06-03T16:47:37Z,,,,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T07:29:59Z,2009-06-03T17:17:36Z,,,,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T08:00:00Z,2009-06-03T17:47:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T08:30:00Z,2009-06-03T18:17:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T08:59:59Z,2009-06-03T18:47:36Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T09:30:00Z,2009-06-03T19:17:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-03T10:00:00Z,2009-06-03T19:47:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T10:29:59Z,2009-06-03T20:17:36Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T11:00:00Z,2009-06-03T20:47:37Z,,,,,,,CALCULATED,CALCULATED
2009-06-03T11:30:00Z,2009-06-03T21:17:37Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T11:59:59Z,2009-06-03T21:47:36Z,,,,,,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T12:30:00Z,2009-06-03T22:17:37Z,,,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED
2009-06-03T13:00:00Z,2009-06-03T22:47:37Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2009-06-03T13:29:59Z,2009-06-03T23:17:36Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2009-06-03T14:00:00Z,2009-06-03T23:47:37Z,,,,,,,CALCULATED,CALCULATED
