pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,15,AUS_KAR_Evi_Js_1,21.5,NA,NA,Ev-C-1,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,77.18,1.44,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,24,AUS_KAR_Evi_Js_10,50.8,NA,NA,Ev-I-3,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,424.04,3.15,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,15,AUS_KAR_Evi_Js_11,26.7,NA,NA,Ev-I-4,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,143.11,2.11,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,23,AUS_KAR_Evi_Js_12,41.9,NA,NA,Ev-I-5,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,405.51,3.86,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,20,AUS_KAR_Evi_Js_13,61.6,NA,NA,Ev-I-6,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,534.81,3.13,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,16,AUS_KAR_Evi_Js_14,34.9,NA,NA,Ev-I-7,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,204.32,2.21,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,16,AUS_KAR_Evi_Js_2,20.3,NA,NA,Ev-C-2,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,89.05,1.86,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,19.5,AUS_KAR_Evi_Js_3,26.8,NA,NA,Ev-C-3,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,128.94,1.96,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,6,AUS_KAR_Evi_Js_4,11.4,NA,NA,Ev-C-4,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,44.97,1.68,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,17,AUS_KAR_Evi_Js_5,43.8,NA,NA,Ev-C-5,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,207.85,1.71,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,16.5,AUS_KAR_Evi_Js_6,48,NA,NA,Ev-C-6,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,56.76,1.91,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,22,AUS_KAR_Evi_Js_7,52,NA,NA,Ev-C-7,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,295.4,2.07,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,16,AUS_KAR_Evi_Js_8,25.4,NA,NA,Ev-I-1,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,115.01,1.78,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
NA,No azimuthal correction,9,AUS_KAR_Evi_Js_9,17.3,NA,NA,Ev-I-2,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,39.12,0.85,NA,NTG separately measured,Moist nights zero flow,1.3,35,ICT International,HR,60,dominant,Eucalyptus victrix,NA,AUS_KAR,cm3 cm-2 h-1
